"Title"," EBacc achievement by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Isles of Scilly","!","!","!","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","!","!","!"
"Islington","27","24","31","29","25","33","27","24","29","!","!","!","23","20","28","25","22","28"
"Kensington and Chelsea","38","37","40","46","44","47","27","24","32","!","N/A","!","38","34","43","43","42","45"
"Kent","30","24","35","54","48","62","40","31","49","66","70","61","40","32","47","28","23","33"
"Kingston upon Hull, City of","20","19","21","47","56","38","22","!","!","!","N/A","!","25","21","31","20","19","22"
"Kingston upon Thames","49","46","51","63","64","62","32","28","37","70","!","!","58","59","58","42","37","46"
"Kirklees","22","16","28","23","15","30","15","7","23","50","!","!","16","8","26","22","17","28"
"Knowsley","11","9","13","!","!","!","!","!","!","!","N/A","!","24","!","!","10","7","13"
"Lambeth","25","20","30","28","16","44","23","16","29","60","!","!","22","19","25","29","25","33"
"Lancashire","22","17","27","24","17","32","21","24","18","38","19","56","23","18","27","22","17","27"
"Leeds","23","18","29","22","16","29","18","13","22","32","29","36","22","20","25","24","18","29"
"Leicester","19","15","24","27","20","35","16","11","21","!","N/A","!","19","16","21","9","8","11"
"Leicestershire","19","14","24","33","24","44","14","!","!","46","31","67","21","13","31","18","13","22"
"Lewisham","23","16","30","30","24","36","17","10","25","49","50","48","27","20","35","25","20","31"
"Lincolnshire","28","23","33","!","!","!","29","17","44","64","58","71","40","!","!","27","23","32"
"Liverpool","23","20","27","41","38","44","20","21","20","53","55","52","17","14","19","23","19","27"
"Luton","18","17","18","24","25","23","13","11","15","!","!","!","14","11","16","14","13","14"
"Manchester","19","13","26","28","15","41","16","10","23","35","17","58","16","12","20","17","13","20"
"Medway","27","24","29","46","45","47","35","19","45","73","!","!","31","18","41","25","23","26"
"Merton","30","25","35","35","30","41","22","16","27","!","!","!","30","30","31","31","25","37"
"Middlesbrough","11","7","14","17","13","21","!","!","!","N/A","N/A","N/A","17","!","!","10","7","13"
"Milton Keynes","21","15","28","35","20","53","21","15","26","33","!","!","25","24","25","19","13","26"
"Newcastle upon Tyne","24","19","29","33","24","42","23","10","34","46","43","50","32","23","41","23","19","27"
"Newham","31","26","37","38","33","44","26","19","33","27","!","!","23","19","27","23","19","26"
"Norfolk","21","15","27","40","31","47","28","12","54","28","33","23","19","14","23","21","15","26"
"North East Lincolnshire","17","13","22","!","!","!","!","!","!","!","N/A","!","24","16","39","17","13","22"
"North Lincolnshire","19","15","23","36","15","51","27","!","!","100","100","N/A","16","!","!","18","14","22"
"North Somerset","20","15","26","25","!","!","!","!","!","!","!","!","36","32","41","20","14","25"
"North Tyneside","26","21","30","37","!","!","46","!","!","67","!","!","40","41","39","25","21","29"
"North Yorkshire","29","23","36","37","24","54","28","!","!","62","!","!","32","32","33","29","23","35"
"Northamptonshire","22","18","27","34","29","39","22","11","32","55","70","40","22","14","29","22","17","27"
"Northumberland","19","14","24","38","24","59","!","!","!","!","!","!","17","21","14","19","14","24"
"Nottingham","17","11","22","25","17","33","14","7","21","!","!","100","19","14","23","14","9","19"
"Nottinghamshire","25","20","31","41","38","45","32","20","42","60","46","75","26","16","36","25","20","30"
"Oldham","16","11","21","14","9","18","6","!","!","43","!","!","10","13","8","18","13","23"
"Oxfordshire","25","18","32","24","17","33","18","12","25","31","!","!","22","18","26","25","18","32"
"Peterborough","22","16","27","25","19","32","29","20","39","50","!","!","28","16","40","20","15","25"
"Plymouth","21","14","29","56","58","54","!","!","!","31","!","!","33","22","40","20","13","28"
"Poole","!","!","!","58","47","75","!","!","!","!","!","!","32","33","30","25","!","!"
"Portsmouth","19","16","22","31","28","32","21","!","!","!","!","100","24","!","!","17","14","21"
"Reading","30","28","31","41","35","45","13","7","20","!","!","!","18","19","18","28","28","28"
"Redbridge","34","27","40","40","32","50","23","15","30","70","!","!","29","22","36","28","24","33"
"Redcar and Cleveland","19","15","24","29","!","!","!","!","!","!","N/A","!","40","!","!","19","15","24"
"Richmond upon Thames","42","35","49","43","30","54","25","25","25","67","!","!","44","40","49","43","36","49"
"Rochdale","16","12","21","21","13","30","29","21","38","!","!","N/A","24","21","26","14","10","17"
"Rotherham","20","14","26","15","6","23","26","20","33","!","!","100","19","15","24","20","14","26"
"Rutland","26","17","38","!","!","!","!","!","!","N/A","N/A","N/A","44","!","!","26","17","37"
"Salford","20","17","24","37","29","47","23","24","22","50","!","!","25","22","29","19","15","23"
"Sandwell","13","9","17","19","13","26","12","8","16","!","!","!","11","6","19","11","8","14"
"Sefton","25","18","32","48","43","56","33","!","!","50","!","!","22","14","28","25","18","33"
"Sheffield","22","17","27","19","15","23","18","13","24","44","43","46","19","13","23","23","18","27"
"Shropshire","24","20","29","!","!","!","43","!","!","50","!","!","25","19","32","24","20","29"
"Slough","29","23","36","35","27","42","16","11","21","!","!","!","24","23","25","24","19","30"
"Solihull","27","21","34","35","26","48","25","15","34","30","!","!","22","20","23","27","21","34"
"Somerset","20","14","26","34","16","52","21","!","!","27","!","!","24","20","28","20","14","25"
"South Gloucestershire","18","15","21","27","17","44","!","!","!","!","!","!","17","13","21","18","15","21"
"South Tyneside","21","15","26","33","27","39","!","!","!","N/A","N/A","N/A","24","!","!","20","14","26"
"Southampton","21","15","26","36","30","43","32","39","27","56","!","!","14","7","20","19","13","24"
"Southend-on-Sea","34","31","36","62","56","70","54","53","55","64","67","60","37","33","42","29","27","32"
"Southwark","36","32","40","45","37","51","34","27","39","59","52","69","35","30","40","37","36","38"
"St. Helens","20","16","24","43","!","!","!","!","!","!","!","!","!","!","!","20","16","25"
"Staffordshire","20","15","25","22","18","28","32","21","39","40","43","39","23","17","29","20","15","25"
"Stockport","30","26","35","34","22","48","33","29","43","31","!","!","30","27","33","30","26","35"
"Stockton-on-Tees","26","20","33","29","13","46","!","38","!","!","!","!","32","25","44","26","20","32"
"Stoke-on-Trent","16","12","19","19","13","26","15","!","!","44","!","!","7","!","!","15","12","18"
"Suffolk","18","14","22","34","29","39","11","!","!","!","!","!","20","17","22","18","14","22"
"Sunderland","21","14","29","36","18","46","38","!","!","100","N/A","100","26","!","!","21","14","28"
"Surrey","31","24","37","36","27","45","26","24","27","64","56","74","36","30","42","30","24","37"
"Sutton","46","39","53","75","67","82","49","44","54","73","65","83","50","47","53","35","28","42"
"Swindon","17","13","22","27","22","32","19","14","24","40","!","!","20","17","23","16","12","20"
"Tameside","19","14","24","25","17","32","17","!","!","33","!","!","16","15","18","18","13","24"
"Telford and Wrekin","23","18","29","30","26","39","22","19","27","44","!","!","30","22","38","22","17","28"
"Thurrock","25","21","30","45","33","54","33","29","36","33","!","!","43","34","52","23","19","27"
"Torbay","26","25","27","42","!","!","!","!","!","63","!","!","35","39","32","!","26","!"
"Tower Hamlets","28","24","32","31","26","36","25","20","32","40","!","!","17","17","17","21","21","21"
"Trafford","37","31","42","39","32","48","24","17","31","59","!","!","36","29","44","36","31","41"
"Wakefield","20","13","26","27","15","37","11","!","!","!","!","!","20","15","24","20","14","26"
"Walsall","21","17","25","32","29","34","25","13","39","100","!","!","19","12","28","18","14","21"
"Waltham Forest","24","15","32","29","17","40","15","6","22","14","!","!","24","23","25","26","17","34"
"Wandsworth","34","31","38","40","44","36","24","20","29","71","!","!","34","27","41","38","32","44"
"Warrington","24","20","27","35","33","37","!","!","!","!","!","!","23","15","33","24","20","27"
"Warwickshire","29","24","35","39","31","46","16","!","!","63","40","100","31","31","32","28","23","34"
"West Berkshire","30","24","36","44","38","52","16","!","!","50","!","!","33","30","36","30","23","37"
"West Sussex","26","21","32","35","28","41","17","13","21","42","!","!","26","20","32","26","21","31"
"Westminster","34","23","44","33","26","41","25","16","36","50","!","!","34","18","49","41","23","53"
"Wigan","22","17","28","20","15","30","56","!","!","!","!","!","26","15","33","22","17","28"
"Wiltshire","26","23","29","23","24","21","18","14","25","!","!","100","34","36","32","26","22","29"
"Windsor and Maidenhead","32","24","40","33","17","50","24","!","!","63","!","!","34","38","31","32","24","39"
"Wirral","35","31","38","59","70","54","50","!","!","64","!","!","44","35","51","34","30","37"
"Wokingham","34","25","44","30","22","44","21","11","32","60","!","!","26","19","35","35","26","45"
"Wolverhampton","15","9","21","28","17","37","9","6","11","!","!","!","9","3","15","12","7","18"
"Worcestershire","25","21","29","18","10","27","!","!","!","!","!","!","26","22","32","25","21","29"
"York","35","28","42","64","!","!","!","!","!","56","!","!","42","!","!","35","29","41"
