"Title","State support"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Ethnicity","measure","value","time","time_type","Ethnicity_type","Geography","Geography_type"
"Black","Disability Living Allowance (mobility component) by ethnic group of head","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Disability Living Allowance (mobility component) by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian/ Asian British","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Personal Independence Payment (daily living component) by ethnic group of head","2","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Personal Independence Payment (daily living component) by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Personal Independence Payment (daily living component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Personal Independence Payment (mobility component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Personal Independence Payment (mobility component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Personal Independence Payment (mobility component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian/ Asian British","Personal Independence Payment (mobility component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Personal Independence Payment (mobility component) by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Personal Independence Payment (mobility component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Personal Independence Payment (mobility component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Personal Independence Payment (mobility component) by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Personal Independence Payment (mobility component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Personal Independence Payment (mobility component) by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Personal Independence Payment (mobility component) by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Industrial Injuries Disablement Benefit by ethnic group of head","1","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian/ Asian British","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Industrial Injuries Disablement Benefit by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian/ Asian British","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Armed Forces Compensation Scheme by ethnic group of head","0","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
