"Title","Armed forces workforce"
"Location","UK"
"Time period","2012 to 2018"
"Data source","Ministry of Defence"
"Data source link","https://www.gov.uk/government/statistics/uk-armed-forces-biannual-diversity-statistics-2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Ethnicity","Service","Rank","NATO_code","Rank","Year","Value","Number","Note","Number_Note"
"All","Army","Officers","OF-3","Major","Oct-15","NA","4230","NA","NA"
"All","Army","Officers","OF-3","Major","Oct-16","NA","4260","NA","NA"
"All","Army","Officers","OF-3","Major","Oct-17","NA","4280","NA","NA"
"All","Army","Officers","OF-4","Lieutenant Colonel","Apr-18","NA","1700","NA","NA"
"All","Army","Officers","OF-4","Lieutenant Colonel","Oct-17","NA","1700","NA","NA"
"All","Army","Officers","OF-5","Colonel","Apr-12","NA","530","NA","NA"
"All","Army","Officers","OF-5","Colonel","Apr-13","NA","530","NA","NA"
"All","Army","Officers","OF-5","Colonel","Apr-14","NA","520","NA","NA"
"All","Army","Officers","OF-5","Colonel","Apr-15","NA","510","NA","NA"
"All","Army","Officers","OF-5","Colonel","Apr-16","NA","490","NA","NA"
"All","Army","Officers","OF-5","Colonel","Apr-17","NA","500","NA","NA"
"All","Army","Officers","OF-5","Colonel","Apr-18","NA","510","NA","NA"
"All","Army","Officers","OF-5","Colonel","Oct-12","NA","530","NA","NA"
"All","Army","Officers","OF-5","Colonel","Oct-13","NA","540","NA","NA"
"All","Army","Officers","OF-5","Colonel","Oct-14","NA","510","NA","NA"
"All","Army","Officers","OF-5","Colonel","Oct-15","NA","490","NA","NA"
"All","Army","Officers","OF-5","Colonel","Oct-16","NA","490","NA","NA"
"All","Army","Officers","OF-5","Colonel","Oct-17","NA","500","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Apr-12","NA","224","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Apr-13","NA","212","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Apr-14","NA","213","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Apr-15","NA","208","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Apr-16","NA","204","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Apr-17","NA","200","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Apr-18","NA","207","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Oct-12","NA","221","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Oct-13","NA","216","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Oct-14","NA","215","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Oct-15","NA","208","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Oct-16","NA","204","NA","NA"
"All","Army","Officers","OF-6 and above","Brigadier and above","Oct-17","NA","209","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Apr-12","NA","89780","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Apr-13","NA","85840","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Apr-14","NA","77860","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Apr-15","NA","74230","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Apr-16","NA","72450","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Apr-17","NA","70880","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Apr-18","NA","68330","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Oct-12","NA","88420","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Oct-13","NA","83340","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Oct-14","NA","76090","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Oct-15","NA","73240","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Oct-16","NA","71670","NA","NA"
"All","Army","Other Ranks","All Other Ranks","All Other Ranks","Oct-17","NA","69230","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Apr-12","NA","37380","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Apr-13","NA","35880","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Apr-14","NA","31730","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Apr-15","NA","29670","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Apr-16","NA","28110","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Apr-17","NA","26580","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Apr-18","NA","24430","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Oct-12","NA","37480","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Oct-13","NA","35040","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Oct-14","NA","31300","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Oct-15","NA","29660","NA","NA"
"All","Army","Other Ranks","OR-1/OR-2","Private (Classes 1 to 4)","Oct-16","NA","28040","NA","NA"
