"Title","Number of arrests by ethnicity and area"
"Location","England and Wales"
"Time period","2015/2016"
"Data source","Arrests open data https://www.gov.uk/government/collections/police-powers-and-procedures-england-and-wales"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Age_Group","Age_Group_type","Geography","Geography_type","Number of arrests","Population by ethnicity, gender, and PFA (based on 2011 Census)","Value","Value2","Notes"
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area","705","12738","55.35","0.0277",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Suffolk","Police Force Area","366","6854","53.4","0.0508",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Surrey","Police Force Area","660","12430","53.1","0.0605",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area","769","14552","52.84","0.0276",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Warwickshire","Police Force Area","233","4443","52.44","0.0441",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area","436","8551","50.99","0.0291",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area","1554","31401","49.49","0.0842",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area","123","2561","48.03","0.0141",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Northumbria","Police Force Area","419","9006","46.52","0.0155",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Northamptonshire","Police Force Area","787","16923","46.5","0.0792",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area","49","1058","46.31","0.0044",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area","49948","1088447","45.89","0.271",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area","145","3185","45.53","0.0179",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Thames Valley","Police Force Area","3140","69013","45.5","0.0881",""
"Number of arrests","2015/16","Financial Year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area","82789","1864890","44.39","0.0975",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Lancashire","Police Force Area","226","5377","42.03","0.0102",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Kent","Police Force Area","641","15636","41","0.0302",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area","485","12572","38.58","0.0451",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area","1159","30981","37.41","0.049",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area","1074","29725","36.13","0.1107",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Leicestershire","Police Force Area","859","24623","34.89","0.0887",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Thames Valley","Police Force Area","1930","55986","34.47","0.0542",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area","1543","46476","33.2","0.0414",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area","238","7281","32.69","0.0156",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area","167","5114","32.66","0.0149",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","South Yorkshire","Police Force Area","840","25752","32.62","0.0516",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Humberside","Police Force Area","142","4499","31.56","0.0136",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area","858","27497","31.2","0.0465",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area","2305","74097","31.11","0.0609",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area","865","28277","30.59","0.0352",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area","88","3004","29.29","0.017",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area","290","10090","28.74","0.0189",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area","11575","404990","28.58","0.0628",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area","126","4434","28.42","0.0088",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area","394","14095","27.95","0.0263",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area","79","2839","27.83","0.0091",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","North Yorkshire","Police Force Area","97","3618","26.81","0.0097",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area","494","18456","26.77","0.0509",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area","1278","48126","26.56","0.0343",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","West Midlands","Police Force Area","4332","164069","26.4","0.1191",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area","80","3030","26.4","0.0071",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Cleveland","Police Force Area","14316","557227","25.69","1",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area","13484","526456","25.61","0.9426",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area","853","35148","24.27","0.0568",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area","503","20954","24","0.018",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area","423","17762","23.81","0.0166",""
"Number of arrests","2015/16","Financial Year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area","29146","1224400","23.8","0.0343",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area","1134","48248","23.5","0.048",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area","190195","8166566","23.29","1",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area","125","5547","22.53","0.0154",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","West Midlands","Police Force Area","2142","96204","22.27","0.0589",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area","384","17419","22.04","0.0268",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","West Mercia","Police Force Area","477","21715","21.97","0.037",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area","23927","1091482","21.92","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","North Wales","Police Force Area","15045","687937","21.87","1",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Northamptonshire","Police Force Area","310","14182","21.86","0.0312",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","North Wales","Police Force Area","14616","670704","21.79","0.9786",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area","1304","60710","21.48","0.0344",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Wiltshire","Police Force Area","210","9794","21.44","0.0309",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area","75","3569","21.01","0.0093",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","South Wales","Police Force Area","26701","1283651","20.8","1",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Warwickshire","Police Force Area","164","7949","20.63","0.031",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Merseyside","Police Force Area","28339","1381189","20.52","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area","806","39535","20.39","0.0749",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Cumbria","Police Force Area","59","2913","20.25","0.0086",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area","19471","969501","20.08","0.8235",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area","201","10076","19.95","0.0248",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Sussex","Police Force Area","599","30036","19.94","0.0313",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area","25966","1305303","19.89","0.9305",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area","23575","1198458","19.67","0.9264",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","West Mercia","Police Force Area","262","13466","19.46","0.0203",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Suffolk","Police Force Area","241","12472","19.32","0.0334",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Northumbria","Police Force Area","27276","1420853","19.2","1",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Northumbria","Police Force Area","25700","1343747","19.13","0.95",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area","81","4240","19.1","0.0072",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area","181","9507","19.04","0.0171",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area","113","5995","18.85","0.0107",""
"Number of arrests","2015/16","Financial year","Black","ONS 2001 5+1","All","All","All","Arrest age group categories","Essex","Police Force Area","647","34679","18.66","0.0705",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Norfolk","Police Force Area","187","10027","18.65","0.0185",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area","90494","4881636","18.54","0.491",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Staffordshire","Police Force Area","136","7376","18.44","0.0091",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Lancashire","Police Force Area","300","16300","18.4","0.0135",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Thames Valley","Police Force Area","3519","192541","18.28","0.0988",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Durham","Police Force Area","11245","618806","18.17","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area","25141","1386619","18.13","0.1364",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Northumbria","Police Force Area","678","37782","17.95","0.0251",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area","5026","280764","17.9","0.1347",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Hampshire","Police Force Area","553","30905","17.89","0.0249",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Durham","Police Force Area","10818","605364","17.87","0.9663",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area","652","36871","17.68","0.0426",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area","1439","81480","17.66","0.1483",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Metropolitan Police","Police Force Area","7143","404874","17.64","0.0388",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Kent","Police Force Area","481","27283","17.63","0.0226",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area","39223","2226058","17.62","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area","19622","1116062","17.58","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area","331","18851","17.56","0.0119",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Lincolnshire","Police Force Area","95","5579","17.03","0.0109",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Cumbria","Police Force Area","27","1605","16.82","0.0039",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Thames Valley","Police Force Area","37809","2269772","16.66","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Norfolk","Police Force Area","14272","857888","16.64","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area","547","33005","16.57","0.0223",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Nottinghamshire","Police Force Area","252","15465","16.29","0.0107",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","West Yorkshire","Police Force Area","29103","1819818","15.99","0.7801",""
"Number of arrests","2015/16","Financial Year","All","All","All","All","All","Arrest age group categories","All","Police Force Area","896209","56075912","15.98","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area","9783","615061","15.91","1",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Cheshire","Police Force Area","83","5230","15.87","0.006",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area","169","10694","15.8","0.016",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Cleveland","Police Force Area","90","5762","15.62","0.0063",""
"Number of arrests","2015/16","Financial Year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area","59665","3820390","15.62","0.0703",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Merseyside","Police Force Area","336","21529","15.61","0.012",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area","24918","1599555","15.58","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Lancashire","Police Force Area","22699","1460893","15.54","1",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Gloucestershire","Police Force Area","134","8661","15.47","0.0259",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area","991","64119","15.46","0.0537",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Lancashire","Police Force Area","20374","1320035","15.43","0.918",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area","14821","977495","15.16","0.8033",""
"Number of arrests","2015/16","Financial Year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area","14443","956837","15.09","0.017",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Cheshire","Police Force Area","193","12794","15.09","0.0139",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Derbyshire","Police Force Area","15323","1018438","15.05","1",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area","131","8753","14.97","0.0135",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Surrey","Police Force Area","352","23554","14.94","0.0323",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","South Wales","Police Force Area","535","35804","14.94","0.021",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Dorset","Police Force Area","11067","744041","14.87","1",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Sussex","Police Force Area","242","16352","14.8","0.0126",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Devon & Cornwall","Police Force Area","173","11694","14.79","0.0113",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Leicestershire","Police Force Area","302","20520","14.72","0.0312",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Derbyshire","Police Force Area","13936","949845","14.67","0.9106",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","North Yorkshire","Police Force Area","11677","796427","14.66","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area","39075","2682528","14.57","1",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Hertfordshire","Police Force Area","226","15550","14.53","0.0122",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Northamptonshire","Police Force Area","10004","691952","14.46","1",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","Warwickshire","Police Force Area","67","4647","14.42","0.0127",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Northumbria","Police Force Area","179","12447","14.38","0.0066",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","South Yorkshire","Police Force Area","785","54660","14.36","0.0482",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Avon & Somerset","Police Force Area","21261","1491970","14.25","0.8656",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Gwent","Police Force Area","8214","576754","14.24","1",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Humberside","Police Force Area","116","8185","14.17","0.0111",""
"Number of arrests","2015/16","Financial year","Other","ONS 2001 5+1","All","All","All","Arrest age group categories","North Wales","Police Force Area","63","4450","14.16","0.0042",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Essex","Police Force Area","24342","1724950","14.11","1",""
"Number of arrests","2015/16","Financial year","Asian","ONS 2001 5+1","All","All","All","Arrest age group categories","Greater Manchester","Police Force Area","3437","246094","13.97","0.0907",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Thames Valley","Police Force Area","26642","1919646","13.88","0.7479",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Cumbria","Police Force Area","6907","499858","13.82","1",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Bedfordshire","Police Force Area","6565","476647","13.77","0.6766",""
"Number of arrests","2015/16","Financial Year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","All","Police Force Area","663059","48209395","13.75","0.7809",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Staffordshire","Police Force Area","15090","1097497","13.75","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Cheshire","Police Force Area","14021","1027709","13.64","1",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Cumbria","Police Force Area","6704","492257","13.62","0.9767",""
"Number of arrests","2015/16","Financial year","Mixed","ONS 2001 5+1","All","All","All","Arrest age group categories","Devon & Cornwall","Police Force Area","213","15645","13.61","0.0139",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Gwent","Police Force Area","7547","554377","13.61","0.9325",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","West Midlands","Police Force Area","37170","2736460","13.58","1",""
"Number of arrests","2015/16","Financial year","White","ONS 2001 5+1","All","All","All","Arrest age group categories","Dorset","Police Force Area","9685","714637","13.55","0.9173",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Suffolk","Police Force Area","9845","728163","13.52","1",""
"Number of arrests","2015/16","Financial year","All","All","All","All","All","Arrest age group categories","Cambridgeshire","Police Force Area","10854","804841","13.49","1",""
