"Title","A* to C in English and Maths GCSE by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Boys-Value"," Boys-Denominator ","Notes","Girls-Value"," Girls-Denominator ","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Stockport","Local Authority","E08000007","All pupils","All pupils","67"," 21 ","NA","NA","","x"," 14 ","Suppressed","x"," 7 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Tameside","Local Authority","E08000008","All pupils","All pupils","66"," 35 ","NA","NA","","71"," 17 ","","61"," 18 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Trafford","Local Authority","E08000009","All pupils","All pupils","69"," 75 ","NA","NA","","64"," 36 ","","74"," 39 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Warrington","Local Authority","E06000007","All pupils","All pupils","36"," 14 ","NA","NA","","x"," 4 ","Suppressed","x"," 10 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Wigan","Local Authority","E08000010","All pupils","All pupils","69"," 16 ","NA","NA","","x"," 7 ","Suppressed","x"," 9 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Wirral","Local Authority","E08000015","All pupils","All pupils","x"," 8 ","NA","NA","Suppressed","100"," 5 ","","x"," 3 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Barnsley","Local Authority","E08000016","All pupils","All pupils","33"," 15 ","NA","NA","","x"," 7 ","Suppressed","x"," 8 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Bradford","Local Authority","E08000032","All pupils","All pupils","56"," 81 ","NA","NA","","41"," 39 ","","69"," 42 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Calderdale","Local Authority","E08000033","All pupils","All pupils","60"," 20 ","NA","NA","","x"," 12 ","Suppressed","x"," 8 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Doncaster","Local Authority","E08000017","All pupils","All pupils","46"," 35 ","NA","NA","","41"," 17 ","","50"," 18 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","x"," x ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","48"," 23 ","NA","NA","","50"," 10 ","","46"," 13 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Kirklees","Local Authority","E08000034","All pupils","All pupils","51"," 85 ","NA","NA","","43"," 42 ","","58"," 43 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Leeds","Local Authority","E08000035","All pupils","All pupils","52"," 440 ","NA","NA","","47"," 220 ","","56"," 220 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","x"," x ","NA","NA","Suppressed","100"," 3 ","","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","73"," 11 ","NA","NA","","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","67"," 18 ","NA","NA","","x"," 10 ","Suppressed","x"," 8 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Rotherham","Local Authority","E08000018","All pupils","All pupils","61"," 38 ","NA","NA","","50"," 20 ","","72"," 18 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Sheffield","Local Authority","E08000019","All pupils","All pupils","56"," 260 ","NA","NA","","48"," 139 ","","66"," 121 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Wakefield","Local Authority","E08000036","All pupils","All pupils","63"," 38 ","NA","NA","","56"," 25 ","","77"," 13 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","York","Local Authority","E06000014","All pupils","All pupils","56"," 9 ","NA","NA","","x"," 3 ","Suppressed","x"," 6 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Derby","Local Authority","E06000015","All pupils","All pupils","45"," 85 ","NA","NA","","29"," 34 ","","55"," 51 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Derbyshire","Local Authority","E10000007","All pupils","All pupils","x"," 19 ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Leicester","Local Authority","E06000016","All pupils","All pupils","53"," 345 ","NA","NA","","47"," 171 ","","60"," 174 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Leicestershire","Local Authority","E10000018","All pupils","All pupils","70"," 43 ","NA","NA","","73"," 26 ","","65"," 17 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","62"," 34 ","NA","NA","","61"," 18 ","","63"," 16 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","60"," 282 ","NA","NA","","51"," 140 ","","68"," 142 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Nottingham","Local Authority","E06000018","All pupils","All pupils","51"," 248 ","NA","NA","","39"," 122 ","","64"," 126 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","76"," 78 ","NA","NA","","80"," 35 ","","72"," 43 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Rutland","Local Authority","E06000017","All pupils","All pupils","x"," 3 ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Birmingham","Local Authority","E08000025","All pupils","All pupils","55"," 1,489 ","NA","NA","","46"," 738 ","","64"," 751 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Coventry","Local Authority","E08000026","All pupils","All pupils","59"," 276 ","NA","NA","","58"," 120 ","","60"," 156 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Dudley","Local Authority","E08000027","All pupils","All pupils","46"," 70 ","NA","NA","","47"," 36 ","","44"," 34 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","x"," 5 ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Sandwell","Local Authority","E08000028","All pupils","All pupils","47"," 257 ","NA","NA","","38"," 128 ","","56"," 129 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Shropshire","Local Authority","E06000051","All pupils","All pupils","x"," 7 ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Solihull","Local Authority","E08000029","All pupils","All pupils","54"," 72 ","NA","NA","","38"," 34 ","","68"," 38 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Staffordshire","Local Authority","E10000028","All pupils","All pupils","60"," 37 ","NA","NA","","64"," 14 ","","57"," 23 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","44"," 48 ","NA","NA","","42"," 26 ","","46"," 22 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","53"," 36 ","NA","NA","","57"," 21 ","","47"," 15 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Walsall","Local Authority","E08000030","All pupils","All pupils","55"," 139 ","NA","NA","","47"," 77 ","","66"," 62 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Warwickshire","Local Authority","E10000031","All pupils","All pupils","52"," 50 ","NA","NA","","38"," 21 ","","62"," 29 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","53"," 221 ","NA","NA","","43"," 111 ","","64"," 110 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Worcestershire","Local Authority","E10000034","All pupils","All pupils","30"," 20 ","NA","NA","","x"," 13 ","Suppressed","x"," 7 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Bedford","Local Authority","E06000055","All pupils","All pupils","53"," 109 ","NA","NA","","48"," 54 ","","58"," 55 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","57"," 56 ","NA","NA","","56"," 32 ","","58"," 24 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","52"," 44 ","NA","NA","","48"," 21 ","","57"," 23 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Essex","Local Authority","E10000012","All pupils","All pupils","71"," 333 ","NA","NA","","69"," 160 ","","72"," 173 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","71"," 447 ","NA","NA","","63"," 211 ","","77"," 236 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Luton","Local Authority","E06000032","All pupils","All pupils","54"," 294 ","NA","NA","","49"," 144 ","","59"," 150 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Norfolk","Local Authority","E10000020","All pupils","All pupils","66"," 68 ","NA","NA","","55"," 42 ","","85"," 26 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Peterborough","Local Authority","E06000031","All pupils","All pupils","62"," 73 ","NA","NA","","48"," 40 ","","79"," 33 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","78"," 125 ","NA","NA","","74"," 61 ","","83"," 64 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Suffolk","Local Authority","E10000029","All pupils","All pupils","47"," 53 ","NA","NA","","32"," 25 ","","61"," 28 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Thurrock","Local Authority","E06000034","All pupils","All pupils","75"," 164 ","NA","NA","","72"," 72 ","","77"," 92 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Camden","Local Authority","E09000007","All pupils","All pupils","59"," 345 ","NA","NA","","55"," 132 ","","61"," 213 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","City of London","Local Authority","E09000001","All pupils","All pupils","."," . ","NA","NA","Not applicable","."," . ","Not applicable","."," . ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Hackney","Local Authority","E09000012","All pupils","All pupils","65"," 719 ","NA","NA","","60"," 324 ","","69"," 395 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","59"," 333 ","NA","NA","","54"," 167 ","","65"," 166 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Haringey","Local Authority","E09000014","All pupils","All pupils","57"," 639 ","NA","NA","","52"," 323 ","","61"," 316 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Islington","Local Authority","E09000019","All pupils","All pupils","63"," 423 ","NA","NA","","62"," 228 ","","64"," 195 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","72"," 148 ","NA","NA","","67"," 88 ","","78"," 60 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Lambeth","Local Authority","E09000022","All pupils","All pupils","58"," 945 ","NA","NA","","50"," 459 ","","66"," 486 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Lewisham","Local Authority","E09000023","All pupils","All pupils","52"," 1,041 ","NA","NA","","43"," 551 ","","63"," 490 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Newham","Local Authority","E09000025","All pupils","All pupils","60"," 917 ","NA","NA","","56"," 479 ","","65"," 438 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Southwark","Local Authority","E09000028","All pupils","All pupils","71"," 1,094 ","NA","NA","","66"," 501 ","","75"," 593 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","61"," 307 ","NA","NA","","62"," 158 ","","60"," 149 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Wandsworth","Local Authority","E09000032","All pupils","All pupils","61"," 458 ","NA","NA","","55"," 245 ","","67"," 213 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Westminster","Local Authority","E09000033","All pupils","All pupils","65"," 333 ","NA","NA","","59"," 189 ","","72"," 144 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","63"," 551 ","NA","NA","","58"," 266 ","","68"," 285 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Barnet","Local Authority","E09000003","All pupils","All pupils","64"," 489 ","NA","NA","","59"," 242 ","","70"," 247 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Bexley","Local Authority","E09000004","All pupils","All pupils","77"," 532 ","NA","NA","","70"," 262 ","","84"," 270 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Brent","Local Authority","E09000005","All pupils","All pupils","54"," 767 ","NA","NA","","47"," 361 ","","59"," 406 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Bromley","Local Authority","E09000006","All pupils","All pupils","68"," 272 ","NA","NA","","66"," 116 ","","69"," 156 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Croydon","Local Authority","E09000008","All pupils","All pupils","59"," 1,124 ","NA","NA","","54"," 580 ","","64"," 544 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Ealing","Local Authority","E09000009","All pupils","All pupils","55"," 574 ","NA","NA","","48"," 260 ","","62"," 314 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Enfield","Local Authority","E09000010","All pupils","All pupils","59"," 879 ","NA","NA","","52"," 429 ","","66"," 450 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Greenwich","Local Authority","E09000011","All pupils","All pupils","67"," 604 ","NA","NA","","65"," 316 ","","68"," 288 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Harrow","Local Authority","E09000015","All pupils","All pupils","60"," 344 ","NA","NA","","53"," 167 ","","67"," 177 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Havering","Local Authority","E09000016","All pupils","All pupils","66"," 362 ","NA","NA","","59"," 184 ","","72"," 178 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Hillingdon","Local Authority","E09000017","All pupils","All pupils","59"," 327 ","NA","NA","","54"," 173 ","","65"," 154 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Hounslow","Local Authority","E09000018","All pupils","All pupils","60"," 344 ","NA","NA","","56"," 192 ","","65"," 152 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","66"," 73 ","NA","NA","","54"," 43 ","","83"," 30 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Merton","Local Authority","E09000024","All pupils","All pupils","63"," 299 ","NA","NA","","58"," 149 ","","69"," 150 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Redbridge","Local Authority","E09000026","All pupils","All pupils","62"," 494 ","NA","NA","","54"," 230 ","","69"," 264 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","50"," 48 ","NA","NA","","50"," 24 ","","50"," 24 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Sutton","Local Authority","E09000029","All pupils","All pupils","74"," 212 ","NA","NA","","73"," 102 ","","76"," 110 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","57"," 598 ","NA","NA","","47"," 269 ","","64"," 329 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","69"," 26 ","NA","NA","","x"," 13 ","Suppressed","x"," 13 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","51"," 41 ","NA","NA","","55"," 22 ","","47"," 19 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","61"," 132 ","NA","NA","","53"," 64 ","","68"," 68 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","East Sussex","Local Authority","E10000011","All pupils","All pupils","61"," 31 ","NA","NA","","55"," 11 ","","65"," 20 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Hampshire","Local Authority","E10000014","All pupils","All pupils","53"," 115 ","NA","NA","","48"," 62 ","","59"," 53 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","."," -   ","NA","NA","Not applicable","."," -   ","Not applicable","."," -   ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Kent","Local Authority","E10000016","All pupils","All pupils","78"," 303 ","NA","NA","","71"," 151 ","","84"," 152 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Medway","Local Authority","E06000035","All pupils","All pupils","64"," 116 ","NA","NA","","45"," 47 ","","77"," 69 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","55"," 338 ","NA","NA","","54"," 171 ","","56"," 167 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","58"," 126 ","NA","NA","","51"," 73 ","","68"," 53 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Portsmouth","Local Authority","E06000044","All pupils","All pupils","70"," 33 ","NA","NA","","65"," 17 ","","75"," 16 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Reading","Local Authority","E06000038","All pupils","All pupils","51"," 90 ","NA","NA","","50"," 44 ","","52"," 46 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Slough","Local Authority","E06000039","All pupils","All pupils","63"," 148 ","NA","NA","","61"," 76 ","","65"," 72 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Southampton","Local Authority","E06000045","All pupils","All pupils","59"," 56 ","NA","NA","","61"," 23 ","","58"," 33 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Surrey","Local Authority","E10000030","All pupils","All pupils","63"," 180 ","NA","NA","","65"," 103 ","","61"," 77 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","West Berkshire","Local Authority","E06000037","All pupils","All pupils","60"," 25 ","NA","NA","","62"," 13 ","","58"," 12 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","West Sussex","Local Authority","E10000032","All pupils","All pupils","39"," 120 ","NA","NA","","36"," 64 ","","43"," 56 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","66"," 29 ","NA","NA","","x"," 17 ","Suppressed","x"," 12 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Wokingham","Local Authority","E06000041","All pupils","All pupils","64"," 75 ","NA","NA","","54"," 37 ","","74"," 38 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","50"," 24 ","NA","NA","","57"," 14 ","","40"," 10 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Bournemouth","Local Authority","E06000028","All pupils","All pupils","59"," 17 ","NA","NA","","x"," 6 ","Suppressed","x"," 11 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","48"," 282 ","NA","NA","","42"," 132 ","","52"," 150 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Cornwall","Local Authority","E06000052","All pupils","All pupils","44"," 9 ","NA","NA","","x"," 6 ","Suppressed","x"," 3 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Devon","Local Authority","E10000008","All pupils","All pupils","71"," 14 ","NA","NA","","x"," 7 ","Suppressed","x"," 7 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Dorset","Local Authority","E10000009","All pupils","All pupils","x"," 9 ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","51"," 63 ","NA","NA","","47"," 36 ","","56"," 27 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","."," -   ","NA","NA","Not applicable","."," -   ","Not applicable","."," -   ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","North Somerset","Local Authority","E06000024","All pupils","All pupils","33"," 15 ","NA","NA","","x"," 5 ","Suppressed","x"," 10 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Plymouth","Local Authority","E06000026","All pupils","All pupils","17"," 18 ","NA","NA","","x"," 12 ","Suppressed","x"," 6 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Poole","Local Authority","E06000029","All pupils","All pupils","x"," 4 ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Somerset","Local Authority","E10000027","All pupils","All pupils","50"," 14 ","NA","NA","","x"," 9 ","Suppressed","x"," 5 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","51"," 43 ","NA","NA","","48"," 29 ","","57"," 14 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Swindon","Local Authority","E06000030","All pupils","All pupils","62"," 42 ","NA","NA","","52"," 21 ","","71"," 21 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Torbay","Local Authority","E06000027","All pupils","All pupils","57"," 7 ","NA","NA","","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Black","5+1","Wiltshire","Local Authority","E06000054","All pupils","All pupils","55"," 38 ","NA","NA","","50"," 22 ","","63"," 16 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","County Durham","Local Authority","E06000047","All pupils","All pupils","x"," 6 ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Darlington","Local Authority","E06000005","All pupils","All pupils","x"," 3 ","NA","NA","Suppressed","."," -   ","Not applicable","x"," 3 ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Gateshead","Local Authority","E08000037","All pupils","All pupils","x"," x ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Hartlepool","Local Authority","E06000001","All pupils","All pupils","x"," x ","NA","NA","Suppressed","x"," x ","Suppressed","."," -   ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","."," -   ","NA","NA","Not applicable","."," -   ","Not applicable","."," -   ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","46"," 13 ","NA","NA","","43"," 7 ","","50"," 6 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","North Tyneside","Local Authority","E08000022","All pupils","All pupils","100"," 9 ","NA","NA","","100"," 4 ","","100"," 5 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Northumberland","Local Authority","E06000057","All pupils","All pupils","100"," 6 ","NA","NA","","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","x"," x ","NA","NA","Suppressed","."," -   ","Not applicable","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","South Tyneside","Local Authority","E08000023","All pupils","All pupils","."," -   ","NA","NA","Not applicable","."," -   ","Not applicable","."," -   ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","x"," x ","NA","NA","Suppressed","x"," x ","Suppressed","x"," x ","Suppressed"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Sunderland","Local Authority","E08000024","All pupils","All pupils","100"," 3 ","NA","NA","","."," -   ","Not applicable","100"," 3 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","x"," x ","NA","NA","Suppressed","x"," x ","Suppressed","."," -   ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","5+1","Blackpool","Local Authority","E06000009","All pupils","All pupils","100"," 5 ","NA","NA","","x"," x ","Suppressed","x"," x ","Suppressed"
