"Title","A* to C in English and Maths GCSE by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Boys-Value"," Boys-Denominator ","Notes","Girls-Value"," Girls-Denominator ","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Wakefield","Local Authority","E08000036","All pupils","All pupils","64"," 3,407 ","NA","NA","","58"," 1,771 ","","70"," 1,636 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","York","Local Authority","E06000014","All pupils","All pupils","68"," 1,511 ","NA","NA","","64"," 774 ","","73"," 737 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Derby","Local Authority","E06000015","All pupils","All pupils","55"," 2,015 ","NA","NA","","49"," 1,050 ","","62"," 965 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Derbyshire","Local Authority","E10000007","All pupils","All pupils","62"," 7,297 ","NA","NA","","58"," 3,663 ","","67"," 3,634 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Leicester","Local Authority","E06000016","All pupils","All pupils","44"," 1,149 ","NA","NA","","42"," 605 ","","48"," 544 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Leicestershire","Local Authority","E10000018","All pupils","All pupils","64"," 6,108 ","NA","NA","","60"," 3,122 ","","68"," 2,986 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","62"," 7,464 ","NA","NA","","58"," 3,799 ","","66"," 3,665 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","59"," 6,612 ","NA","NA","","55"," 3,428 ","","64"," 3,184 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Nottingham","Local Authority","E06000018","All pupils","All pupils","46"," 1,528 ","NA","NA","","42"," 784 ","","51"," 744 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","66"," 7,243 ","NA","NA","","61"," 3,730 ","","71"," 3,513 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Rutland","Local Authority","E06000017","All pupils","All pupils","77"," 472 ","NA","NA","","71"," 258 ","","84"," 214 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Birmingham","Local Authority","E08000025","All pupils","All pupils","61"," 4,492 ","NA","NA","","56"," 2,288 ","","66"," 2,204 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Coventry","Local Authority","E08000026","All pupils","All pupils","58"," 2,275 ","NA","NA","","55"," 1,186 ","","61"," 1,089 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Dudley","Local Authority","E08000027","All pupils","All pupils","56"," 2,974 ","NA","NA","","53"," 1,556 ","","60"," 1,418 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","62"," 1,681 ","NA","NA","","56"," 896 ","","68"," 785 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Sandwell","Local Authority","E08000028","All pupils","All pupils","46"," 1,986 ","NA","NA","","41"," 1,029 ","","51"," 957 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Shropshire","Local Authority","E06000051","All pupils","All pupils","63"," 2,857 ","NA","NA","","59"," 1,461 ","","68"," 1,396 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Solihull","Local Authority","E08000029","All pupils","All pupils","66"," 2,375 ","NA","NA","","61"," 1,226 ","","71"," 1,149 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Staffordshire","Local Authority","E10000028","All pupils","All pupils","60"," 8,176 ","NA","NA","","56"," 4,171 ","","64"," 4,005 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","55"," 1,801 ","NA","NA","","52"," 878 ","","58"," 923 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","59"," 1,769 ","NA","NA","","55"," 942 ","","64"," 827 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Walsall","Local Authority","E08000030","All pupils","All pupils","55"," 2,306 ","NA","NA","","52"," 1,199 ","","59"," 1,107 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Warwickshire","Local Authority","E10000031","All pupils","All pupils","67"," 5,003 ","NA","NA","","64"," 2,639 ","","70"," 2,364 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","56"," 1,457 ","NA","NA","","49"," 718 ","","63"," 739 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Worcestershire","Local Authority","E10000034","All pupils","All pupils","65"," 5,183 ","NA","NA","","62"," 2,615 ","","69"," 2,568 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Bedford","Local Authority","E06000055","All pupils","All pupils","59"," 1,308 ","NA","NA","","57"," 666 ","","62"," 642 ",""
