Measure,Time,Time Type,Ethnicity,Ethnicity Type,Geography,Geography type,ONS geography code,Gender,FSM,Admission Basis,Type of School,SEN,Religious character,Value,Denominator
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,49.8,23195
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,46.3,12627
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,58.3,783
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,52.1,182143
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,52.7,10088
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,54,21899
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,51.6,12911
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,63.2,753
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,50.6,414528
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,51.3,22465
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,53.2,50515
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,49.5,27407
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,62.9,2008
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,48.7,209339
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,49.2,11233
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,51.2,26098
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,46.8,13530
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,60.7,1021
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,52.5,205189
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,53.4,11232
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,55.2,24417
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,52.2,13877
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,65.2,987
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,69.1,22512
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Boys,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,68.3,11235
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Girls,All pupils,Selective schools,All state-funded schools,All state-funded schools,All state-funded schools,70,11277
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,46.9,34658
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Boys,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,44.8,17529
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Girls,All pupils,Non-selective schools in highly selective areas,All state-funded schools,All state-funded schools,All state-funded schools,48.9,17129
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,50.3,472525
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Boys,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,48.3,239061
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Girls,All pupils,Non-selective schools in other areas (inc. low selective areas),All state-funded schools,All state-funded schools,All state-funded schools,52.3,233464
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,50.8,530580
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Boys,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,48.8,268280
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,Girls,All pupils,All state-funded mainstream schools,All state-funded schools,All state-funded schools,All state-funded schools,52.8,262300
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded mainstream schools,All state-funded schools,All state-funded schools,50.6,414528
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded mainstream schools,All state-funded schools,All state-funded schools,51.3,22465
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded mainstream schools,All state-funded schools,All state-funded schools,53.2,50515
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded mainstream schools,All state-funded schools,All state-funded schools,49.5,27407
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded mainstream schools,All state-funded schools,All state-funded schools,62.9,2008
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Local authority maintained mainstream schools,All state-funded schools,All state-funded schools,49.8,145402
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Local authority maintained mainstream schools,All state-funded schools,All state-funded schools,49.7,8130
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Local authority maintained mainstream schools,All state-funded schools,All state-funded schools,51.5,21499
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Local authority maintained mainstream schools,All state-funded schools,All state-funded schools,48.7,11496
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Local authority maintained mainstream schools,All state-funded schools,All state-funded schools,60.8,591
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Academies and free schools,All state-funded schools,All state-funded schools,51,268711
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Academies and free schools,All state-funded schools,All state-funded schools,52.2,14288
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Academies and free schools,All state-funded schools,All state-funded schools,54.4,28983
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Academies and free schools,All state-funded schools,All state-funded schools,50.1,15874
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Academies and free schools,All state-funded schools,All state-funded schools,63.8,1416
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Sponsored academies,All state-funded schools,All state-funded schools,45.2,64925
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Sponsored academies,All state-funded schools,All state-funded schools,47.4,3759
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Sponsored academies,All state-funded schools,All state-funded schools,49.4,7419
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Sponsored academies,All state-funded schools,All state-funded schools,48.3,6173
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Sponsored academies,All state-funded schools,All state-funded schools,60.6,277
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Converter academies,All state-funded schools,All state-funded schools,53,200260
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Converter academies,All state-funded schools,All state-funded schools,54.1,10292
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Converter academies,All state-funded schools,All state-funded schools,56.3,20958
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Converter academies,All state-funded schools,All state-funded schools,51.4,9482
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Converter academies,All state-funded schools,All state-funded schools,64.7,1127
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Free schools,All state-funded schools,All state-funded schools,49.5,1187
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Free schools,All state-funded schools,All state-funded schools,53,79
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Free schools,All state-funded schools,All state-funded schools,55.4,411
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Free schools,All state-funded schools,All state-funded schools,48.5,60
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Free schools,All state-funded schools,All state-funded schools,59.6,8
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,University technical colleges,All state-funded schools,All state-funded schools,44.2,1412
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,University technical colleges,All state-funded schools,All state-funded schools,45.3,108
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,University technical colleges,All state-funded schools,All state-funded schools,41.2,125
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,University technical colleges,All state-funded schools,All state-funded schools,40.8,130
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,University technical colleges,All state-funded schools,All state-funded schools,!,!
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Studio schools,All state-funded schools,All state-funded schools,36.7,927
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Studio schools,All state-funded schools,All state-funded schools,37.9,50
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Studio schools,All state-funded schools,All state-funded schools,40.6,70
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Studio schools,All state-funded schools,All state-funded schools,35.3,29
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Studio schools,All state-funded schools,All state-funded schools,!,!
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Further education colleges with provision for 14- to 16-year-olds,All state-funded schools,All state-funded schools,N/A,N/A
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Further education colleges with provision for 14- to 16-year-olds,All state-funded schools,All state-funded schools,N/A,N/A
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Further education colleges with provision for 14- to 16-year-olds,All state-funded schools,All state-funded schools,N/A,N/A
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Further education colleges with provision for 14- to 16-year-olds,All state-funded schools,All state-funded schools,N/A,N/A
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Further education colleges with provision for 14- to 16-year-olds,All state-funded schools,All state-funded schools,N/A,N/A
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,State-funded special schools,All state-funded schools,All state-funded schools,4.1,8235
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,State-funded special schools,All state-funded schools,All state-funded schools,4.6,403
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,State-funded special schools,All state-funded schools,All state-funded schools,1.8,703
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,State-funded special schools,All state-funded schools,All state-funded schools,2.3,517
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,State-funded special schools,All state-funded schools,All state-funded schools,2,18
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,49.7,422763
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,50.5,22868
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,52.5,51218
Average Attainment 8 score per pupil,2016,Academic year,Black,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,48.7,27924
Average Attainment 8 score per pupil,2016,Academic year,Chinese,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,62.4,2026
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded mainstream schools,All state-funded schools,All state-funded schools,50.8,530580
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Local authority maintained mainstream schools,All state-funded schools,All state-funded schools,49.9,191701
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Academies and free schools,All state-funded schools,All state-funded schools,51.3,337452
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Sponsored academies,All state-funded schools,All state-funded schools,45.9,85080
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Converter academies,All state-funded schools,All state-funded schools,53.3,247551
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Free schools,All state-funded schools,All state-funded schools,51,1838
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,University technical colleges,All state-funded schools,All state-funded schools,43.4,1864
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Studio schools,All state-funded schools,All state-funded schools,37.2,1119
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,Further education colleges with provision for 14- to 16-year-olds,All state-funded schools,All state-funded schools,17.6,885
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,State-funded special schools,All state-funded schools,All state-funded schools,3.8,10109
Average Attainment 8 score per pupil,2016,Academic year,All pupils,All pupils,England,Country,E92000001,All pupils,All pupils,All state-funded schools,All state-funded schools,All state-funded schools,All state-funded schools,49.9,540689
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,52.9,359608
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,All SEN,All state-funded schools,31,63150
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,SEN Support,All state-funded schools,36,46589
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,SEN with a statement or EHC plan,All state-funded schools,17.1,16561
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,51.5,175039
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,All SEN,All state-funded schools,30.1,40314
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,SEN Support,All state-funded schools,35.4,28116
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,SEN with a statement or EHC plan,All state-funded schools,17.8,12198
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,54.3,184569
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,All SEN,All state-funded schools,32.8,22836
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,SEN Support,All state-funded schools,36.9,18473
Average Attainment 8 score per pupil,2016,Academic year,White,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,SEN with a statement or EHC plan,All state-funded schools,15.1,4363
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,53.7,19394
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,All SEN,All state-funded schools,32.3,3474
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,SEN Support,All state-funded schools,36.9,2625
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,SEN with a statement or EHC plan,All state-funded schools,18.4,849
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,52.2,9340
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,All SEN,All state-funded schools,30.6,2195
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,SEN Support,All state-funded schools,35.4,1543
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,SEN with a statement or EHC plan,All state-funded schools,19.1,652
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,55.2,10054
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,All SEN,All state-funded schools,35.4,1279
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,SEN Support,All state-funded schools,38.9,1082
Average Attainment 8 score per pupil,2016,Academic year,Mixed,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,SEN with a statement or EHC plan,All state-funded schools,15.9,197
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,55.1,45478
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,All SEN,All state-funded schools,31.3,5740
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,SEN Support,All state-funded schools,36.7,4302
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,All pupils,All pupils,All state-funded schools,,SEN with a statement or EHC plan,All state-funded schools,15.1,1438
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,53.4,23063
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,All SEN,All state-funded schools,30.6,3496
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,SEN Support,All state-funded schools,36,2556
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Boys,All pupils,All state-funded schools,,SEN with a statement or EHC plan,All state-funded schools,15.9,940
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,No identified SEN,All state-funded schools,56.9,22415
Average Attainment 8 score per pupil,2016,Academic year,Asian,White/Asian/Black/Mixed/Chinese,England,Country,E92000001,Girls,All pupils,All state-funded schools,,All SEN,All state-funded schools,32.4,2244
