"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Luton","Local Authority","E06000032","All pupils","All pupils","48","2442","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Norfolk","Local Authority","E10000020","All pupils","All pupils","49","8014","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Peterborough","Local Authority","E06000031","All pupils","All pupils","47","2292","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","54","2047","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Suffolk","Local Authority","E10000029","All pupils","All pupils","49","7158","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Thurrock","Local Authority","E06000034","All pupils","All pupils","48","1721","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Camden","Local Authority","E09000007","All pupils","All pupils","51","1422","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","City of London","Local Authority","E09000001","All pupils","All pupils","N/A","N/A","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Hackney","Local Authority","E09000012","All pupils","All pupils","53","2038","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","54","1350","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Haringey","Local Authority","E09000014","All pupils","All pupils","50","2231","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Islington","Local Authority","E09000019","All pupils","All pupils","51","1397","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","57","740","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Lambeth","Local Authority","E09000022","All pupils","All pupils","50","1887","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Lewisham","Local Authority","E09000023","All pupils","All pupils","48","2334","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Newham","Local Authority","E09000025","All pupils","All pupils","51","3489","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Southwark","Local Authority","E09000028","All pupils","All pupils","53","2386","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","50","2570","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Wandsworth","Local Authority","E09000032","All pupils","All pupils","52","1660","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Westminster","Local Authority","E09000033","All pupils","All pupils","55","1566","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","50","2201","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Barnet","Local Authority","E09000003","All pupils","All pupils","56","3647","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bexley","Local Authority","E09000004","All pupils","All pupils","52","3192","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Brent","Local Authority","E09000005","All pupils","All pupils","52","3035","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bromley","Local Authority","E09000006","All pupils","All pupils","54","3305","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Croydon","Local Authority","E09000008","All pupils","All pupils","49","3844","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Ealing","Local Authority","E09000009","All pupils","All pupils","51","2781","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Enfield","Local Authority","E09000010","All pupils","All pupils","50","3579","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Greenwich","Local Authority","E09000011","All pupils","All pupils","50","2204","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Harrow","Local Authority","E09000015","All pupils","All pupils","53","2127","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Havering","Local Authority","E09000016","All pupils","All pupils","50","2917","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Hillingdon","Local Authority","E09000017","All pupils","All pupils","51","3136","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Hounslow","Local Authority","E09000018","All pupils","All pupils","51","2667","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","58","1515","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Merton","Local Authority","E09000024","All pupils","All pupils","52","1440","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Redbridge","Local Authority","E09000026","All pupils","All pupils","54","3363","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","55","1367","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Sutton","Local Authority","E09000029","All pupils","All pupils","59","2667","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","50","2539","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","51","1076","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","50","2139","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","55","5622","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","East Sussex","Local Authority","E10000011","All pupils","All pupils","49","4930","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Hampshire","Local Authority","E10000014","All pupils","All pupils","51","13101","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","44","1305","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Kent","Local Authority","E10000016","All pupils","All pupils","50","15727","NA","NA"
