"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Brent","Local Authority","E09000005","All pupils","All pupils","52","3035","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bromley","Local Authority","E09000006","All pupils","All pupils","54","3305","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Croydon","Local Authority","E09000008","All pupils","All pupils","49","3844","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Ealing","Local Authority","E09000009","All pupils","All pupils","51","2781","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Enfield","Local Authority","E09000010","All pupils","All pupils","50","3579","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Greenwich","Local Authority","E09000011","All pupils","All pupils","50","2204","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Harrow","Local Authority","E09000015","All pupils","All pupils","53","2127","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Havering","Local Authority","E09000016","All pupils","All pupils","50","2917","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hillingdon","Local Authority","E09000017","All pupils","All pupils","51","3136","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hounslow","Local Authority","E09000018","All pupils","All pupils","51","2667","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","58","1515","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Merton","Local Authority","E09000024","All pupils","All pupils","52","1440","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Redbridge","Local Authority","E09000026","All pupils","All pupils","54","3363","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","55","1367","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Sutton","Local Authority","E09000029","All pupils","All pupils","59","2667","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","50","2539","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","51","1076","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","50","2139","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","55","5622","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","East Sussex","Local Authority","E10000011","All pupils","All pupils","49","4930","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hampshire","Local Authority","E10000014","All pupils","All pupils","51","13101","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","44","1305","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Kent","Local Authority","E10000016","All pupils","All pupils","50","15727","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Medway","Local Authority","E06000035","All pupils","All pupils","50","2967","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","49","2800","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","50","5975","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Portsmouth","Local Authority","E06000044","All pupils","All pupils","46","1729","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Reading","Local Authority","E06000038","All pupils","All pupils","51","1169","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Slough","Local Authority","E06000039","All pupils","All pupils","55","1632","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Southampton","Local Authority","E06000045","All pupils","All pupils","48","1952","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Surrey","Local Authority","E10000030","All pupils","All pupils","53","10399","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","West Berkshire","Local Authority","E06000037","All pupils","All pupils","51","1906","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","West Sussex","Local Authority","E10000032","All pupils","All pupils","51","8118","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","53","1470","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wokingham","Local Authority","E06000041","All pupils","All pupils","54","1601","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","52","2022","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bournemouth","Local Authority","E06000028","All pupils","All pupils","51","1617","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","48","3138","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cornwall","Local Authority","E06000052","All pupils","All pupils","50","5432","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Devon","Local Authority","E10000008","All pupils","All pupils","51","6971","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Dorset","Local Authority","E10000009","All pupils","All pupils","50","4153","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","52","6385","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","50","23","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","North Somerset","Local Authority","E06000024","All pupils","All pupils","50","2176","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Plymouth","Local Authority","E06000026","All pupils","All pupils","48","2640","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Poole","Local Authority","E06000029","All pupils","All pupils","53","1438","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Somerset","Local Authority","E10000027","All pupils","All pupils","50","5137","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","48","2770","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Swindon","Local Authority","E06000030","All pupils","All pupils","48","2109","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Torbay","Local Authority","E06000027","All pupils","All pupils","51","1511","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wiltshire","Local Authority","E06000054","All pupils","All pupils","51","4899","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","County Durham","Local Authority","E06000047","All pupils","All pupils","49","4846","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Darlington","Local Authority","E06000005","All pupils","All pupils","48","1086","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Gateshead","Local Authority","E08000037","All pupils","All pupils","50","1810","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Hartlepool","Local Authority","E06000001","All pupils","All pupils","47","1036","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","46","1164","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","48","1913","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","North Tyneside","Local Authority","E08000022","All pupils","All pupils","51","1833","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Northumberland","Local Authority","E06000057","All pupils","All pupils","48","3100","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","48","1567","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","South Tyneside","Local Authority","E08000023","All pupils","All pupils","49","1421","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","50","1842","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Sunderland","Local Authority","E08000024","All pupils","All pupils","48","2677","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","49","922","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Blackpool","Local Authority","E06000009","All pupils","All pupils","44","1270","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Bolton","Local Authority","E08000001","All pupils","All pupils","48","2354","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Bury","Local Authority","E08000002","All pupils","All pupils","51","1636","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Cheshire East","Local Authority","E06000049","All pupils","All pupils","52","3509","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","51","3283","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Cumbria","Local Authority","E10000006","All pupils","All pupils","49","4987","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Halton","Local Authority","E06000006","All pupils","All pupils","49","1335","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Knowsley","Local Authority","E08000011","All pupils","All pupils","39","1103","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Lancashire","Local Authority","E10000017","All pupils","All pupils","50","10512","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Liverpool","Local Authority","E08000012","All pupils","All pupils","47","3919","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Manchester","Local Authority","E08000003","All pupils","All pupils","45","2312","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Oldham","Local Authority","E08000004","All pupils","All pupils","46","1901","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Rochdale","Local Authority","E08000005","All pupils","All pupils","48","1601","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Salford","Local Authority","E08000006","All pupils","All pupils","46","1832","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Sefton","Local Authority","E08000014","All pupils","All pupils","50","2896","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","St. Helens","Local Authority","E08000013","All pupils","All pupils","49","1675","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Stockport","Local Authority","E08000007","All pupils","All pupils","52","2463","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Tameside","Local Authority","E08000008","All pupils","All pupils","49","2078","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Trafford","Local Authority","E08000009","All pupils","All pupils","56","2118","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Warrington","Local Authority","E06000007","All pupils","All pupils","50","2216","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Wigan","Local Authority","E08000010","All pupils","All pupils","51","3271","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Wirral","Local Authority","E08000015","All pupils","All pupils","52","3222","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Barnsley","Local Authority","E08000016","All pupils","All pupils","47","2018","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Bradford","Local Authority","E08000032","All pupils","All pupils","46","2979","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Calderdale","Local Authority","E08000033","All pupils","All pupils","52","2021","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","Doncaster","Local Authority","E08000017","All pupils","All pupils","47","2808","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","5+1","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","52","3222","NA","NA"
