"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Value-Female","Denominator-Female","Lower CI - Female","Upper CI - Female","Notes - Female","All-value","All-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Stoke-on-Trent","Local Authority","E06000021","Boys","All pupils","45","1129","NA","NA","49","1140","NA","NA","","47","2269"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Telford and Wrekin","Local Authority","E06000020","Boys","All pupils","47","1093","NA","NA","52","921","NA","NA","","50","2014"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Walsall","Local Authority","E08000030","Boys","All pupils","46","1709","NA","NA","50","1552","NA","NA","","48","3261"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Warwickshire","Local Authority","E10000031","Boys","All pupils","50","2913","NA","NA","54","2672","NA","NA","","52","5585"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wolverhampton","Local Authority","E08000031","Boys","All pupils","44","1209","NA","NA","51","1261","NA","NA","","48","2470"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Worcestershire","Local Authority","E10000034","Boys","All pupils","48","2818","NA","NA","53","2747","NA","NA","","51","5565"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bedford","Local Authority","E06000055","Boys","All pupils","47","942","NA","NA","52","920","NA","NA","","49","1862"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Cambridgeshire","Local Authority","E10000003","Boys","All pupils","49","2898","NA","NA","54","2809","NA","NA","","52","5707"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Central Bedfordshire","Local Authority","E06000056","Boys","All pupils","47","1279","NA","NA","52","1317","NA","NA","","49","2596"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Essex","Local Authority","E10000012","Boys","All pupils","48","7474","NA","NA","53","7133","NA","NA","","50","14607"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Hertfordshire","Local Authority","E10000015","Boys","All pupils","51","6510","NA","NA","56","6103","NA","NA","","53","12613"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Luton","Local Authority","E06000032","Boys","All pupils","46","1253","NA","NA","49","1189","NA","NA","","48","2442"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Norfolk","Local Authority","E10000020","Boys","All pupils","47","4112","NA","NA","51","3902","NA","NA","","49","8014"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Peterborough","Local Authority","E06000031","Boys","All pupils","45","1155","NA","NA","49","1137","NA","NA","","47","2292"
