"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Value-Female","Denominator-Female","Lower CI - Female","Upper CI - Female","Notes - Female","All-value","All-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","Wiltshire","Local Authority","E06000054","Boys","All pupils","47","22","NA","NA","53","16","NA","NA","","49","38"
"Average Attainment 8 score per pupil","2016","Academic year","Black","5+1","All - England","Country","E92000001","Boys","All pupils","46","13718","NA","NA","52","13871","NA","NA","","49","27589"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","County Durham","Local Authority","E06000047","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","58","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Darlington","Local Authority","E06000005","Boys","All pupils","N/A","0","NA","NA","62","3","NA","NA","","62","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Gateshead","Local Authority","E08000037","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Hartlepool","Local Authority","E06000001","Boys","All pupils","!","!","NA","NA","N/A","0","NA","NA","Not applicable","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Middlesbrough","Local Authority","E06000002","Boys","All pupils","N/A","0","NA","NA","N/A","0","NA","NA","Not applicable","N/A","0"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Newcastle upon Tyne","Local Authority","E08000021","Boys","All pupils","53","7","NA","NA","58","6","NA","NA","","55","13"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","North Tyneside","Local Authority","E08000022","Boys","All pupils","62","4","NA","NA","72","5","NA","NA","","67","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Northumberland","Local Authority","E06000057","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","69","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Redcar and Cleveland","Local Authority","E06000003","Boys","All pupils","N/A","0","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","South Tyneside","Local Authority","E08000023","Boys","All pupils","N/A","0","NA","NA","N/A","0","NA","NA","Not applicable","N/A","0"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Stockton-on-Tees","Local Authority","E06000004","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Sunderland","Local Authority","E08000024","Boys","All pupils","N/A","0","NA","NA","65","3","NA","NA","","65","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Blackburn with Darwen","Local Authority","E06000008","Boys","All pupils","!","!","NA","NA","N/A","0","NA","NA","Not applicable","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Blackpool","Local Authority","E06000009","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","60","5"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bolton","Local Authority","E08000001","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","57","7"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bury","Local Authority","E08000002","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","50","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Cheshire East","Local Authority","E06000049","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","60","15"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Cheshire West and Chester","Local Authority","E06000050","Boys","All pupils","49","3","NA","NA","65","5","NA","NA","","59","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Cumbria","Local Authority","E10000006","Boys","All pupils","67","3","NA","NA","64","6","NA","NA","","65","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Halton","Local Authority","E06000006","Boys","All pupils","N/A","0","NA","NA","N/A","0","NA","NA","Not applicable","N/A","0"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Knowsley","Local Authority","E08000011","Boys","All pupils","N/A","0","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Lancashire","Local Authority","E10000017","Boys","All pupils","61","16","NA","NA","66","16","NA","NA","","63","32"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Liverpool","Local Authority","E08000012","Boys","All pupils","63","22","NA","NA","63","23","NA","NA","","63","45"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Manchester","Local Authority","E08000003","Boys","All pupils","57","24","NA","NA","63","19","NA","NA","","60","43"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Oldham","Local Authority","E08000004","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","65","7"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Rochdale","Local Authority","E08000005","Boys","All pupils","!","!","NA","NA","N/A","0","NA","NA","Not applicable","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Salford","Local Authority","E08000006","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","58","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Sefton","Local Authority","E08000014","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","59","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","St Helens","Local Authority","E08000013","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","71","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Stockport","Local Authority","E08000007","Boys","All pupils","43","6","NA","NA","57","10","NA","NA","","52","16"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Tameside","Local Authority","E08000008","Boys","All pupils","53","5","NA","NA","61","7","NA","NA","","57","12"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Trafford","Local Authority","E08000009","Boys","All pupils","62","27","NA","NA","74","22","NA","NA","","68","49"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Warrington","Local Authority","E06000007","Boys","All pupils","63","3","NA","NA","64","3","NA","NA","","64","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Wigan","Local Authority","E08000010","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","65","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Wirral","Local Authority","E08000015","Boys","All pupils","70","5","NA","NA","60","9","NA","NA","","63","14"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Barnsley","Local Authority","E08000016","Boys","All pupils","N/A","0","NA","NA","N/A","0","NA","NA","Not applicable","N/A","0"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bradford","Local Authority","E08000032","Boys","All pupils","N/A","0","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Calderdale","Local Authority","E08000033","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","60","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Doncaster","Local Authority","E08000017","Boys","All pupils","57","3","NA","NA","65","7","NA","NA","","62","10"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","East Riding of Yorkshire","Local Authority","E06000011","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","63","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Kingston upon Hull, City of","Local Authority","E06000010","Boys","All pupils","N/A","0","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Kirklees","Local Authority","E08000034","Boys","All pupils","63","3","NA","NA","62","7","NA","NA","","63","10"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Leeds","Local Authority","E08000035","Boys","All pupils","59","14","NA","NA","62","14","NA","NA","","61","28"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","North East Lincolnshire","Local Authority","E06000012","Boys","All pupils","N/A","0","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","North Lincolnshire","Local Authority","E06000013","Boys","All pupils","72","4","NA","NA","N/A","0","NA","NA","Not applicable","72","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","North Yorkshire","Local Authority","E10000023","Boys","All pupils","65","6","NA","NA","69","7","NA","NA","","67","13"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Rotherham","Local Authority","E08000018","Boys","All pupils","67","4","NA","NA","68","4","NA","NA","","67","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Sheffield","Local Authority","E08000019","Boys","All pupils","63","7","NA","NA","68","11","NA","NA","","66","18"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Wakefield","Local Authority","E08000036","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","52","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","York","Local Authority","E06000014","Boys","All pupils","67","4","NA","NA","58","5","NA","NA","","62","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Derby","Local Authority","E06000015","Boys","All pupils","57","4","NA","NA","72","4","NA","NA","","64","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Derbyshire","Local Authority","E10000007","Boys","All pupils","50","10","NA","NA","58","4","NA","NA","","52","14"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Leicester","Local Authority","E06000016","Boys","All pupils","N/A","0","NA","NA","62","3","NA","NA","","62","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Leicestershire","Local Authority","E10000018","Boys","All pupils","50","13","NA","NA","63","9","NA","NA","","56","22"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Lincolnshire","Local Authority","E10000019","Boys","All pupils","61","19","NA","NA","69","14","NA","NA","","65","33"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Northamptonshire","Local Authority","E10000021","Boys","All pupils","64","10","NA","NA","61","10","NA","NA","","63","20"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Nottingham","Local Authority","E06000018","Boys","All pupils","65","4","NA","NA","62","4","NA","NA","","63","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Nottinghamshire","Local Authority","E10000024","Boys","All pupils","61","13","NA","NA","67","12","NA","NA","","64","25"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Rutland","Local Authority","E06000017","Boys","All pupils","N/A","0","NA","NA","N/A","0","NA","NA","Not applicable","N/A","0"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Birmingham","Local Authority","E08000025","Boys","All pupils","59","21","NA","NA","71","24","NA","NA","","66","45"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Coventry","Local Authority","E08000026","Boys","All pupils","45","3","NA","NA","66","6","NA","NA","","59","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Dudley","Local Authority","E08000027","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","59","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Herefordshire, County of","Local Authority","E06000019","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","59","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Sandwell","Local Authority","E08000028","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","64","5"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Shropshire","Local Authority","E06000051","Boys","All pupils","56","4","NA","NA","49","4","NA","NA","","52","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Solihull","Local Authority","E08000029","Boys","All pupils","52","6","NA","NA","61","4","NA","NA","","55","10"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Staffordshire","Local Authority","E10000028","Boys","All pupils","60","7","NA","NA","62","13","NA","NA","","61","20"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Stoke-on-Trent","Local Authority","E06000021","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","62","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Telford and Wrekin","Local Authority","E06000020","Boys","All pupils","59","6","NA","NA","63","3","NA","NA","","60","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Walsall","Local Authority","E08000030","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","64","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Warwickshire","Local Authority","E10000031","Boys","All pupils","51","10","NA","NA","74","6","NA","NA","","60","16"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Wolverhampton","Local Authority","E08000031","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","56","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Worcestershire","Local Authority","E10000034","Boys","All pupils","56","4","NA","NA","65","4","NA","NA","","60","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bedford","Local Authority","E06000055","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","68","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Cambridgeshire","Local Authority","E10000003","Boys","All pupils","60","17","NA","NA","66","13","NA","NA","","63","30"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Central Bedfordshire","Local Authority","E06000056","Boys","All pupils","46","4","NA","NA","70","6","NA","NA","","60","10"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Essex","Local Authority","E10000012","Boys","All pupils","57","25","NA","NA","62","26","NA","NA","","59","51"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Hertfordshire","Local Authority","E10000015","Boys","All pupils","68","30","NA","NA","62","33","NA","NA","","65","63"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Luton","Local Authority","E06000032","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","56","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Norfolk","Local Authority","E10000020","Boys","All pupils","63","12","NA","NA","59","13","NA","NA","","61","25"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Peterborough","Local Authority","E06000031","Boys","All pupils","71","3","NA","NA","61","5","NA","NA","","65","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Southend-on-Sea","Local Authority","E06000033","Boys","All pupils","64","12","NA","NA","68","10","NA","NA","","66","22"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Suffolk","Local Authority","E10000029","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","55","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Thurrock","Local Authority","E06000034","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","61","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Camden","Local Authority","E09000007","Boys","All pupils","68","3","NA","NA","66","7","NA","NA","","66","10"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","City of London","Local Authority","E09000001","Boys","All pupils","N/A","N/A","NA","NA","N/A","N/A","NA","NA","Not applicable","N/A","N/A"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Hackney","Local Authority","E09000012","Boys","All pupils","64","7","NA","NA","73","5","NA","NA","","68","12"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Hammersmith and Fulham","Local Authority","E09000013","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","66","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Haringey","Local Authority","E09000014","Boys","All pupils","50","7","NA","NA","61","5","NA","NA","","55","12"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Islington","Local Authority","E09000019","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Kensington and Chelsea","Local Authority","E09000020","Boys","All pupils","N/A","0","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Lambeth","Local Authority","E09000022","Boys","All pupils","63","8","NA","NA","64","7","NA","NA","","64","15"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Lewisham","Local Authority","E09000023","Boys","All pupils","64","14","NA","NA","59","23","NA","NA","","61","37"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Newham","Local Authority","E09000025","Boys","All pupils","56","6","NA","NA","64","5","NA","NA","","60","11"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Southwark","Local Authority","E09000028","Boys","All pupils","62","21","NA","NA","67","13","NA","NA","","64","34"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Tower Hamlets","Local Authority","E09000030","Boys","All pupils","65","5","NA","NA","71","5","NA","NA","","68","10"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Wandsworth","Local Authority","E09000032","Boys","All pupils","70","6","NA","NA","65","8","NA","NA","","67","14"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Westminster","Local Authority","E09000033","Boys","All pupils","61","9","NA","NA","72","9","NA","NA","","66","18"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Barking and Dagenham","Local Authority","E09000002","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","55","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Barnet","Local Authority","E09000003","Boys","All pupils","65","21","NA","NA","71","25","NA","NA","","68","46"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bexley","Local Authority","E09000004","Boys","All pupils","63","22","NA","NA","65","18","NA","NA","","63","40"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Brent","Local Authority","E09000005","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","62","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bromley","Local Authority","E09000006","Boys","All pupils","62","21","NA","NA","71","15","NA","NA","","66","36"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Croydon","Local Authority","E09000008","Boys","All pupils","62","8","NA","NA","66","13","NA","NA","","65","21"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Ealing","Local Authority","E09000009","Boys","All pupils","N/A","0","NA","NA","64","5","NA","NA","","64","5"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Enfield","Local Authority","E09000010","Boys","All pupils","60","9","NA","NA","72","11","NA","NA","","67","20"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Greenwich","Local Authority","E09000011","Boys","All pupils","58","13","NA","NA","64","11","NA","NA","","61","24"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Harrow","Local Authority","E09000015","Boys","All pupils","47","5","NA","NA","76","6","NA","NA","","63","11"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Havering","Local Authority","E09000016","Boys","All pupils","60","7","NA","NA","64","4","NA","NA","","62","11"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Hillingdon","Local Authority","E09000017","Boys","All pupils","57","6","NA","NA","66","6","NA","NA","","62","12"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Hounslow","Local Authority","E09000018","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","52","5"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Kingston upon Thames","Local Authority","E09000021","Boys","All pupils","73","11","NA","NA","69","12","NA","NA","","71","23"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Merton","Local Authority","E09000024","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","64","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Redbridge","Local Authority","E09000026","Boys","All pupils","66","11","NA","NA","66","9","NA","NA","","66","20"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Richmond upon Thames","Local Authority","E09000027","Boys","All pupils","64","7","NA","NA","56","5","NA","NA","","61","12"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Sutton","Local Authority","E09000029","Boys","All pupils","73","23","NA","NA","74","18","NA","NA","","74","41"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Waltham Forest","Local Authority","E09000031","Boys","All pupils","47","10","NA","NA","57","12","NA","NA","","53","22"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bracknell Forest","Local Authority","E06000036","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","64","4"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Brighton and Hove","Local Authority","E06000043","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","71","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Buckinghamshire","Local Authority","E10000002","Boys","All pupils","63","10","NA","NA","63","8","NA","NA","","63","18"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","East Sussex","Local Authority","E10000011","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","65","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Hampshire","Local Authority","E10000014","Boys","All pupils","62","26","NA","NA","67","9","NA","NA","","64","35"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Isle of Wight","Local Authority","E06000046","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","38","3"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Kent","Local Authority","E10000016","Boys","All pupils","67","33","NA","NA","66","31","NA","NA","","66","64"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Medway","Local Authority","E06000035","Boys","All pupils","65","5","NA","NA","70","6","NA","NA","","67","11"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Milton Keynes","Local Authority","E06000042","Boys","All pupils","50","11","NA","NA","67","4","NA","NA","","55","15"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Oxfordshire","Local Authority","E10000025","Boys","All pupils","57","14","NA","NA","68","12","NA","NA","","62","26"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Portsmouth","Local Authority","E06000044","Boys","All pupils","58","4","NA","NA","71","3","NA","NA","","64","7"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Reading","Local Authority","E06000038","Boys","All pupils","79","12","NA","NA","77","9","NA","NA","","78","21"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Slough","Local Authority","E06000039","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","73","5"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Southampton","Local Authority","E06000045","Boys","All pupils","66","4","NA","NA","58","5","NA","NA","","61","9"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Surrey","Local Authority","E10000030","Boys","All pupils","58","25","NA","NA","66","19","NA","NA","","61","44"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","West Berkshire","Local Authority","E06000037","Boys","All pupils","66","7","NA","NA","57","5","NA","NA","","62","12"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","West Sussex","Local Authority","E10000032","Boys","All pupils","51","5","NA","NA","62","7","NA","NA","","58","12"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Windsor and Maidenhead","Local Authority","E06000040","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","64","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Wokingham","Local Authority","E06000041","Boys","All pupils","66","4","NA","NA","67","6","NA","NA","","67","10"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bath and North East Somerset","Local Authority","E06000022","Boys","All pupils","!","!","NA","NA","69","3","NA","NA","","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bournemouth","Local Authority","E06000028","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","63","7"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Bristol, City of","Local Authority","E06000023","Boys","All pupils","55","11","NA","NA","61","4","NA","NA","","57","15"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Cornwall","Local Authority","E06000052","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","!","!"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Devon","Local Authority","E10000008","Boys","All pupils","61","5","NA","NA","65","8","NA","NA","","63","13"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Dorset","Local Authority","E10000009","Boys","All pupils","64","3","NA","NA","66","8","NA","NA","","65","11"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Gloucestershire","Local Authority","E10000013","Boys","All pupils","59","6","NA","NA","63","17","NA","NA","","62","23"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Isles of Scilly","Local Authority","E06000053","Boys","All pupils","N/A","0","NA","NA","N/A","0","NA","NA","Not applicable","N/A","0"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","North Somerset","Local Authority","E06000024","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","58","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Plymouth","Local Authority","E06000026","Boys","All pupils","58","8","NA","NA","64","5","NA","NA","","60","13"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Poole","Local Authority","E06000029","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","68","5"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Somerset","Local Authority","E10000027","Boys","All pupils","59","3","NA","NA","61","8","NA","NA","","61","11"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","South Gloucestershire","Local Authority","E06000025","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","66","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Swindon","Local Authority","E06000030","Boys","All pupils","!","!","NA","NA","!","!","NA","NA","Suppressed","57","10"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Torbay","Local Authority","E06000027","Boys","All pupils","72","4","NA","NA","66","4","NA","NA","","69","8"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","Wiltshire","Local Authority","E06000054","Boys","All pupils","66","3","NA","NA","71","3","NA","NA","","69","6"
"Average Attainment 8 score per pupil","2016","Academic year","Chinese","5+1","All - England","Country","E92000001","Boys","All pupils","61","1002","NA","NA","65","985","NA","NA","","63","1987"
"Average Attainment 8 score per pupil","2016","Academic year","Mixed","5+1","County Durham","Local Authority","E06000047","Boys","All pupils","44","16","NA","NA","57","26","NA","NA","","52","42"
