"Title","Internet use"
"Location","UK"
"Time period","January to March 2017"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/businessindustryandtrade/itandinternetindustry/bulletins/internetusers/2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-03-02"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","North West","Region","16+","88.4","82.0","94.8","96"," 89 "," 103 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","East Midlands","Region","16+","91","83.8","98.2","68"," 63 "," 74 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","West Midlands","Region","16+","88.8","83.5","94.1","140"," 132 "," 148 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","East of England","Region","16+","95.7","91.5","?","96"," 92 "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","London","Region","16+","92.8","90.6","94.9","744"," 727 "," 761 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","South East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","South West","Region","16+","69.6","54.7","84.5","29"," 23 "," 35 ",""
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Scotland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Black","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","16-24","99.2","98.9","99.4","7,033"," 7,017 "," 7,050 ",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","25-34","99.1","98.9","99.3","8,809"," 8,790 "," 8,828 ",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","35-44","98.4","98.1","98.7","8,110"," 8,088 "," 8,132 ",""
"Used the internet in the last 3 months","2017","Year","All","All","UK","UK","45-54","96.2","95.8","96.6","8,800"," 8,764 "," 8,837 ",""
