"","All","Asian","Black","Chinese","Mixed","White"
"Milton Keynes","77","85","81","!","80","75"
"Newcastle upon Tyne","74","69","80","78","75","75"
"Newham","78","80","80","90","81","73"
"Norfolk","75","77","70","88","73","75"
"North East Lincolnshire","73","83","!","!","79","72"
"North Lincolnshire","77","87","67","!","88","77"
"North Somerset","79","80","!","!","77","79"
"North Tyneside","79","60","67","!","87","79"
"North Yorkshire","75","76","76","75","78","75"
"Northamptonshire","75","77","75","82","78","75"
"Northumberland","80","!","!","!","79","81"
"Nottingham","70","73","76","82","72","69"
"Nottinghamshire","73","76","75","80","76","73"
"Oldham","69","65","60","100","76","72"
"Oxfordshire","76","76","78","!","76","76"
"Peterborough","69","70","70","!","76","69"
"Plymouth","73","79","73","79","76","73"
"Poole","79","89","100","!","80","79"
"Portsmouth","74","75","77","!","84","74"
"Reading","75","79","74","100","82","73"
"Redbridge","79","83","78","90","77","74"
"Redcar and Cleveland","78","!","!","N/A","82","78"
"Richmond upon Thames","83","89","72","87","83","83"
"Rochdale","71","72","69","!","73","72"
"Rotherham","73","73","81","80","72","73"
"Rutland","79","100","33","N/A","100","79"
"Salford","75","83","78","!","81","74"
"Sandwell","71","74","71","!","73","69"
"Sefton","74","78","67","!","72","74"
"Sheffield","74","74","73","85","74","74"
"Shropshire","74","77","!","!","85","73"
"Slough","77","83","77","!","74","69"
"Solihull","79","84","81","!","80","77"
"Somerset","76","85","79","!","75","77"
"South Gloucestershire","82","88","72","!","80","82"
"South Tyneside","77","85","!","!","76","77"
"Southampton","73","80","78","79","77","72"
"Southend-on-Sea","78","81","80","100","80","78"
"Southwark","79","77","80","85","81","80"
"St. Helens","72","64","56","60","77","72"
"Staffordshire","79","81","77","87","80","79"
"Stockport","77","72","71","63","81","78"
"Stockton-on-Tees","78","80","91","!","76","78"
"Stoke-on-Trent","72","74","73","80","73","72"
"Suffolk","74","80","73","!","72","74"
"Sunderland","76","76","89","!","80","76"
"Surrey","80","80","80","77","84","80"
"Sutton","78","85","82","!","78","76"
"Swindon","76","75","81","70","80","76"
"Tameside","72","68","70","65","65","73"
"Telford and Wrekin","77","75","75","!","85","77"
"Thurrock","77","83","85","100","82","74"
"Torbay","74","64","!","!","73","75"
"Tower Hamlets","76","78","78","!","77","72"
"Trafford","80","82","72","83","79","81"
"Wakefield","72","63","66","!","82","73"
"Walsall","71","74","77","73","73","71"
"Waltham Forest","81","85","82","85","84","78"
"Wandsworth","82","82","74","!","81","85"
"Warrington","77","82","!","!","85","77"
"Warwickshire","77","80","81","!","80","77"
"West Berkshire","78","85","88","100","80","78"
"West Sussex","73","69","68","85","76","73"
"Westminster","76","72","77","!","81","82"
"Wigan","75","77","78","80","80","75"
"Wiltshire","74","77","74","64","78","75"
"Windsor and Maidenhead","81","82","78","100","85","81"
"Wirral","73","66","!","!","74","73"
"Wokingham","82","84","75","100","80","81"
"Wolverhampton","73","77","78","84","74","72"
"Worcestershire","77","73","67","!","75","77"
"York","77","64","!","!","79","77"
