"Title","Percentage of homeless households by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Homelessness statistics"
"Data source link","https://www.gov.uk/government/collections/homelessness-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","23 March 2017"

"","Asian","","Black","","Mixed","","White","","Other","","Unknown",""
"Geography","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Malvern Hills","!","!","!","!","!","!","92","36","!","!","!","!"
"Manchester","13","157","22","276","4","55","45","562","15","184","1","8"
"Mansfield","!","!","!","!","!","!","96","162","!","!","!","!"
"Medway","3","12","7","25","2","7","81","279","2","6","4","15"
"Melton","!","!","!","!","!","!","!","!","!","!","!","!"
"Mendip","!","!","!","!","!","!","86","25","!","!","!","!"
"Merton","23","26","32","37","4","5","23","27","5","6","12","14"
"Mid Devon","!","!","!","!","!","!","!","!","!","!","!","!"
"Mid Suffolk","!","!","!","!","!","!","!","!","!","!","!","!"
"Mid Sussex","!","!","!","!","!","!","91","43","!","!","!","!"
"Middlesbrough","!","!","!","!","!","!","90","37","!","!","!","!"
"Milton Keynes","7","53","22","155","5","37","53","375","1","7","12","83"
"Mole Valley","!","!","!","!","!","!","82","23","!","!","!","!"
"New Forest","!","!","!","!","!","!","93","99","!","!","!","!"
"Newark and Sherwood","!","!","!","!","!","!","!","!","!","!","!","!"
"Newcastle upon Tyne","13","24","7","13","!","!","75","137","3","5","!","!"
"Newcastle-under-Lyme","!","!","!","!","!","!","93","14","!","!","!","!"
"Newham","35","425","31","369","4","47","22","271","4","44","4","50"
"North Devon","!","!","!","!","!","!","76","44","!","!","22","13"
"North Dorset","!","!","!","!","!","!","92","44","!","!","!","!"
"North East Derbyshire","!","!","!","!","!","!","91","10","!","!","!","!"
"North East Lincolnshire","!","!","!","!","!","!","95","99","!","!","!","!"
"North Hertfordshire","!","!","11","8","!","!","74","56","!","!","11","8"
"North Kesteven","!","!","!","!","!","!","98","87","!","!","!","!"
"North Lincolnshire","!","!","!","!","!","!","95","94","!","!","!","!"
"North Norfolk","!","!","!","!","!","!","98","92","!","!","!","!"
"North Somerset","!","!","!","!","!","!","91","96","!","!","8","8"
"North Tyneside","!","!","3","5","!","!","90","151","!","!","!","!"
"North Warwickshire","!","!","!","!","!","!","!","!","!","!","!","!"
"North West Leicestershire","!","!","!","!","!","!","!","!","!","!","!","!"
"Northampton","4","20","14","66","4","18","78","370","!","!","!","!"
"Northumberland","!","!","!","!","!","!","95","196","!","!","!","!"
"Norwich","9","8","!","!","!","!","85","73","!","!","!","!"
"Nottingham","10","50","18","91","6","29","55","272","5","26","5","24"
"Nuneaton and Bedworth","4","5","!","!","!","!","93","119","!","!","!","!"
"Oadby and Wigston","11","6","!","!","!","!","75","41","!","!","!","!"
"Oldham","26","22","9","8","!","!","55","47","!","!","!","!"
"Oxford","19","24","14","18","6","7","51","64","5","6","5","6"
"Pendle","!","!","!","!","!","!","87","13","!","!","!","!"
"Peterborough","7","48","7","45","4","26","74","490","2","10","7","45"
"Plymouth","2","7","3","9","!","!","88","289","5","16","2","5"
"Poole","!","!","!","!","!","!","85","64","!","!","9","7"
"Portsmouth","4","18","8","37","!","!","84","413","3","14","1","5"
"Preston","!","!","!","!","!","!","91","39","!","!","!","!"
"Purbeck","!","!","!","!","!","!","97","30","!","!","!","!"
"Reading","12","50","15","62","8","32","57","233","2","8","5","22"
"Redbridge","34","157","25","118","3","14","23","109","1","6","13","60"
"Redcar and Cleveland","!","!","!","!","!","!","!","!","!","!","!","!"
"Redditch","5","6","!","!","!","!","94","103","!","!","!","!"
"Reigate and Banstead","!","!","13","10","!","!","80","63","!","!","!","!"
"Ribble Valley","!","!","!","!","!","!","!","!","!","!","!","!"
"Richmond upon Thames","12","23","8","16","7","13","59","113","4","7","10","20"
"Richmondshire","!","!","!","!","!","!","93","54","!","!","!","!"
"Rochdale","14","40","9","26","3","8","60","179","13","37","2","6"
"Rochford","!","!","!","!","!","!","!","!","!","!","!","!"
"Rossendale","!","!","!","!","!","!","97","36","!","!","!","!"
"Rother","!","!","!","!","!","!","!","!","!","!","!","!"
"Rotherham","7","7","11","11","!","!","72","72","7","7","!","!"
"Rugby","!","!","5","8","3","5","87","146","!","!","3","5"
"Runnymede","!","!","!","!","!","!","91","62","!","!","!","!"
"Rushcliffe","!","!","!","!","!","!","65","13","!","!","!","!"
"Rushmoor","8","7","6","5","!","!","80","67","!","!","!","!"
"Rutland","!","!","!","!","!","!","!","!","!","!","!","!"
"Ryedale","!","!","!","!","!","!","!","!","!","!","!","!"
"Salford","8","27","13","44","3","10","64","218","6","22","6","19"
"Sandwell","11","60","14","77","4","22","43","239","11","61","17","92"
"Scarborough","!","!","!","!","!","!","98","88","!","!","!","!"
"Sedgemoor","!","!","!","!","!","!","95","69","!","!","!","!"
"Sefton","!","!","!","!","!","!","92","82","!","!","!","!"
"Selby","!","!","!","!","!","!","94","17","!","!","!","!"
"Sevenoaks","!","!","!","!","!","!","76","29","!","!","13","5"
"Sheffield","11","50","14","61","6","28","60","262","5","21","4","16"
"Shepway","!","!","!","!","!","!","94","81","!","!","!","!"
"Shropshire","!","!","!","!","!","!","96","250","!","!","!","!"
"Slough","36","85","23","54","3","8","33","78","5","11","!","!"
"Solihull","5","20","4","17","6","23","82","344","2","8","1","6"
"South Bucks","7","5","!","!","!","!","62","42","!","!","24","16"
"South Cambridgeshire","!","!","4","7","!","!","86","144","!","!","6","10"
"South Derbyshire","!","!","!","!","!","!","99","108","!","!","!","!"
"South Gloucestershire","!","!","6","9","3","5","78","123","!","!","10","15"
"South Hams","!","!","!","!","!","!","!","!","!","!","!","!"
"South Holland","!","!","!","!","!","!","98","41","!","!","!","!"
"South Kesteven","!","!","!","!","!","!","96","190","!","!","!","!"
"South Lakeland","!","!","!","!","!","!","86","19","!","!","!","!"
"South Norfolk","!","!","!","!","!","!","88","38","!","!","!","!"
"South Northamptonshire","!","!","!","!","!","!","92","49","!","!","!","!"
"South Oxfordshire","!","!","!","!","!","!","88","29","!","!","!","!"
"South Ribble","!","!","!","!","!","!","95","42","!","!","!","!"
"South Somerset","!","!","!","!","!","!","98","177","!","!","!","!"
"South Staffordshire","!","!","!","!","!","!","!","!","!","!","!","!"
"South Tyneside","!","!","!","!","!","!","93","110","!","!","!","!"
"Southampton","10","27","8","21","2","6","79","206","!","!","!","!"
"Southend-on-Sea","4","5","4","5","!","!","86","108","!","!","!","!"
"Southwark","2","20","40","366","3","28","19","171","2","16","35","317"
"Spelthorne","!","!","!","!","!","!","54","56","!","!","38","39"
"St Albans","5","7","8","10","6","8","71","93","!","!","8","10"
"St Edmundsbury","!","!","!","!","!","!","94","137","!","!","!","!"
"St. Helens","!","!","!","!","!","!","86","72","!","!","6","5"
"Stafford","!","!","!","!","!","!","96","73","!","!","!","!"
"Staffordshire Moorlands","!","!","!","!","!","!","!","!","!","!","!","!"
"Stevenage","10","12","11","13","!","!","57","68","!","!","17","20"
"Stockport","5","11","5","11","5","11","71","168","7","17","8","20"
"Stockton-on-Tees","28","16","14","8","!","!","53","30","!","!","!","!"
"Stoke-on-Trent","6","13","6","13","!","!","69","150","9","20","8","17"
"Stratford-on-Avon","!","!","!","!","5","7","87","124","!","!","4","5"
"Stroud","!","!","!","!","!","!","!","!","!","!","!","!"
"Suffolk Coastal","!","!","!","!","!","!","93","13","!","!","!","!"
"Sunderland","9","5","!","!","!","!","88","50","!","!","!","!"
"Surrey Heath","!","!","7","5","!","!","81","56","!","!","!","!"
"Sutton","10","31","12","37","4","13","69","219","3","8","3","8"
"Swale","!","!","!","!","!","!","96","156","!","!","!","!"
"Swindon","7","14","4","8","3","5","63","121","3","6","20","38"
"Tameside","4","9","4","8","2","5","85","186","!","!","4","8"
"Tamworth","!","!","!","!","!","!","92","118","!","!","5","7"
"Tandridge","!","!","!","!","!","!","88","21","!","!","!","!"
"Taunton Deane","!","!","!","!","!","!","95","112","!","!","!","!"
"Teignbridge","!","!","!","!","!","!","97","31","!","!","!","!"
"Telford and Wrekin","!","!","!","!","!","!","92","65","!","!","!","!"
"Tendring","!","!","!","!","!","!","99","91","!","!","!","!"
"Test Valley","!","!","!","!","!","!","85","35","!","!","!","!"
"Tewkesbury","!","!","!","!","!","!","98","60","!","!","!","!"
"Thanet","!","!","2","5","!","!","95","192","!","!","!","!"
"Three Rivers","11","7","!","!","8","5","71","45","!","!","!","!"
"Thurrock","3","8","20","58","!","!","71","205","3","9","2","5"
"Tonbridge and Malling","!","!","!","!","!","!","91","70","!","!","!","!"
"Torbay","!","!","!","!","!","!","95","157","!","!","!","!"
"Torridge","!","!","!","!","!","!","92","24","!","!","!","!"
"Tower Hamlets","60","271","17","78","3","12","18","82","2","7","!","!"
"Trafford","9","15","9","15","5","8","70","118","6","10","!","!"
"Tunbridge Wells","!","!","!","!","!","!","87","39","!","!","!","!"
"Uttlesford","!","!","!","!","!","!","76","45","!","!","17","10"
"Vale of White Horse","!","!","!","!","!","!","92","12","!","!","!","!"
"Wakefield","4","7","4","8","!","!","84","167","!","!","6","11"
"Walsall","11","34","7","20","5","14","75","229","!","!","!","!"
"Waltham Forest","22","178","34","276","5","37","34","275","4","31","3","23"
"Wandsworth","19","149","30","237","4","33","31","244","8","65","9","70"
"Warrington","!","!","3","6","!","!","85","167","!","!","9","17"
"Warwick","4","5","!","!","4","5","71","96","11","15","10","13"
"Watford","26","43","16","27","!","!","54","91","!","!","!","!"
"Waveney","!","!","!","!","!","!","88","28","!","!","!","!"
"Waverley","!","!","!","!","!","!","!","!","!","!","!","!"
"Wealden","!","!","!","!","!","!","97","124","!","!","!","!"
