"Title","Stop and search by ethnicity and area"
"Location","England and Wales"
"Time period","2015/16"
"Data source","Stop and Search open data
  https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/561980/stop-search-open-data-tables-ppp.ods"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Ethnicity_type","Geography","Geography_type"," Number of stop and searches "," Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ","Population by ethnicity","Value","Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported)"
"White","ONS 2001 5+1","Humberside","Police Force Area","354"," 366 ","885,279","0.40","96.7%"
"Asian","ONS 2001 5+1","Humberside","Police Force Area","4"," 366 ","12,191","0.33","1.1%"
"Black","ONS 2001 5+1","Humberside","Police Force Area","4"," 366 ","4,499","0.89","1.1%"
"Other","ONS 2001 5+1","Humberside","Police Force Area","0"," 366 ","7,493","0.00","0.0%"
"Mixed","ONS 2001 5+1","Humberside","Police Force Area","4"," 366 ","8,185","0.49","1.1%"
"White","ONS 2001 5+1","Kent","Police Force Area","5,179"," 6,845 ","1,607,681","3.22","75.7%"
"Asian","ONS 2001 5+1","Kent","Police Force Area","164"," 6,845 ","54,186","3.03","2.4%"
"Black","ONS 2001 5+1","Kent","Police Force Area","614"," 6,845 ","22,879","26.84","9.0%"
"Other","ONS 2001 5+1","Kent","Police Force Area","754"," 6,845 ","15,636","48.22","11.0%"
"Mixed","ONS 2001 5+1","Kent","Police Force Area","134"," 6,845 ","27,283","4.91","2.0%"
"White","ONS 2001 5+1","Lancashire","Police Force Area","4,778"," 5,472 ","1,320,035","3.62","87.3%"
"Asian","ONS 2001 5+1","Lancashire","Police Force Area","541"," 5,472 ","108,784","4.97","9.9%"
"Black","ONS 2001 5+1","Lancashire","Police Force Area","68"," 5,472 ","5,377","12.65","1.2%"
"Other","ONS 2001 5+1","Lancashire","Police Force Area","10"," 5,472 ","10,397","0.96","0.2%"
"Mixed","ONS 2001 5+1","Lancashire","Police Force Area","75"," 5,472 ","16,300","4.60","1.4%"
"White","ONS 2001 5+1","Leicestershire","Police Force Area","1,203"," 1,719 ","797,704","1.51","70.0%"
"Asian","ONS 2001 5+1","Leicestershire","Police Force Area","302"," 1,719 ","155,740","1.94","17.6%"
"Black","ONS 2001 5+1","Leicestershire","Police Force Area","150"," 1,719 ","24,623","6.09","8.7%"
"Other","ONS 2001 5+1","Leicestershire","Police Force Area","10"," 1,719 ","19,110","0.52","0.6%"
"Mixed","ONS 2001 5+1","Leicestershire","Police Force Area","54"," 1,719 ","20,520","2.63","3.1%"
"White","ONS 2001 5+1","Lincolnshire","Police Force Area","3,712"," 3,812 ","696,484","5.33","97.4%"
"Asian","ONS 2001 5+1","Lincolnshire","Police Force Area","17"," 3,812 ","5,579","3.05","0.4%"
"Black","ONS 2001 5+1","Lincolnshire","Police Force Area","41"," 3,812 ","2,561","16.01","1.1%"
"Other","ONS 2001 5+1","Lincolnshire","Police Force Area","2"," 3,812 ","2,839","0.70","0.1%"
"Mixed","ONS 2001 5+1","Lincolnshire","Police Force Area","40"," 3,812 ","6,190","6.46","1.0%"
"White","ONS 2001 5+1","London, City of","Police Force Area","802"," 1,322 "," N/A "," N/A ","60.7%"
"Asian","ONS 2001 5+1","London, City of","Police Force Area","232"," 1,322 "," N/A "," N/A ","17.5%"
"Black","ONS 2001 5+1","London, City of","Police Force Area","215"," 1,322 "," N/A "," N/A ","16.3%"
"Other","ONS 2001 5+1","London, City of","Police Force Area","15"," 1,322 "," N/A "," N/A ","1.1%"
"Mixed","ONS 2001 5+1","London, City of","Police Force Area","58"," 1,322 "," N/A "," N/A ","4.4%"
"White","ONS 2001 5+1","Merseyside","Police Force Area","8,331"," 8,738 ","1,305,303","6.38","95.3%"
"Asian","ONS 2001 5+1","Merseyside","Police Force Area","70"," 8,738 ","18,851","3.71","0.8%"
"Black","ONS 2001 5+1","Merseyside","Police Force Area","181"," 8,738 ","14,552","12.44","2.1%"
"Other","ONS 2001 5+1","Merseyside","Police Force Area","51"," 8,738 ","21,529","2.37","0.6%"
"Mixed","ONS 2001 5+1","Merseyside","Police Force Area","105"," 8,738 ","20,954","5.01","1.2%"
"White","ONS 2001 5+1","Metropolitan Police","Police Force Area","63,106"," 140,198 ","4,881,636","12.93","45.0%"
"Asian","ONS 2001 5+1","Metropolitan Police","Police Force Area","20,589"," 140,198 ","1,386,619","14.85","14.7%"
"Black","ONS 2001 5+1","Metropolitan Police","Police Force Area","46,098"," 140,198 ","1,088,447","42.35","32.9%"
"Other","ONS 2001 5+1","Metropolitan Police","Police Force Area","3,666"," 140,198 ","404,874","9.05","2.6%"
"Mixed","ONS 2001 5+1","Metropolitan Police","Police Force Area","6,739"," 140,198 ","404,990","16.64","4.8%"
"White","ONS 2001 5+1","Norfolk","Police Force Area","4,832"," 5,277 ","828,018","5.84","91.6%"
"Asian","ONS 2001 5+1","Norfolk","Police Force Area","126"," 5,277 ","9,809","12.85","2.4%"
"Black","ONS 2001 5+1","Norfolk","Police Force Area","214"," 5,277 ","4,609","46.43","4.1%"
"Other","ONS 2001 5+1","Norfolk","Police Force Area","21"," 5,277 ","5,425","3.87","0.4%"
"Mixed","ONS 2001 5+1","Norfolk","Police Force Area","84"," 5,277 ","10,027","8.38","1.6%"
"White","ONS 2001 5+1","North Wales","Police Force Area","1,539"," 1,572 ","670,704","2.29","97.9%"
"Asian","ONS 2001 5+1","North Wales","Police Force Area","11"," 1,572 ","6,336","1.74","0.7%"
"Black","ONS 2001 5+1","North Wales","Police Force Area","8"," 1,572 ","1,497","5.34","0.5%"
"Other","ONS 2001 5+1","North Wales","Police Force Area","10"," 1,572 ","4,450","2.25","0.6%"
"Mixed","ONS 2001 5+1","North Wales","Police Force Area","4"," 1,572 ","4,950","0.81","0.3%"
"White","ONS 2001 5+1","North Yorkshire","Police Force Area","3,942"," 4,214 ","769,206","5.12","93.5%"
"Asian","ONS 2001 5+1","North Yorkshire","Police Force Area","151"," 4,214 ","9,914","15.23","3.6%"
"Black","ONS 2001 5+1","North Yorkshire","Police Force Area","39"," 4,214 ","3,618","10.78","0.9%"
"Other","ONS 2001 5+1","North Yorkshire","Police Force Area","16"," 4,214 ","6,233","2.57","0.4%"
"Mixed","ONS 2001 5+1","North Yorkshire","Police Force Area","66"," 4,214 ","7,456","8.85","1.6%"
"White","ONS 2001 5+1","Northamptonshire","Police Force Area","1,373"," 1,752 ","632822","2.17","78.4%"
"Asian","ONS 2001 5+1","Northamptonshire","Police Force Area","89"," 1,752 ","22581","3.94","5.1%"
"Black","ONS 2001 5+1","Northamptonshire","Police Force Area","201"," 1,752 ","16923","11.88","11.5%"
"Other","ONS 2001 5+1","Northamptonshire","Police Force Area","21"," 1,752 ","5444","3.86","1.2%"
"Mixed","ONS 2001 5+1","Northamptonshire","Police Force Area","68"," 1,752 ","14182","4.79","3.9%"
"White","ONS 2001 5+1","Northumbria","Police Force Area","6,653"," 7,055 ","1343747","4.95","94.3%"
"Asian","ONS 2001 5+1","Northumbria","Police Force Area","215"," 7,055 ","37782","5.69","3.0%"
"Black","ONS 2001 5+1","Northumbria","Police Force Area","130"," 7,055 ","9006","14.43","1.8%"
"Other","ONS 2001 5+1","Northumbria","Police Force Area","18"," 7,055 ","17871","1.01","0.3%"
"Mixed","ONS 2001 5+1","Northumbria","Police Force Area","39"," 7,055 ","12447","3.13","0.6%"
"White","ONS 2001 5+1","Nottinghamshire","Police Force Area","1,831"," 2,417 ","969501","1.89","75.8%"
"Asian","ONS 2001 5+1","Nottinghamshire","Police Force Area","191"," 2,417 ","48248","3.96","7.9%"
"Black","ONS 2001 5+1","Nottinghamshire","Police Force Area","241"," 2,417 ","27287","8.83","10.0%"
"Other","ONS 2001 5+1","Nottinghamshire","Police Force Area","33"," 2,417 ","15465","2.13","1.4%"
"Mixed","ONS 2001 5+1","Nottinghamshire","Police Force Area","121"," 2,417 ","30981","3.91","5.0%"
"White","ONS 2001 5+1","South Wales","Police Force Area","5,651"," 6,058 ","1198458","4.72","93.3%"
"Asian","ONS 2001 5+1","South Wales","Police Force Area","165"," 6,058 ","35804","4.61","2.7%"
"Black","ONS 2001 5+1","South Wales","Police Force Area","136"," 6,058 ","12738","10.68","2.2%"
"Other","ONS 2001 5+1","South Wales","Police Force Area","24"," 6,058 ","18889","1.27","0.4%"
"Mixed","ONS 2001 5+1","South Wales","Police Force Area","82"," 6,058 ","17762","4.62","1.4%"
"White","ONS 2001 5+1","South Yorkshire","Police Force Area","2,788"," 3,521 ","1217653","2.29","79.2%"
"Asian","ONS 2001 5+1","South Yorkshire","Police Force Area","385"," 3,521 ","54660","7.04","10.9%"
"Black","ONS 2001 5+1","South Yorkshire","Police Force Area","196"," 3,521 ","25752","7.61","5.6%"
"Other","ONS 2001 5+1","South Yorkshire","Police Force Area","32"," 3,521 ","24745","1.29","0.9%"
"Mixed","ONS 2001 5+1","South Yorkshire","Police Force Area","120"," 3,521 ","20791","5.77","3.4%"
"White","ONS 2001 5+1","Staffordshire","Police Force Area","3,342"," 3,847 ","1032327","3.24","86.9%"
