"Title","Attainment of development goals by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Early years foundation stage profile results: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/early-years-foundation-stage-profile-results-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","Local authority","Girls","Boys"
"White","Oldham","74","56"
"White","Rochdale","72","51"
"White","Salford","77","54"
"White","Sefton","78","59"
"White","St. Helens","74","55"
"White","Stockport","77","61"
"White","Tameside","73","52"
"White","Trafford","83","69"
"White","Warrington","80","63"
"White","Wigan","73","56"
"White","Wirral","78","59"
"White","Yorkshire and The Humber","",""
"White","Yorkshire and the Humber","75","59"
"White","Barnsley","75","53"
"White","Bradford","74","59"
"White","Calderdale","78","58"
"White","Doncaster","77","60"
"White","East Riding of Yorkshire","76","61"
"White","Kingston Upon Hull, City of","70","53"
"White","Kirklees","77","60"
"White","Leeds","71","54"
"White","North East Lincolnshire","76","62"
"White","North Lincolnshire","83","64"
"White","North Yorkshire","76","60"
"White","Rotherham","78","63"
"White","Sheffield","77","62"
"White","Wakefield","73","55"
"White","York","79","69"
"White","East Midlands","75","59"
"White","Derby","74","59"
"White","Derbyshire","76","61"
"White","Leicester","65","47"
"White","Leicestershire","75","58"
"White","Lincolnshire","76","63"
"White","Northamptonshire","75","60"
"White","Nottingham","71","54"
"White","Nottinghamshire","74","56"
"White","Rutland","82","60"
"White","West Midlands","75","59"
"White","Birmingham","!","!"
"White","Coventry","72","54"
"White","Dudley","74","53"
"White","Herefordshire","80","63"
"White","Sandwell","66","50"
"White","Shropshire","78","60"
"White","Solihull","76","63"
"White","Staffordshire","80","66"
"White","Stoke-on-Trent","73","53"
"White","Telford and Wrekin","!","!"
"White","Walsall","70","54"
"White","Warwickshire","78","62"
"White","Wolverhampton","66","47"
"White","Worcestershire","75","61"
"White","East of England","77","61"
"White","Bedford","72","53"
"White","Cambridgeshire","75","61"
"White","Central Bedfordshire","75","60"
"White","Essex","79","64"
"White","Hertfordshire","76","62"
"White","Luton","71","55"
"White","Norfolk","76","60"
"White","Peterborough","69","55"
"White","Southend-on-Sea","80","62"
"White","Suffolk","78","61"
"White","Thurrock","82","66"
"White","Inner London","79","66"
"White","Camden","74","58"
"White","City of London","100","!"
"White","Hackney","82","66"
"White","Hammersmith and Fulham","77","65"
"White","Haringey","78","64"
"White","Islington","79","61"
"White","Kensington and Chelsea","77","62"
"White","Lambeth","77","64"
"White","Lewisham","85","80"
"White","Newham","74","62"
"White","Southwark","79","69"
"White","Tower Hamlets","72","54"
"White","Wandsworth","83","70"
"White","Westminster","84","63"
"White","Outer London","79","64"
"White","Barking and Dagenham","71","53"
"White","Barnet","77","63"
"White","Bexley","83","71"
"White","Brent","74","59"
"White","Bromley","81","70"
"White","Croydon","79","63"
"White","Ealing","77","63"
"White","Enfield","!","!"
"White","Greenwich","83","70"
"White","Harrow","77","59"
"White","Havering","78","63"
"White","Hillingdon","78","58"
"White","Hounslow","76","61"
"White","Kingston upon Thames","83","70"
"White","Merton","77","63"
"White","Redbridge","75","60"
"White","Richmond upon Thames","85","71"
"White","Sutton","80","60"
"White","Waltham Forest","81","65"
"White","South East","81","65"
"White","Bracknell Forest","80","66"
"White","Brighton and Hove","75","57"
"White","Buckinghamshire","81","64"
"White","East Sussex","83","68"
"White","Hampshire","81","68"
"White","Isle of Wight","80","62"
"White","Kent","82","67"
"White","Medway","81","64"
"White","Milton Keynes","80","60"
"White","Oxfordshire","79","63"
"White","Portsmouth","77","63"
"White","Reading","78","64"
"White","Slough","70","54"
"White","Southampton","79","60"
"White","Surrey","83","69"
"White","West Berkshire","83","68"
"White","West Sussex","76","60"
"White","Windsor and Maidenhead","83","67"
"White","Wokingham","83","68"
"White","South West","77","61"
"White","Bath and North East Somerset","77","60"
"White","Bournemouth","80","64"
"White","Bristol, City of","75","60"
"White","Cornwall","76","56"
"White","Devon","80","64"
"White","Dorset","76","62"
"White","Gloucestershire","73","58"
"White","Isles of Scilly","!","!"
"White","North Somerset","81","66"
"White","Plymouth","71","55"
"White","Poole","81","64"
"White","Somerset","75","62"
"White","South Gloucestershire","83","69"
"White","Swindon","76","60"
"White","Torbay","77","62"
"White","Wiltshire","79","63"
