"Standard Ethnicity","Local authority","Value"
"Asian","Isles of Scilly","-"
"Asian","Islington","68"
"Asian","Kensington and Chelsea","68"
"Asian","Kent","73"
"Asian","Kingston Upon Hull, City of","59"
"Asian","Kingston upon Thames","68"
"Asian","Kirklees","59"
"Asian","Knowsley","71"
"Asian","Lambeth","63"
"Asian","Lancashire","58"
"Asian","Leeds","53"
"Asian","Leicester","62"
"Asian","Leicestershire","70"
"Asian","Lewisham","75"
"Asian","Lincolnshire","74"
"Asian","Liverpool","54"
"Asian","Luton","63"
"Asian","Manchester","56"
"Asian","Medway","72"
"Asian","Merton","72"
"Asian","Middlesbrough","58"
"Asian","Milton Keynes","73"
"Asian","Newcastle upon Tyne","66"
"Asian","Newham","73"
"Asian","Norfolk","61"
"Asian","North East Lincolnshire","56"
"Asian","North Lincolnshire","68"
"Asian","North Somerset","59"
"Asian","North Tyneside","56"
"Asian","North Yorkshire","61"
"Asian","Northamptonshire","59"
"Asian","Northumberland","63"
"Asian","Nottingham","64"
"Asian","Nottinghamshire","62"
"Asian","Oldham","44"
"Asian","Oxfordshire","56"
"Asian","Peterborough","56"
"Asian","Plymouth","72"
"Asian","Poole","77"
"Asian","Portsmouth","62"
"Asian","Reading","69"
"Asian","Redbridge","73"
"Asian","Redcar and Cleveland","71"
"Asian","Richmond upon Thames","75"
"Asian","Rochdale","55"
"Asian","Rotherham","67"
"Asian","Rutland","-"
"Asian","Salford","68"
"Asian","Sandwell","57"
"Asian","Sefton","72"
"Asian","Sheffield","65"
"Asian","Shropshire","77"
"Asian","Slough","72"
"Asian","Solihull","69"
"Asian","Somerset","62"
"Asian","South Gloucestershire","72"
"Asian","South Tyneside","57"
"Asian","Southampton","73"
"Asian","Southend-on-Sea","66"
"Asian","Southwark","71"
"Asian","St. Helens","43"
"Asian","Staffordshire","65"
"Asian","Stockport","61"
"Asian","Stockton-on-Tees","52"
"Asian","Stoke-on-Trent","51"
"Asian","Suffolk","64"
"Asian","Sunderland","52"
"Asian","Surrey","73"
"Asian","Sutton","70"
"Asian","Swindon","66"
"Asian","Tameside","54"
"Asian","Telford and Wrekin","-"
"Asian","Thurrock","76"
"Asian","Torbay","55"
"Asian","Tower Hamlets","64"
"Asian","Trafford","68"
"Asian","Wakefield","62"
"Asian","Walsall","60"
"Asian","Waltham Forest","70"
"Asian","Wandsworth","66"
"Asian","Warrington","64"
"Asian","Warwickshire","70"
"Asian","West Berkshire","71"
"Asian","West Sussex","60"
"Asian","Westminster","70"
"Asian","Wigan","51"
"Asian","Wiltshire","65"
"Asian","Windsor and Maidenhead","73"
"Asian","Wirral","67"
"Asian","Wokingham","77"
"Asian","Wolverhampton","61"
"Asian","Worcestershire","63"
"Asian","York","63"
"Black","All- England","66"
"Black","Barking and Dagenham","71"
"Black","Barnet","59"
"Black","Barnsley","59"
"Black","Bath and North East Somerset","56"
"Black","Bedford","66"
"Black","Bexley","80"
"Black","Birmingham","-"
"Black","Blackburn with Darwen","50"
"Black","Blackpool","-"
"Black","Bolton","47"
"Black","Bournemouth","-"
"Black","Bracknell Forest","59"
"Black","Bradford","65"
"Black","Brent","64"
"Black","Brighton and Hove","56"
"Black","Bristol, City of","53"
"Black","Bromley","71"
"Black","Buckinghamshire","65"
"Black","Bury","72"
"Black","Calderdale","67"
"Black","Cambridgeshire","51"
"Black","Camden","53"
"Black","Central Bedfordshire","67"
"Black","Cheshire East","-"
"Black","Cheshire West and Chester","50"
"Black","City of London","-"
"Black","Cornwall","-"
"Black","County Durham","55"
"Black","Coventry","68"
"Black","Croydon","67"
"Black","Cumbria","-"
"Black","Darlington","57"
"Black","Derby","65"
"Black","Derbyshire","69"
"Black","Devon","-"
"Black","Doncaster","56"
"Black","Dorset","-"
"Black","Dudley","57"
"Black","Ealing","64"
"Black","East Riding of Yorkshire","-"
"Black","East Sussex","67"
"Black","Enfield","-"
"Black","Essex","72"
"Black","Gateshead","67"
"Black","Gloucestershire","52"
"Black","Greenwich","79"
"Black","Hackney","73"
"Black","Halton","-"
"Black","Hammersmith and Fulham","62"
"Black","Hampshire","67"
"Black","Haringey","72"
"Black","Harrow","67"
"Black","Hartlepool","-"
"Black","Havering","61"
"Black","Herefordshire","-"
"Black","Hertfordshire","63"
"Black","Hillingdon","66"
"Black","Hounslow","61"
"Black","Isle of Wight","-"
"Black","Isles of Scilly","-"
"Black","Islington","58"
"Black","Kensington and Chelsea","51"
"Black","Kent","77"
"Black","Kingston Upon Hull, City of","40"
"Black","Kingston upon Thames","63"
"Black","Kirklees","57"
"Black","Knowsley","45"
"Black","Lambeth","64"
"Black","Lancashire","69"
"Black","Leeds","56"
"Black","Leicester","55"
"Black","Leicestershire","59"
"Black","Lewisham","76"
"Black","Lincolnshire","-"
"Black","Liverpool","54"
"Black","Luton","68"
"Black","Manchester","64"
"Black","Medway","76"
"Black","Merton","69"
"Black","Middlesbrough","81"
"Black","Milton Keynes","66"
"Black","Newcastle upon Tyne","57"
"Black","Newham","70"
"Black","Norfolk","65"
"Black","North East Lincolnshire","-"
"Black","North Lincolnshire","63"
"Black","North Somerset","64"
"Black","North Tyneside","50"
"Black","North Yorkshire","45"
"Black","Northamptonshire","61"
"Black","Northumberland","-"
"Black","Nottingham","62"
"Black","Nottinghamshire","71"
"Black","Oldham","49"
"Black","Oxfordshire","63"
"Black","Peterborough","69"
"Black","Plymouth","54"
"Black","Poole","58"
"Black","Portsmouth","77"
"Black","Reading","73"
"Black","Redbridge","63"
"Black","Redcar and Cleveland","-"
"Black","Richmond upon Thames","63"
"Black","Rochdale","60"
"Black","Rotherham","52"
"Black","Rutland","43"
"Black","Salford","67"
"Black","Sandwell","61"
"Black","Sefton","50"
"Black","Sheffield","67"
"Black","Shropshire","56"
"Black","Slough","61"
"Black","Solihull","63"
"Black","Somerset","-"
"Black","South Gloucestershire","76"
"Black","South Tyneside","60"
"Black","Southampton","69"
"Black","Southend-on-Sea","73"
"Black","Southwark","68"
"Black","St. Helens","-"
"Black","Staffordshire","70"
"Black","Stockport","71"
"Black","Stockton-on-Tees","59"
"Black","Stoke-on-Trent","67"
"Black","Suffolk","70"
"Black","Sunderland","83"
"Black","Surrey","67"
"Black","Sutton","68"
"Black","Swindon","75"
"Black","Tameside","56"
"Black","Telford and Wrekin","-"
"Black","Thurrock","75"
"Black","Torbay","-"
"Black","Tower Hamlets","66"
"Black","Trafford","59"
"Black","Wakefield","53"
"Black","Walsall","63"
"Black","Waltham Forest","66"
"Black","Wandsworth","68"
"Black","Warrington","70"
"Black","Warwickshire","67"
"Black","West Berkshire","67"
"Black","West Sussex","53"
"Black","Westminster","66"
"Black","Wigan","61"
"Black","Wiltshire","68"
"Black","Windsor and Maidenhead","58"
"Black","Wirral","77"
"Black","Wokingham","77"
"Black","Wolverhampton","63"
"Black","Worcestershire","52"
"Black","York","-"
"Chinese","All- England","66"
"Chinese","Barking and Dagenham","-"
"Chinese","Barnet","81"
"Chinese","Barnsley","-"
"Chinese","Bath and North East Somerset","-"
"Chinese","Bedford","60"
"Chinese","Bexley","79"
"Chinese","Birmingham","-"
"Chinese","Blackburn with Darwen","36"
"Chinese","Blackpool","-"
"Chinese","Bolton","31"
"Chinese","Bournemouth","57"
"Chinese","Bracknell Forest","75"
"Chinese","Bradford","-"
"Chinese","Brent","67"
"Chinese","Brighton and Hove","47"
"Chinese","Bristol, City of","87"
"Chinese","Bromley","67"
"Chinese","Buckinghamshire","76"
"Chinese","Bury","50"
"Chinese","Calderdale","44"
"Chinese","Cambridgeshire","78"
"Chinese","Camden","64"
"Chinese","Central Bedfordshire","50"
"Chinese","Cheshire East","-"
"Chinese","Cheshire West and Chester","-"
"Chinese","City of London","-"
"Chinese","Cornwall","53"
"Chinese","County Durham","52"
"Chinese","Coventry","70"
"Chinese","Croydon","77"
"Chinese","Cumbria","-"
"Chinese","Darlington","-"
"Chinese","Derby","50"
"Chinese","Derbyshire","62"
"Chinese","Devon","67"
"Chinese","Doncaster","77"
"Chinese","Dorset","-"
"Chinese","Dudley","36"
"Chinese","Ealing","-"
"Chinese","East Riding of Yorkshire","-"
"Chinese","East Sussex","83"
"Chinese","Enfield","-"
"Chinese","Essex","60"
"Chinese","Gateshead","47"
"Chinese","Gloucestershire","53"
"Chinese","Greenwich","83"
"Chinese","Hackney","81"
"Chinese","Halton","-"
"Chinese","Hammersmith and Fulham","-"
"Chinese","Hampshire","74"
"Chinese","Haringey","66"
"Chinese","Harrow","-"
"Chinese","Hartlepool","-"
"Chinese","Havering","-"
"Chinese","Herefordshire","100"
"Chinese","Hertfordshire","77"
"Chinese","Hillingdon","57"
"Chinese","Hounslow","73"
"Chinese","Isle of Wight","-"
"Chinese","Isles of Scilly","-"
"Chinese","Islington","-"
"Chinese","Kensington and Chelsea","-"
"Chinese","Kent","59"
"Chinese","Kingston Upon Hull, City of","-"
"Chinese","Kingston upon Thames","85"
"Chinese","Kirklees","73"
"Chinese","Knowsley","100"
"Chinese","Lambeth","64"
"Chinese","Lancashire","52"
"Chinese","Leeds","56"
"Chinese","Leicester","56"
"Chinese","Leicestershire","73"
"Chinese","Lewisham","74"
"Chinese","Lincolnshire","82"
"Chinese","Liverpool","45"
"Chinese","Luton","58"
"Chinese","Manchester","63"
"Chinese","Medway","73"
"Chinese","Merton","64"
"Chinese","Middlesbrough","-"
"Chinese","Milton Keynes","81"
"Chinese","Newcastle upon Tyne","62"
"Chinese","Newham","69"
"Chinese","Norfolk","50"
"Chinese","North East Lincolnshire","-"
"Chinese","North Lincolnshire","-"
"Chinese","North Somerset","-"
"Chinese","North Tyneside","70"
"Chinese","North Yorkshire","-"
"Chinese","Northamptonshire","62"
"Chinese","Northumberland","57"
"Chinese","Nottingham","-"
"Chinese","Nottinghamshire","61"
"Chinese","Oldham","-"
"Chinese","Oxfordshire","75"
"Chinese","Peterborough","57"
"Chinese","Plymouth","73"
"Chinese","Poole","-"
"Chinese","Portsmouth","75"
"Chinese","Reading","64"
"Chinese","Redbridge","88"
"Chinese","Redcar and Cleveland","-"
"Chinese","Richmond upon Thames","68"
"Chinese","Rochdale","42"
"Chinese","Rotherham","53"
"Chinese","Rutland","-"
"Chinese","Salford","57"
"Chinese","Sandwell","75"
"Chinese","Sefton","-"
"Chinese","Sheffield","69"
"Chinese","Shropshire","-"
"Chinese","Slough","-"
"Chinese","Solihull","67"
"Chinese","Somerset","75"
"Chinese","South Gloucestershire","-"
"Chinese","South Tyneside","-"
"Chinese","Southampton","80"
"Chinese","Southend-on-Sea","63"
"Chinese","Southwark","71"
"Chinese","St. Helens","100"
"Chinese","Staffordshire","67"
"Chinese","Stockport","-"
"Chinese","Stockton-on-Tees","-"
"Chinese","Stoke-on-Trent","61"
"Chinese","Suffolk","-"
"Chinese","Sunderland","47"
"Chinese","Surrey","78"
"Chinese","Sutton","64"
"Chinese","Swindon","75"
"Chinese","Tameside","50"
"Chinese","Telford and Wrekin","-"
"Chinese","Thurrock","-"
"Chinese","Torbay","-"
"Chinese","Tower Hamlets","72"
"Chinese","Trafford","67"
"Chinese","Wakefield","56"
"Chinese","Walsall","60"
"Chinese","Waltham Forest","67"
"Chinese","Wandsworth","63"
"Chinese","Warrington","100"
"Chinese","Warwickshire","79"
"Chinese","West Berkshire","100"
"Chinese","West Sussex","72"
"Chinese","Westminster","81"
"Chinese","Wigan","28"
"Chinese","Wiltshire","40"
"Chinese","Windsor and Maidenhead","-"
"Chinese","Wirral","60"
"Chinese","Wokingham","63"
"Chinese","Wolverhampton","45"
"Chinese","Worcestershire","54"
"Chinese","York","44"
"Mixed","All- England","69"
"Mixed","Barking and Dagenham","75"
"Mixed","Barnet","73"
"Mixed","Barnsley","61"
"Mixed","Bath and North East Somerset","67"
"Mixed","Bedford","67"
"Mixed","Bexley","79"
"Mixed","Birmingham","-"
"Mixed","Blackburn with Darwen","66"
"Mixed","Blackpool","65"
"Mixed","Bolton","69"
"Mixed","Bournemouth","71"
"Mixed","Bracknell Forest","69"
"Mixed","Bradford","65"
"Mixed","Brent","70"
"Mixed","Brighton and Hove","65"
"Mixed","Bristol, City of","66"
"Mixed","Bromley","76"
"Mixed","Buckinghamshire","73"
"Mixed","Bury","66"
"Mixed","Calderdale","61"
"Mixed","Cambridgeshire","68"
"Mixed","Camden","61"
"Mixed","Central Bedfordshire","66"
"Mixed","Cheshire East","64"
"Mixed","Cheshire West and Chester","72"
"Mixed","City of London","-"
"Mixed","Cornwall","70"
"Mixed","County Durham","70"
"Mixed","Coventry","67"
"Mixed","Croydon","69"
"Mixed","Cumbria","-"
"Mixed","Darlington","75"
"Mixed","Derby","72"
"Mixed","Derbyshire","71"
"Mixed","Devon","75"
"Mixed","Doncaster","65"
"Mixed","Dorset","67"
"Mixed","Dudley","65"
"Mixed","Ealing","76"
"Mixed","East Riding of Yorkshire","76"
"Mixed","East Sussex","73"
"Mixed","Enfield","-"
"Mixed","Essex","71"
"Mixed","Gateshead","67"
"Mixed","Gloucestershire","63"
"Mixed","Greenwich","79"
"Mixed","Hackney","80"
"Mixed","Halton","62"
"Mixed","Hammersmith and Fulham","71"
"Mixed","Hampshire","73"
"Mixed","Haringey","80"
"Mixed","Harrow","73"
"Mixed","Hartlepool","70"
"Mixed","Havering","71"
"Mixed","Herefordshire","63"
"Mixed","Hertfordshire","68"
"Mixed","Hillingdon","72"
"Mixed","Hounslow","80"
"Mixed","Isle of Wight","77"
"Mixed","Isles of Scilly","-"
"Mixed","Islington","63"
"Mixed","Kensington and Chelsea","60"
"Mixed","Kent","77"
"Mixed","Kingston Upon Hull, City of","58"
"Mixed","Kingston upon Thames","76"
"Mixed","Kirklees","66"
"Mixed","Knowsley","63"
"Mixed","Lambeth","71"
"Mixed","Lancashire","66"
"Mixed","Leeds","59"
"Mixed","Leicester","59"
"Mixed","Leicestershire","68"
"Mixed","Lewisham","78"
"Mixed","Lincolnshire","67"
"Mixed","Liverpool","55"
"Mixed","Luton","66"
"Mixed","Manchester","63"
"Mixed","Medway","71"
"Mixed","Merton","77"
"Mixed","Middlesbrough","61"
"Mixed","Milton Keynes","73"
"Mixed","Newcastle upon Tyne","71"
"Mixed","Newham","75"
"Mixed","Norfolk","66"
"Mixed","North East Lincolnshire","64"
"Mixed","North Lincolnshire","83"
"Mixed","North Somerset","74"
"Mixed","North Tyneside","71"
"Mixed","North Yorkshire","72"
"Mixed","Northamptonshire","67"
"Mixed","Northumberland","76"
"Mixed","Nottingham","61"
"Mixed","Nottinghamshire","64"
"Mixed","Oldham","65"
"Mixed","Oxfordshire","70"
"Mixed","Peterborough","61"
"Mixed","Plymouth","67"
"Mixed","Poole","71"
"Mixed","Portsmouth","72"
"Mixed","Reading","66"
"Mixed","Redbridge","70"
"Mixed","Redcar and Cleveland","63"
"Mixed","Richmond upon Thames","80"
"Mixed","Rochdale","59"
"Mixed","Rotherham","70"
"Mixed","Rutland","67"
"Mixed","Salford","63"
"Mixed","Sandwell","63"
"Mixed","Sefton","66"
"Mixed","Sheffield","67"
"Mixed","Shropshire","67"
"Mixed","Slough","70"
"Mixed","Solihull","71"
"Mixed","Somerset","73"
"Mixed","South Gloucestershire","75"
"Mixed","South Tyneside","62"
"Mixed","Southampton","67"
"Mixed","Southend-on-Sea","72"
"Mixed","Southwark","70"
"Mixed","St. Helens","57"
"Mixed","Staffordshire","77"
"Mixed","Stockport","63"
"Mixed","Stockton-on-Tees","62"
"Mixed","Stoke-on-Trent","70"
"Mixed","Suffolk","67"
"Mixed","Sunderland","75"
"Mixed","Surrey","77"
"Mixed","Sutton","64"
"Mixed","Swindon","70"
"Mixed","Tameside","63"
"Mixed","Telford and Wrekin","-"
"Mixed","Thurrock","75"
"Mixed","Torbay","68"
"Mixed","Tower Hamlets","68"
"Mixed","Trafford","67"
"Mixed","Wakefield","58"
"Mixed","Walsall","63"
"Mixed","Waltham Forest","74"
"Mixed","Wandsworth","71"
"Mixed","Warrington","67"
"Mixed","Warwickshire","71"
"Mixed","West Berkshire","80"
"Mixed","West Sussex","68"
"Mixed","Westminster","74"
"Mixed","Wigan","69"
"Mixed","Wiltshire","67"
"Mixed","Windsor and Maidenhead","73"
"Mixed","Wirral","72"
"Mixed","Wokingham","71"
"Mixed","Wolverhampton","56"
"Mixed","Worcestershire","70"
"Mixed","York","60"
"White","All- England","69"
"White","Barking and Dagenham","63"
"White","Barnet","70"
"White","Barnsley","64"
"White","Bath and North East Somerset","68"
"White","Bedford","62"
"White","Bexley","77"
"White","Birmingham","-"
"White","Blackburn with Darwen","59"
"White","Blackpool","64"
"White","Bolton","64"
"White","Bournemouth","72"
"White","Bracknell Forest","73"
"White","Bradford","66"
"White","Brent","66"
"White","Brighton and Hove","66"
"White","Bristol, City of","68"
"White","Bromley","76"
"White","Buckinghamshire","72"
"White","Bury","69"
"White","Calderdale","68"
"White","Cambridgeshire","68"
"White","Camden","66"
"White","Central Bedfordshire","68"
"White","Cheshire East","70"
"White","Cheshire West and Chester","70"
"White","City of London","-"
"White","Cornwall","66"
"White","County Durham","67"
"White","Coventry","62"
"White","Croydon","71"
"White","Cumbria","-"
"White","Darlington","68"
"White","Derby","67"
"White","Derbyshire","68"
"White","Devon","72"
"White","Doncaster","68"
"White","Dorset","69"
"White","Dudley","63"
"White","Ealing","70"
"White","East Riding of Yorkshire","68"
"White","East Sussex","75"
"White","Enfield","-"
"White","Essex","71"
"White","Gateshead","68"
"White","Gloucestershire","66"
"White","Greenwich","76"
"White","Hackney","74"
"White","Halton","58"
"White","Hammersmith and Fulham","71"
"White","Hampshire","74"
"White","Haringey","71"
"White","Harrow","68"
"White","Hartlepool","65"
"White","Havering","70"
"White","Herefordshire","71"
"White","Hertfordshire","69"
"White","Hillingdon","68"
"White","Hounslow","68"
"White","Isle of Wight","71"
"White","Isles of Scilly","-"
"White","Islington","69"
"White","Kensington and Chelsea","69"
"White","Kent","74"
"White","Kingston Upon Hull, City of","61"
"White","Kingston upon Thames","76"
"White","Kirklees","68"
"White","Knowsley","65"
"White","Lambeth","70"
"White","Lancashire","69"
"White","Leeds","62"
"White","Leicester","56"
"White","Leicestershire","66"
"White","Lewisham","83"
"White","Lincolnshire","69"
"White","Liverpool","60"
"White","Luton","63"
"White","Manchester","63"
"White","Medway","72"
"White","Merton","70"
"White","Middlesbrough","59"
"White","Milton Keynes","69"
"White","Newcastle upon Tyne","70"
"White","Newham","68"
"White","Norfolk","67"
"White","North East Lincolnshire","68"
"White","North Lincolnshire","74"
"White","North Somerset","73"
"White","North Tyneside","69"
"White","North Yorkshire","68"
"White","Northamptonshire","67"
"White","Northumberland","72"
"White","Nottingham","63"
"White","Nottinghamshire","65"
"White","Oldham","65"
"White","Oxfordshire","71"
"White","Peterborough","62"
"White","Plymouth","63"
"White","Poole","72"
"White","Portsmouth","70"
"White","Reading","71"
"White","Redbridge","67"
"White","Redcar and Cleveland","65"
"White","Richmond upon Thames","78"
"White","Rochdale","61"
"White","Rotherham","70"
"White","Rutland","70"
"White","Salford","65"
"White","Sandwell","58"
"White","Sefton","69"
"White","Sheffield","69"
"White","Shropshire","69"
"White","Slough","62"
"White","Solihull","69"
"White","Somerset","68"
"White","South Gloucestershire","76"
"White","South Tyneside","67"
"White","Southampton","69"
"White","Southend-on-Sea","71"
"White","Southwark","74"
"White","St. Helens","64"
"White","Staffordshire","73"
"White","Stockport","69"
"White","Stockton-on-Tees","64"
"White","Stoke-on-Trent","63"
"White","Suffolk","70"
"White","Sunderland","68"
"White","Surrey","76"
"White","Sutton","69"
"White","Swindon","68"
"White","Tameside","62"
"White","Telford and Wrekin","-"
"White","Thurrock","74"
"White","Torbay","69"
"White","Tower Hamlets","62"
"White","Trafford","76"
"White","Wakefield","64"
"White","Walsall","62"
"White","Waltham Forest","73"
"White","Wandsworth","76"
"White","Warrington","71"
"White","Warwickshire","69"
"White","West Berkshire","75"
"White","West Sussex","68"
"White","Westminster","73"
"White","Wigan","64"
"White","Wiltshire","70"
"White","Windsor and Maidenhead","75"
"White","Wirral","68"
"White","Wokingham","75"
"White","Wolverhampton","56"
"White","Worcestershire","68"
"White","York","74"
