"Ethnicity","Geography name","%"
"Black","Surrey","3.2"
"Black","Sutton","3.1"
"Black","Swindon","3.1"
"Black","Tameside","2.3"
"Black","Telford and Wrekin","2.3"
"Black","Thurrock","2.1"
"Black","Torbay","3.1"
"Black","Tower Hamlets","3.2"
"Black","Trafford","3.2"
"Black","Wakefield","2.8"
"Black","Walsall","3.1"
"Black","Waltham Forest","4.1"
"Black","Wandsworth","4.3"
"Black","Warrington","2.8"
"Black","Warwickshire","3.1"
"Black","West Berkshire","3.7"
"Black","West Sussex","3.8"
"Black","Westminster","4.0"
"Black","Wigan","2.5"
"Black","Wiltshire","3.9"
"Black","Windsor and Maidenhead","3.2"
"Black","Wirral","3.4"
"Black","Wokingham","3.4"
"Black","Wolverhampton","3.3"
"Black","Worcestershire","3.5"
"Black","York","3.1"
"Chinese","Barking and Dagenham","2.4"
"Chinese","Barnet","2.4"
"Chinese","Barnsley","2.9"
"Chinese","Bath and North East Somerset","3.4"
"Chinese","Bedford","2.5"
"Chinese","Bexley","2.3"
"Chinese","Birmingham","2.4"
"Chinese","Blackburn with Darwen","1.9"
"Chinese","Blackpool","2.1"
"Chinese","Bolton","2.8"
"Chinese","Bournemouth","2.4"
"Chinese","Bracknell Forest","2.3"
"Chinese","Bradford","2.2"
"Chinese","Brent","2.5"
"Chinese","Brighton and Hove","2.4"
"Chinese","Bristol, City of","2.4"
"Chinese","Bromley","2.8"
"Chinese","Buckinghamshire","2.9"
"Chinese","Bury","2.6"
"Chinese","Calderdale","3.2"
"Chinese","Cambridgeshire","2.4"
"Chinese","Camden","3.2"
"Chinese","Central Bedfordshire","2.2"
"Chinese","Cheshire East","2.1"
"Chinese","Cheshire West and Chester","2.8"
"Chinese","City of London","!"
"Chinese","Cornwall","4.0"
"Chinese","County Durham","2.2"
"Chinese","Coventry","2.1"
"Chinese","Croydon","3.1"
"Chinese","Cumbria","3.1"
"Chinese","Darlington","2.8"
"Chinese","Derby","2.0"
"Chinese","Derbyshire","2.9"
"Chinese","Devon","2.3"
"Chinese","Doncaster","2.8"
"Chinese","Dorset","2.1"
"Chinese","Dudley","1.8"
"Chinese","Ealing","2.1"
"Chinese","East Riding of Yorkshire","2.6"
"Chinese","East Sussex","2.0"
"Chinese","Enfield","2.1"
"Chinese","Essex","2.3"
"Chinese","Gateshead","2.0"
"Chinese","Gloucestershire","3.0"
"Chinese","Greenwich","2.5"
"Chinese","Hackney","1.9"
"Chinese","Halton","2.8"
"Chinese","Hammersmith and Fulham","2.0"
"Chinese","Hampshire","2.6"
"Chinese","Haringey","1.8"
"Chinese","Harrow","1.9"
"Chinese","Hartlepool","2.5"
"Chinese","Havering","2.3"
"Chinese","Herefordshire, County of","3.9"
"Chinese","Hertfordshire","2.6"
"Chinese","Hillingdon","3.1"
"Chinese","Hounslow","2.3"
"Chinese","Isle of Wight","3.7"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","2.2"
"Chinese","Kensington and Chelsea","4.2"
"Chinese","Kent","2.6"
"Chinese","Kingston upon Hull, City of","1.3"
"Chinese","Kingston upon Thames","2.1"
"Chinese","Kirklees","1.9"
"Chinese","Knowsley","1.2"
"Chinese","Lambeth","2.3"
"Chinese","Lancashire","2.3"
"Chinese","Leeds","2.0"
"Chinese","Leicester","2.1"
"Chinese","Leicestershire","2.4"
"Chinese","Lewisham","2.0"
"Chinese","Lincolnshire","2.5"
"Chinese","Liverpool","2.0"
"Chinese","Luton","2.6"
"Chinese","Manchester","1.7"
"Chinese","Medway","2.1"
"Chinese","Merton","2.0"
"Chinese","Middlesbrough","2.5"
"Chinese","Milton Keynes","2.6"
"Chinese","Newcastle upon Tyne","2.3"
"Chinese","Newham","2.1"
"Chinese","Norfolk","2.4"
"Chinese","North East Lincolnshire","2.7"
"Chinese","North Lincolnshire","3.0"
"Chinese","North Somerset","3.1"
"Chinese","North Tyneside","2.4"
"Chinese","North Yorkshire","3.2"
"Chinese","Northamptonshire","2.3"
"Chinese","Northumberland","3.0"
"Chinese","Nottingham","1.9"
"Chinese","Nottinghamshire","2.5"
"Chinese","Oldham","2.2"
"Chinese","Oxfordshire","2.5"
"Chinese","Peterborough","1.8"
"Chinese","Plymouth","3.2"
"Chinese","Poole","2.7"
"Chinese","Portsmouth","3.2"
"Chinese","Reading","2.7"
"Chinese","Redbridge","2.5"
"Chinese","Redcar and Cleveland","0.9"
"Chinese","Richmond upon Thames","2.3"
"Chinese","Rochdale","1.9"
"Chinese","Rotherham","2.2"
"Chinese","Rutland","1.2"
"Chinese","Salford","1.9"
"Chinese","Sandwell","1.9"
"Chinese","Sefton","3.0"
"Chinese","Sheffield","1.9"
"Chinese","Shropshire","2.5"
"Chinese","Slough","2.0"
"Chinese","Solihull","2.3"
"Chinese","Somerset","2.7"
"Chinese","South Gloucestershire","2.1"
"Chinese","South Tyneside","2.1"
"Chinese","Southampton","2.3"
"Chinese","Southend-on-Sea","2.1"
"Chinese","Southwark","2.6"
"Chinese","St. Helens","2.2"
"Chinese","Staffordshire","2.2"
"Chinese","Stockport","2.5"
"Chinese","Stockton-on-Tees","2.0"
"Chinese","Stoke-on-Trent","2.2"
"Chinese","Suffolk","2.1"
"Chinese","Sunderland","2.4"
"Chinese","Surrey","2.7"
"Chinese","Sutton","2.3"
"Chinese","Swindon","2.7"
"Chinese","Tameside","2.2"
"Chinese","Telford and Wrekin","2.3"
"Chinese","Thurrock","1.7"
"Chinese","Torbay","3.4"
"Chinese","Tower Hamlets","2.0"
"Chinese","Trafford","2.3"
"Chinese","Wakefield","2.3"
"Chinese","Walsall","1.7"
"Chinese","Waltham Forest","2.1"
"Chinese","Wandsworth","2.8"
"Chinese","Warrington","3.0"
"Chinese","Warwickshire","2.3"
"Chinese","West Berkshire","2.4"
"Chinese","West Sussex","2.7"
