"Ethnicity","Geography","%","Pupils"
"All","Shropshire","42.3","2,777"
"All","Solihull","45.8","2,917"
"All","Staffordshire","39.3","8,414"
"All","Stoke-on-Trent","31.8","2,198"
"All","Telford and Wrekin","41.5","1,835"
"All","Walsall","34.3","3,169"
"All","Warwickshire","48.1","5,489"
"All","Wolverhampton","35.6","2,505"
"All","Worcestershire","44.1","5,348"
"All","Bedford","37.9","1,827"
"All","Cambridgeshire","46.7","5,635"
"All","Central Bedfordshire","42.5","2,591"
"All","Essex","42.8","14,378"
"All","Hertfordshire","50.9","12,734"
"All","Luton","34.6","2,433"
"All","Norfolk","39.8","7,864"
"All","Peterborough","35.0","2,237"
"All","Southend-on-Sea","54.1","2,103"
"All","Suffolk","40.3","6,718"
"All","Thurrock","38.4","1,633"
"All","Camden","48.3","1,513"
"All","City of London","N/A","N/A"
"All","Hackney","44.7","2,002"
"All","Hammersmith and Fulham","52.9","1,313"
"All","Haringey","43.6","2,127"
"All","Islington","43.9","1,377"
"All","Kensington and Chelsea","57.4","739"
"All","Lambeth","39.3","1,949"
"All","Lewisham","37.9","2,247"
"All","Newham","45.8","3,523"
"All","Southwark","47.8","2,328"
"All","Tower Hamlets","44.3","2,623"
"All","Wandsworth","50.6","1,695"
"All","Westminster","55.4","1,535"
"All","Barking and Dagenham","43.1","2,185"
"All","Barnet","60.3","3,528"
"All","Bexley","49.9","3,141"
"All","Brent","49.8","2,908"
"All","Bromley","47.6","3,258"
"All","Croydon","40.6","3,579"
"All","Ealing","50.7","2,722"
"All","Enfield","42.6","3,487"
"All","Greenwich","41.6","2,166"
"All","Harrow","50.0","2,049"
"All","Havering","46.6","2,794"
"All","Hillingdon","45.3","3,075"
"All","Hounslow","46.7","2,641"
"All","Kingston upon Thames","61.3","1,517"
"All","Merton","49.2","1,420"
"All","Redbridge","55.8","3,458"
"All","Richmond upon Thames","57.7","1,374"
"All","Sutton","61.3","2,759"
"All","Waltham Forest","41.4","2,486"
"All","Bracknell Forest","43.2","1,119"
"All","Brighton and Hove","47.2","2,197"
"All","Buckinghamshire","56.2","5,599"
"All","East Sussex","38.4","4,812"
"All","Hampshire","45.5","12,740"
"All","Isle of Wight","32.6","1,251"
"All","Kent","42.3","15,407"
"All","Medway","41.1","2,910"
"All","Milton Keynes","40.8","2,841"
"All","Oxfordshire","48.1","5,945"
"All","Portsmouth","37.2","1,627"
"All","Reading","49.8","1,134"
"All","Slough","56.1","1,648"
"All","Southampton","34.1","1,845"
"All","Surrey","51.6","10,067"
"All","West Berkshire","47.8","1,790"
"All","West Sussex","45.3","7,782"
"All","Windsor and Maidenhead","50.1","1,547"
"All","Wokingham","55.1","1,642"
"All","Bath and North East Somerset","41.9","2,001"
"All","Bournemouth","47.8","1,611"
"All","Bristol, City of","41.0","3,236"
"All","Cornwall","38.4","5,133"
"All","Devon","42.5","6,704"
"All","Dorset","39.6","3,988"
"All","Gloucestershire","46.2","6,165"
"All","Isles of Scilly","68.4","19"
"All","North Somerset","43.9","2,086"
"All","Plymouth","38.1","2,515"
"All","Poole","54.0","1,341"
"All","Somerset","40.2","4,837"
"All","South Gloucestershire","39.5","2,586"
"All","Swindon","35.7","2,038"
"All","Torbay","50.7","1,316"
"All","Wiltshire","43.5","4,732"
"Asian","All - England","50.1","52,087"
"Asian","County Durham","50.0","28"
"Asian","Darlington","!","23"
"Asian","Gateshead","51.1","45"
"Asian","Hartlepool","!","23"
"Asian","Middlesbrough","50.0","182"
"Asian","Newcastle upon Tyne","43.7","238"
"Asian","North Tyneside","50.0","34"
"Asian","Northumberland","41.0","39"
"Asian","Redcar and Cleveland","52.9","17"
"Asian","South Tyneside","43.4","53"
"Asian","Stockton-on-Tees","40.4","99"
"Asian","Sunderland","40.5","121"
"Asian","Blackburn with Darwen","52.1","764"
"Asian","Blackpool","57.1","21"
"Asian","Bolton","48.9","659"
"Asian","Bury","34.0","262"
"Asian","Cheshire East","58.9","56"
"Asian","Cheshire West and Chester","34.1","41"
"Asian","Cumbria","52.4","21"
"Asian","Halton","!","3"
"Asian","Knowsley","!","5"
"Asian","Lancashire","42.6","1,238"
"Asian","Liverpool","57.3","131"
"Asian","Manchester","45.7","1,056"
"Asian","Oldham","37.3","869"
"Asian","Rochdale","38.0","563"
"Asian","Salford","!","!"
"Asian","Sefton","53.8","26"
"Asian","St. Helens","!","!"
"Asian","Stockport","53.2","173"
"Asian","Tameside","45.6","283"
"Asian","Trafford","70.9","327"
"Asian","Warrington","69.0","42"
"Asian","Wigan","41.2","34"
"Asian","Wirral","69.4","62"
"Asian","Barnsley","!","!"
"Asian","Bradford","37.1","2,598"
"Asian","Calderdale","42.9","359"
"Asian","Doncaster","50.0","86"
"Asian","East Riding of Yorkshire","50.0","12"
"Asian","Kingston upon Hull, City of","60.5","43"
"Asian","Kirklees","36.4","1,233"
"Asian","Leeds","33.6","921"
"Asian","North East Lincolnshire","!","!"
"Asian","North Lincolnshire","43.9","66"
"Asian","North Yorkshire","66.0","94"
"Asian","Rotherham","33.8","213"
"Asian","Sheffield","39.9","501"
"Asian","Wakefield","44.9","89"
"Asian","York","53.3","30"
"Asian","Derby","44.1","479"
"Asian","Derbyshire","40.7","54"
"Asian","Leicester","44.6","1,526"
"Asian","Leicestershire","63.0","497"
"Asian","Lincolnshire","73.1","93"
"Asian","Northamptonshire","53.3","304"
"Asian","Nottingham","!","436"
"Asian","Nottinghamshire","62.0","166"
"Asian","Rutland","!","4"
"Asian","Birmingham","42.0","4,710"
"Asian","Coventry","48.2","635"
"Asian","Dudley","32.7","318"
"Asian","Herefordshire, County of","!","7"
"Asian","Sandwell","34.8","993"
"Asian","Shropshire","!","34"
"Asian","Solihull","59.2","331"
"Asian","Staffordshire","43.8","265"
"Asian","Stoke-on-Trent","28.0","322"
"Asian","Telford and Wrekin","48.0","100"
"Asian","Walsall","45.5","649"
"Asian","Warwickshire","69.1","278"
"Asian","Wolverhampton","51.2","601"
"Asian","Worcestershire","49.4","176"
"Asian","Bedford","36.5","266"
"Asian","Cambridgeshire","54.4","169"
"Asian","Central Bedfordshire","64.8","54"
"Asian","Essex","71.0","348"
"Asian","Hertfordshire","64.6","851"
"Asian","Luton","39.8","1,040"
"Asian","Norfolk","62.5","72"
"Asian","Peterborough","36.9","388"
"Asian","Southend-on-Sea","72.4","127"
"Asian","Suffolk","58.1","93"
"Asian","Thurrock","71.4","49"
"Asian","Camden","44.0","277"
"Asian","City of London","N/A","N/A"
"Asian","Hackney","48.9","270"
"Asian","Hammersmith and Fulham","55.9","102"
"Asian","Haringey","47.5","139"
"Asian","Islington","54.6","163"
"Asian","Kensington and Chelsea","66.7","18"
"Asian","Lambeth","53.9","76"
"Asian","Lewisham","40.9","132"
"Asian","Newham","54.0","1,618"
"Asian","Southwark","55.6","142"
"Asian","Tower Hamlets","47.4","1,769"
"Asian","Wandsworth","53.0","353"
"Asian","Westminster","61.8","186"
"Asian","Barking and Dagenham","58.2","428"
"Asian","Barnet","77.0","539"
"Asian","Bexley","73.9","203"
"Asian","Brent","56.5","894"
"Asian","Bromley","70.3","182"
"Asian","Croydon","56.1","462"
"Asian","Ealing","55.9","808"
"Asian","Enfield","62.5","277"
"Asian","Greenwich","52.7","188"
"Asian","Harrow","63.0","898"
"Asian","Havering","54.7","106"
"Asian","Hillingdon","59.0","659"
"Asian","Hounslow","57.8","746"
"Asian","Kingston upon Thames","74.8","333"
"Asian","Merton","56.5","230"
"Asian","Redbridge","65.5","1,792"
"Asian","Richmond upon Thames","55.6","90"
"Asian","Sutton","86.8","551"
"Asian","Waltham Forest","45.8","681"
"Asian","Bracknell Forest","51.9","52"
"Asian","Brighton and Hove","46.7","60"
"Asian","Buckinghamshire","56.7","979"
"Asian","East Sussex","51.2","82"
"Asian","Hampshire","55.4","332"
"Asian","Isle of Wight","!","5"
"Asian","Kent","64.1","566"
"Asian","Medway","63.4","134"
"Asian","Milton Keynes","48.8","248"
"Asian","Oxfordshire","46.1","310"
"Asian","Portsmouth","61.0","82"
"Asian","Reading","65.8","222"
"Asian","Slough","64.0","839"
"Asian","Southampton","47.1","191"
"Asian","Surrey","57.6","592"
"Asian","West Berkshire","!","46"
"Asian","West Sussex","49.2","329"
"Asian","Windsor and Maidenhead","49.1","212"
"Asian","Wokingham","57.1","182"
"Asian","Bath and North East Somerset","57.6","33"
"Asian","Bournemouth","65.7","35"
"Asian","Bristol, City of","48.5","229"
"Asian","Cornwall","38.1","21"
"Asian","Devon","65.6","32"
"Asian","Dorset","43.3","30"
"Asian","Gloucestershire","62.3","162"
"Asian","Isles of Scilly","!","0"
"Asian","North Somerset","61.9","21"
"Asian","Plymouth","45.5","22"
"Asian","Poole","74.2","31"
"Asian","Somerset","66.7","45"
"Asian","South Gloucestershire","50.0","72"
"Asian","Swindon","35.3","201"
"Asian","Torbay","!","13"
"Asian","Wiltshire","67.6","68"
"Black","All - England","38.8","27,595"
"Black","County Durham","!","5"
"Black","Darlington","!","!"
"Black","Gateshead","30.0","10"
"Black","Hartlepool","!","4"
"Black","Middlesbrough","!","!"
"Black","Newcastle upon Tyne","23.4","77"
"Black","North Tyneside","!","9"
"Black","Northumberland","!","4"
"Black","Redcar and Cleveland","!","!"
"Black","South Tyneside","!","4"
"Black","Stockton-on-Tees","!","!"
"Black","Sunderland","!","11"
"Black","Blackburn with Darwen","!","20"
"Black","Blackpool","!","3"
"Black","Bolton","!","145"
"Black","Bury","!","35"
"Black","Cheshire East","!","12"
"Black","Cheshire West and Chester","50.0","10"
"Black","Cumbria","!","10"
"Black","Halton","!","!"
"Black","Knowsley","!","!"
"Black","Lancashire","41.4","29"
"Black","Liverpool","32.3","158"
"Black","Manchester","32.7","741"
"Black","Oldham","!","45"
"Black","Rochdale","!","83"
"Black","Salford","!","97"
"Black","Sefton","23.5","17"
"Black","St. Helens","!","!"
"Black","Stockport","34.1","41"
"Black","Tameside","!","37"
"Black","Trafford","58.8","80"
"Black","Warrington","!","5"
"Black","Wigan","!","25"
"Black","Wirral","58.3","12"
"Black","Barnsley","33.3","9"
"Black","Bradford","31.6","79"
"Black","Calderdale","!","26"
"Black","Doncaster","!","41"
"Black","East Riding of Yorkshire","!","8"
"Black","Kingston upon Hull, City of","!","32"
"Black","Kirklees","!","92"
"Black","Leeds","31.2","417"
"Black","North East Lincolnshire","!","!"
"Black","North Lincolnshire","!","!"
"Black","North Yorkshire","50.0","16"
"Black","Rotherham","!","43"
"Black","Sheffield","29.5","210"
"Black","Wakefield","!","41"
"Black","York","37.5","8"
"Black","Derby","!","87"
"Black","Derbyshire","!","!"
"Black","Leicester","!","357"
"Black","Leicestershire","29.1","55"
"Black","Lincolnshire","41.9","43"
"Black","Northamptonshire","37.0","303"
"Black","Nottingham","28.2","277"
"Black","Nottinghamshire","35.7","112"
"Black","Rutland","!","!"
"Black","Birmingham","32.8","1,453"
"Black","Coventry","34.1","305"
"Black","Dudley","35.6","90"
"Black","Herefordshire, County of","!","4"
"Black","Sandwell","23.0","309"
"Black","Shropshire","!","5"
"Black","Solihull","46.0","63"
"Black","Staffordshire","25.0","40"
"Black","Stoke-on-Trent","38.9","36"
"Black","Telford and Wrekin","32.6","43"
"Black","Walsall","37.1","132"
"Black","Warwickshire","37.2","43"
"Black","Wolverhampton","33.2","244"
"Black","Worcestershire","27.6","29"
"Black","Bedford","!","88"
"Black","Cambridgeshire","22.2","54"
"Black","Central Bedfordshire","!","53"
"Black","Essex","47.5","398"
"Black","Hertfordshire","44.4","468"
"Black","Luton","!","267"
"Black","Norfolk","31.9","72"
"Black","Peterborough","!","73"
"Black","Southend-on-Sea","70.3","128"
"Black","Suffolk","!","50"
"Black","Thurrock","!","180"
"Black","Camden","41.8","318"
"Black","City of London","N/A","N/A"
"Black","Hackney","36.9","750"
"Black","Hammersmith and Fulham","38.7","341"
"Black","Haringey","34.8","581"
"Black","Islington","38.5","387"
"Black","Kensington and Chelsea","51.6","126"
"Black","Lambeth","34.8","990"
"Black","Lewisham","32.6","952"
"Black","Newham","38.8","863"
"Black","Southwark","43.9","1,056"
"Black","Tower Hamlets","42.5","306"
"Black","Wandsworth","40.5","464"
"Black","Westminster","51.3","351"
"Black","Barking and Dagenham","45.3","601"
"Black","Barnet","50.8","478"
"Black","Bexley","61.4","567"
"Black","Brent","36.7","698"
"Black","Bromley","51.4","296"
"Black","Croydon","35.6","1,031"
"Black","Ealing","41.3","543"
"Black","Enfield","38.9","854"
"Black","Greenwich","42.7","637"
"Black","Harrow","31.6","329"
"Black","Havering","50.6","340"
"Black","Hillingdon","40.6","350"
"Black","Hounslow","43.3","353"
"Black","Kingston upon Thames","42.5","40"
"Black","Merton","41.4","280"
"Black","Redbridge","39.7","463"
"Black","Richmond upon Thames","31.1","61"
"Black","Sutton","54.0","226"
"Black","Waltham Forest","35.1","567"
"Black","Bracknell Forest","!","!"
"Black","Brighton and Hove","32.6","43"
"Black","Buckinghamshire","45.0","171"
"Black","East Sussex","23.1","39"
"Black","Hampshire","31.5","89"
"Black","Isle of Wight","!","!"
"Black","Kent","58.8","345"
"Black","Medway","!","159"
"Black","Milton Keynes","34.7","352"
"Black","Oxfordshire","40.4","114"
"Black","Portsmouth","48.8","43"
"Black","Reading","29.5","105"
"Black","Slough","!","!"
"Black","Southampton","!","42"
"Black","Surrey","45.7","197"
"Black","West Berkshire","!","29"
"Black","West Sussex","27.8","97"
"Black","Windsor and Maidenhead","55.6","27"
"Black","Wokingham","!","59"
"Black","Bath and North East Somerset","!","22"
"Black","Bournemouth","42.1","19"
"Black","Bristol, City of","31.6","326"
"Black","Cornwall","!","!"
"Black","Devon","!","5"
"Black","Dorset","!","3"
"Black","Gloucestershire","22.1","77"
"Black","Isles of Scilly","!","0"
"Black","North Somerset","!","12"
"Black","Plymouth","!","18"
"Black","Poole","!","12"
"Black","Somerset","!","18"
"Black","South Gloucestershire","!","36"
"Black","Swindon","!","39"
"Black","Torbay","!","!"
"Black","Wiltshire","34.4","32"
"Chinese","All - England","73.1","2,038"
"Chinese","County Durham","!","12"
"Chinese","Darlington","!","!"
"Chinese","Gateshead","57.1","7"
"Chinese","Hartlepool","!","0"
"Chinese","Middlesbrough","!","!"
"Chinese","Newcastle upon Tyne","60.9","23"
"Chinese","North Tyneside","!","17"
"Chinese","Northumberland","!","6"
"Chinese","Redcar and Cleveland","!","!"
"Chinese","South Tyneside","!","3"
"Chinese","Stockton-on-Tees","!","!"
"Chinese","Sunderland","!","3"
"Chinese","Blackburn with Darwen","!","4"
"Chinese","Blackpool","!","4"
"Chinese","Bolton","!","6"
"Chinese","Bury","!","11"
"Chinese","Cheshire East","!","12"
"Chinese","Cheshire West and Chester","62.5","8"
"Chinese","Cumbria","!","17"
"Chinese","Halton","!","!"
"Chinese","Knowsley","!","!"
"Chinese","Lancashire","81.3","32"
"Chinese","Liverpool","77.1","48"
"Chinese","Manchester","51.4","37"
"Chinese","Oldham","!","8"
"Chinese","Rochdale","!","3"
"Chinese","Salford","!","!"
"Chinese","Sefton","55.6","9"
"Chinese","St. Helens","!","5"
"Chinese","Stockport","43.8","16"
"Chinese","Tameside","!","5"
"Chinese","Trafford","84.1","44"
"Chinese","Warrington","!","9"
"Chinese","Wigan","!","9"
"Chinese","Wirral","77.3","22"
"Chinese","Barnsley","!","!"
"Chinese","Bradford","70.0","10"
"Chinese","Calderdale","!","7"
"Chinese","Doncaster","!","11"
"Chinese","East Riding of Yorkshire","!","4"
"Chinese","Kingston upon Hull, City of","!","5"
"Chinese","Kirklees","!","8"
"Chinese","Leeds","71.8","39"
"Chinese","North East Lincolnshire","!","!"
"Chinese","North Lincolnshire","!","!"
"Chinese","North Yorkshire","58.3","12"
"Chinese","Rotherham","!","5"
"Chinese","Sheffield","68.8","16"
"Chinese","Wakefield","!","8"
"Chinese","York","57.1","7"
"Chinese","Derby","!","7"
"Chinese","Derbyshire","!","!"
"Chinese","Leicester","!","!"
"Chinese","Leicestershire","66.7","24"
"Chinese","Lincolnshire","66.7","21"
"Chinese","Northamptonshire","72.2","18"
"Chinese","Nottingham","!","6"
"Chinese","Nottinghamshire","79.2","24"
"Chinese","Rutland","!","!"
"Chinese","Birmingham","70.9","55"
"Chinese","Coventry","!","9"
"Chinese","Dudley","57.1","7"
"Chinese","Herefordshire, County of","!","!"
"Chinese","Sandwell","!","!"
"Chinese","Shropshire","50.0","6"
"Chinese","Solihull","!","10"
"Chinese","Staffordshire","66.7","15"
"Chinese","Stoke-on-Trent","62.5","8"
"Chinese","Telford and Wrekin","!","10"
"Chinese","Walsall","100.0","3"
"Chinese","Warwickshire","!","11"
"Chinese","Wolverhampton","!","11"
"Chinese","Worcestershire","!","11"
"Chinese","Bedford","!","5"
"Chinese","Cambridgeshire","71.9","32"
"Chinese","Central Bedfordshire","!","7"
"Chinese","Essex","82.5","57"
"Chinese","Hertfordshire","79.4","68"
"Chinese","Luton","!","4"
"Chinese","Norfolk","65.6","32"
"Chinese","Peterborough","!","8"
"Chinese","Southend-on-Sea","81.8","22"
"Chinese","Suffolk","!","7"
"Chinese","Thurrock","!","10"
"Chinese","Camden","100.0","7"
"Chinese","City of London","N/A","N/A"
"Chinese","Hackney","!","9"
"Chinese","Hammersmith and Fulham","!","4"
"Chinese","Haringey","57.1","7"
"Chinese","Islington","!","5"
"Chinese","Kensington and Chelsea","!","5"
"Chinese","Lambeth","73.9","23"
"Chinese","Lewisham","64.7","34"
"Chinese","Newham","78.6","14"
"Chinese","Southwark","59.1","22"
"Chinese","Tower Hamlets","!","6"
"Chinese","Wandsworth","!","12"
"Chinese","Westminster","61.1","18"
"Chinese","Barking and Dagenham","!","3"
"Chinese","Barnet","81.8","55"
"Chinese","Bexley","75.0","48"
"Chinese","Brent","100.0","4"
"Chinese","Bromley","72.1","43"
"Chinese","Croydon","!","10"
"Chinese","Ealing","!","4"
"Chinese","Enfield","!","9"
"Chinese","Greenwich","68.4","19"
"Chinese","Harrow","!","6"
"Chinese","Havering","!","7"
"Chinese","Hillingdon","!","4"
"Chinese","Hounslow","100.0","7"
"Chinese","Kingston upon Thames","100.0","22"
"Chinese","Merton","57.1","7"
"Chinese","Redbridge","59.1","22"
"Chinese","Richmond upon Thames","!","8"
"Chinese","Sutton","!","45"
"Chinese","Waltham Forest","42.1","19"
"Chinese","Bracknell Forest","!","!"
"Chinese","Brighton and Hove","100.0","6"
"Chinese","Buckinghamshire","81.5","27"
"Chinese","East Sussex","50.0","16"
"Chinese","Hampshire","75.0","36"
"Chinese","Isle of Wight","!","!"
"Chinese","Kent","86.2","65"
"Chinese","Medway","!","10"
"Chinese","Milton Keynes","73.3","15"
"Chinese","Oxfordshire","67.9","28"
"Chinese","Portsmouth","100.0","5"
"Chinese","Reading","100.0","16"
"Chinese","Slough","!","!"
"Chinese","Southampton","!","5"
"Chinese","Surrey","77.8","45"
"Chinese","West Berkshire","!","6"
"Chinese","West Sussex","61.1","18"
"Chinese","Windsor and Maidenhead","33.3","9"
"Chinese","Wokingham","!","7"
"Chinese","Bath and North East Somerset","!","5"
"Chinese","Bournemouth","72.7","11"
"Chinese","Bristol, City of","58.3","12"
"Chinese","Cornwall","!","!"
"Chinese","Devon","!","21"
"Chinese","Dorset","!","11"
"Chinese","Gloucestershire","70.6","17"
"Chinese","Isles of Scilly","!","!"
"Chinese","North Somerset","!","5"
"Chinese","Plymouth","!","5"
"Chinese","Poole","!","4"
"Chinese","Somerset","!","9"
"Chinese","South Gloucestershire","!","5"
"Chinese","Swindon","!","5"
"Chinese","Torbay","!","!"
"Chinese","Wiltshire","64.7","17"
"Mixed","All - England","43.4","23,359"
"Mixed","County Durham","45.7","46"
"Mixed","Darlington","27.3","22"
"Mixed","Gateshead","53.8","26"
"Mixed","Hartlepool","!","8"
"Mixed","Middlesbrough","36.7","49"
"Mixed","Newcastle upon Tyne","38.3","60"
"Mixed","North Tyneside","51.5","33"
"Mixed","Northumberland","52.5","40"
"Mixed","Redcar and Cleveland","45.5","22"
"Mixed","South Tyneside","!","20"
"Mixed","Stockton-on-Tees","48.3","29"
"Mixed","Sunderland","38.5","26"
"Mixed","Blackburn with Darwen","42.6","54"
"Mixed","Blackpool","22.2","18"
"Mixed","Bolton","38.4","86"
"Mixed","Bury","45.1","82"
"Mixed","Cheshire East","47.2","89"
"Mixed","Cheshire West and Chester","46.5","71"
"Mixed","Cumbria","59.7","62"
"Mixed","Halton","32.3","31"
"Mixed","Knowsley","35.3","17"
"Mixed","Lancashire","45.4","273"
"Mixed","Liverpool","43.8","192"
"Mixed","Manchester","32.9","328"
"Mixed","Oldham","30.4","115"
"Mixed","Rochdale","19.5","77"
"Mixed","Salford","35.1","94"
"Mixed","Sefton","44.2","43"
"Mixed","St. Helens","58.8","34"
"Mixed","Stockport","40.0","105"
"Mixed","Tameside","38.2","68"
"Mixed","Trafford","60.5","157"
"Mixed","Warrington","47.7","44"
"Mixed","Wigan","41.8","55"
"Mixed","Wirral","51.5","68"
"Mixed","Barnsley","46.7","30"
"Mixed","Bradford","29.6","226"
"Mixed","Calderdale","39.1","69"
"Mixed","Doncaster","39.1","69"
"Mixed","East Riding of Yorkshire","54.7","53"
"Mixed","Kingston upon Hull, City of","43.9","41"
"Mixed","Kirklees","27.1","221"
"Mixed","Leeds","37.3","362"
"Mixed","North East Lincolnshire","33.3","21"
"Mixed","North Lincolnshire","65.5","29"
"Mixed","North Yorkshire","54.5","99"
"Mixed","Rotherham","40.0","65"
"Mixed","Sheffield","36.0","272"
"Mixed","Wakefield","42.6","61"
"Mixed","York","48.6","37"
"Mixed","Derby","27.6","170"
"Mixed","Derbyshire","!","133"
"Mixed","Leicester","!","!"
"Mixed","Leicestershire","43.2","236"
"Mixed","Lincolnshire","49.7","165"
"Mixed","Northamptonshire","37.5","349"
"Mixed","Nottingham","26.5","249"
"Mixed","Nottinghamshire","51.3","277"
"Mixed","Rutland","!","!"
"Mixed","Birmingham","39.1","923"
"Mixed","Coventry","!","171"
"Mixed","Dudley","36.3","190"
"Mixed","Herefordshire, County of","!","!"
"Mixed","Sandwell","!","!"
"Mixed","Shropshire","!","45"
"Mixed","Solihull","!","163"
"Mixed","Staffordshire","36.0","186"
"Mixed","Stoke-on-Trent","31.0","84"
"Mixed","Telford and Wrekin","!","74"
"Mixed","Walsall","32.1","159"
"Mixed","Warwickshire","!","180"
"Mixed","Wolverhampton","!","246"
"Mixed","Worcestershire","!","152"
"Mixed","Bedford","24.3","144"
"Mixed","Cambridgeshire","46.9","207"
"Mixed","Central Bedfordshire","34.3","105"
"Mixed","Essex","48.0","556"
"Mixed","Hertfordshire","50.7","736"
"Mixed","Luton","27.3","150"
"Mixed","Norfolk","49.1","167"
"Mixed","Peterborough","33.9","115"
"Mixed","Southend-on-Sea","55.2","87"
"Mixed","Suffolk","40.2","251"
"Mixed","Thurrock","39.8","83"
"Mixed","Camden","49.2","191"
"Mixed","City of London","N/A","N/A"
"Mixed","Hackney","!","153"
"Mixed","Hammersmith and Fulham","!","137"
"Mixed","Haringey","47.9","211"
"Mixed","Islington","!","155"
"Mixed","Kensington and Chelsea","!","112"
"Mixed","Lambeth","36.9","244"
"Mixed","Lewisham","43.2","285"
"Mixed","Newham","35.7","213"
"Mixed","Southwark","44.7","264"
"Mixed","Tower Hamlets","!","113"
"Mixed","Wandsworth","!","191"
"Mixed","Westminster","55.1","158"
"Mixed","Barking and Dagenham","!","124"
"Mixed","Barnet","59.5","343"
"Mixed","Bexley","51.9","185"
"Mixed","Brent","45.1","195"
"Mixed","Bromley","49.5","303"
"Mixed","Croydon","!","503"
"Mixed","Ealing","!","231"
"Mixed","Enfield","!","315"
"Mixed","Greenwich","38.4","216"
"Mixed","Harrow","!","147"
"Mixed","Havering","!","132"
"Mixed","Hillingdon","!","324"
"Mixed","Hounslow","39.7","184"
"Mixed","Kingston upon Thames","58.6","128"
"Mixed","Merton","50.8","177"
"Mixed","Redbridge","53.9","243"
"Mixed","Richmond upon Thames","!","147"
"Mixed","Sutton","!","228"
"Mixed","Waltham Forest","39.1","235"
"Mixed","Bracknell Forest","30.4","46"
"Mixed","Brighton and Hove","45.7","164"
"Mixed","Buckinghamshire","55.7","305"
"Mixed","East Sussex","41.3","184"
"Mixed","Hampshire","51.5","363"
"Mixed","Isle of Wight","46.7","30"
"Mixed","Kent","51.1","615"
"Mixed","Medway","45.3","139"
"Mixed","Milton Keynes","37.1","167"
"Mixed","Oxfordshire","44.1","320"
"Mixed","Portsmouth","44.9","49"
"Mixed","Reading","46.7","105"
"Mixed","Slough","51.6","122"
"Mixed","Southampton","37.4","99"
"Mixed","Surrey","55.0","467"
"Mixed","West Berkshire","39.5","76"
"Mixed","West Sussex","46.4","252"
"Mixed","Windsor and Maidenhead","37.4","91"
"Mixed","Wokingham","51.7","89"
"Mixed","Bath and North East Somerset","34.7","72"
"Mixed","Bournemouth","49.3","75"
"Mixed","Bristol, City of","37.7","244"
"Mixed","Cornwall","45.9","98"
"Mixed","Devon","52.1","96"
"Mixed","Dorset","41.6","77"
"Mixed","Gloucestershire","42.3","215"
"Mixed","Isles of Scilly","!","!"
"Mixed","North Somerset","51.2","41"
"Mixed","Plymouth","40.0","40"
"Mixed","Poole","59.2","49"
"Mixed","Somerset","41.1","90"
"Mixed","South Gloucestershire","37.4","107"
"Mixed","Swindon","39.2","79"
"Mixed","Torbay","!","!"
"Mixed","Wiltshire","45.1","113"
