"Title","Pupils achieving grade 5 or above in English and Maths GCSE by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","25 January 2018 (revised)"

"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"Hillingdon","45.3","3,075","59.0","659","40.6","350","!","4","!","324","40.2","1,482"
"Hounslow","46.7","2,641","57.8","746","43.3","353","100.0","7","39.7","184","44.1","958"
"Kingston upon Thames","61.3","1,517","74.8","333","42.5","40","100.0","22","58.6","128","56.6","915"
"Merton","49.2","1,420","56.5","230","41.4","280","57.1","7","50.8","177","49.7","672"
"Redbridge","55.8","3,458","65.5","1,792","39.7","463","59.1","22","53.9","243","45.8","856"
"Richmond upon Thames","57.7","1,374","55.6","90","31.1","61","!","8","!","147","59.9","1,018"
"Sutton","61.3","2,759","86.8","551","54.0","226","!","45","!","228","52.6","1,644"
"Waltham Forest","41.4","2,486","45.8","681","35.1","567","42.1","19","39.1","235","43.1","883"
"Bracknell Forest","43.2","1,119","51.9","52","!","!","!","!","30.4","46","43.4","989"
"Brighton and Hove","47.2","2,197","46.7","60","32.6","43","100.0","6","45.7","164","47.5","1,847"
"Buckinghamshire","56.2","5,599","56.7","979","45.0","171","81.5","27","55.7","305","56.3","4,016"
"East Sussex","38.4","4,812","51.2","82","23.1","39","50.0","16","41.3","184","38.3","4,395"
"Hampshire","45.5","12,740","55.4","332","31.5","89","75.0","36","51.5","363","45.1","11,749"
"Isle of Wight","32.6","1,251","!","5","!","!","!","!","46.7","30","32.3","1,196"
"Kent","42.3","15,407","64.1","566","58.8","345","86.2","65","51.1","615","40.3","13,538"
"Medway","41.1","2,910","63.4","134","!","159","!","10","45.3","139","38.4","2,415"
"Milton Keynes","40.8","2,841","48.8","248","34.7","352","73.3","15","37.1","167","40.6","1,985"
"Oxfordshire","48.1","5,945","46.1","310","40.4","114","67.9","28","44.1","320","48.5","5,077"
"Portsmouth","37.2","1,627","61.0","82","48.8","43","100.0","5","44.9","49","34.9","1,412"
"Reading","49.8","1,134","65.8","222","29.5","105","100.0","16","46.7","105","48.0","642"
"Slough","56.1","1,648","64.0","839","!","!","!","!","51.6","122","43.0","456"
"Southampton","34.1","1,845","47.1","191","!","42","!","5","37.4","99","32.1","1,489"
"Surrey","51.6","10,067","57.6","592","45.7","197","77.8","45","55.0","467","51.0","8,621"
"West Berkshire","47.8","1,790","!","46","!","29","!","6","39.5","76","48.7","1,587"
"West Sussex","45.3","7,782","49.2","329","27.8","97","61.1","18","46.4","252","45.3","7,007"
"Windsor and Maidenhead","50.1","1,547","49.1","212","55.6","27","33.3","9","37.4","91","51.3","1,159"
"Wokingham","55.1","1,642","57.1","182","!","59","!","7","51.7","89","55.2","1,270"
"Bath and North East Somerset","41.9","2,001","57.6","33","!","22","!","5","34.7","72","42.4","1,838"
"Bournemouth","47.8","1,611","65.7","35","42.1","19","72.7","11","49.3","75","47.0","1,428"
"Bristol, City of","41.0","3,236","48.5","229","31.6","326","58.3","12","37.7","244","41.8","2,376"
"Cornwall","38.4","5,133","38.1","21","!","!","!","!","45.9","98","38.2","4,928"
"Devon","42.5","6,704","65.6","32","!","5","!","21","52.1","96","42.5","6,265"
"Dorset","39.6","3,988","43.3","30","!","3","!","11","41.6","77","39.5","3,792"
"Gloucestershire","46.2","6,165","62.3","162","22.1","77","70.6","17","42.3","215","46.2","5,633"
"Isles of Scilly","68.4","19","!","0","!","0","!","!","!","!","!","18"
"North Somerset","43.9","2,086","61.9","21","!","12","!","5","51.2","41","43.7","1,996"
"Plymouth","38.1","2,515","45.5","22","!","18","!","5","40.0","40","37.8","2,371"
"Poole","54.0","1,341","74.2","31","!","12","!","4","59.2","49","53.2","1,222"
"Somerset","40.2","4,837","66.7","45","!","18","!","9","41.1","90","40.0","4,648"
"South Gloucestershire","39.5","2,586","50.0","72","!","36","!","5","37.4","107","39.4","2,337"
"Swindon","35.7","2,038","35.3","201","!","39","!","5","39.2","79","35.2","1,667"
"Torbay","50.7","1,316","!","13","!","!","!","!","!","!","!","1,186"
"Wiltshire","43.5","4,732","67.6","68","34.4","32","64.7","17","45.1","113","43.8","4,225"
