"Title","A* to C in English and Maths GCSE attainment for children aged 14 to 16 (key stage 4)"
"Time period","2015/16"
"Location","England"
"Source","Key stage 4 statistics"
"Department","Department for Education"
"Last update","19 January 2017 (revised)"
"
"
Measure,Time,Time Type,Ethnicity,Ethnicity Type,Geography,Geography type,ONS geography code,Gender,FSM,Value,Denominator
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Bracknell Forest,Local Authority,E06000036,All pupils,All pupils,61.1,1076
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Brighton and Hove,Local Authority,E06000043,All pupils,All pupils,65.4,2139
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Buckinghamshire,Local Authority,E10000002,All pupils,All pupils,73.7,5622
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,East Sussex,Local Authority,E10000011,All pupils,All pupils,63.1,4930
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Hampshire,Local Authority,E10000014,All pupils,All pupils,66.7,13101
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Isle of Wight,Local Authority,E06000046,All pupils,All pupils,51.8,1305
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Kent,Local Authority,E10000016,All pupils,All pupils,63.7,15727
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Medway,Local Authority,E06000035,All pupils,All pupils,64.6,2967
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Milton Keynes,Local Authority,E06000042,All pupils,All pupils,59.9,2800
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Oxfordshire,Local Authority,E10000025,All pupils,All pupils,65.6,5975
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Portsmouth,Local Authority,E06000044,All pupils,All pupils,58.3,1729
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Reading,Local Authority,E06000038,All pupils,All pupils,64.1,1169
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Slough,Local Authority,E06000039,All pupils,All pupils,72.3,1632
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Southampton,Local Authority,E06000045,All pupils,All pupils,57.1,1952
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Surrey,Local Authority,E10000030,All pupils,All pupils,70.1,10399
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,West Berkshire,Local Authority,E06000037,All pupils,All pupils,65.4,1906
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,West Sussex,Local Authority,E10000032,All pupils,All pupils,64.9,8118
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Windsor and Maidenhead,Local Authority,E06000040,All pupils,All pupils,72.4,1470
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Wokingham,Local Authority,E06000041,All pupils,All pupils,73.1,1601
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Bath and North East Somerset,Local Authority,E06000022,All pupils,All pupils,69.7,2022
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Bournemouth,Local Authority,E06000028,All pupils,All pupils,66.9,1617
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,"Bristol, City of",Local Authority,E06000023,All pupils,All pupils,59.5,3138
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Cornwall,Local Authority,E06000052,All pupils,All pupils,64.3,5432
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Devon,Local Authority,E10000008,All pupils,All pupils,64.7,6971
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Dorset,Local Authority,E10000009,All pupils,All pupils,64.6,4153
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Gloucestershire,Local Authority,E10000013,All pupils,All pupils,66.4,6385
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Isles of Scilly,Local Authority,E06000053,All pupils,All pupils,69.6,23
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,North Somerset,Local Authority,E06000024,All pupils,All pupils,63,2176
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Plymouth,Local Authority,E06000026,All pupils,All pupils,58,2640
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Poole,Local Authority,E06000029,All pupils,All pupils,68.3,1438
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Somerset,Local Authority,E10000027,All pupils,All pupils,62.8,5137
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,South Gloucestershire,Local Authority,E06000025,All pupils,All pupils,60.1,2770
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Swindon,Local Authority,E06000030,All pupils,All pupils,61,2109
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Torbay,Local Authority,E06000027,All pupils,All pupils,62.6,1511
Percentage achieving A*-C in English & mathematics,2016,Academic year,All pupils,All pupils,Wiltshire,Local Authority,E06000054,All pupils,All pupils,66.2,4899
Percentage achieving A*-C in English & mathematics,2017,Academic year,All pupils,All pupils,North East,Region,E12000001,All pupils,All pupils,61.6,26076
Percentage achieving A*-C in English & mathematics,2018,Academic year,All pupils,All pupils,North West,Region,E12000002,All pupils,All pupils,61.7,74057
Percentage achieving A*-C in English & mathematics,2019,Academic year,All pupils,All pupils,Yorkshire and the Humber,Region,E12000003,All pupils,All pupils,60.9,54562
Percentage achieving A*-C in English & mathematics,2020,Academic year,All pupils,All pupils,East Midlands,Region,E12000004,All pupils,All pupils,61.6,47204
Percentage achieving A*-C in English & mathematics,2021,Academic year,All pupils,All pupils,West Midlands,Region,E12000005,All pupils,All pupils,60.3,60215
Percentage achieving A*-C in English & mathematics,2022,Academic year,All pupils,All pupils,East,Region,E12000006,All pupils,All pupils,64,61059
Percentage achieving A*-C in English & mathematics,2023,Academic year,All pupils,All pupils,London,Region,E12000007,All pupils,All pupils,66.4,76596
Percentage achieving A*-C in English & mathematics,2024,Academic year,All pupils,All pupils,South East,Region,E12000008,All pupils,All pupils,65.8,85618
