"","Not remanded","","","Bail","","","Custody","",""
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2014"," White"," Juveniles","6.1"," White"," Juveniles","64.1"," White"," Juveniles","29.9"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2015"," White"," Juveniles","8.6"," White"," Juveniles","60.8"," White"," Juveniles","30.6"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
"2016"," White"," Juveniles","12.1"," White"," Juveniles","62.2"," White"," Juveniles","25.8"
