"Title","Science attainment for children aged 5 to 7 by ethnicity, area and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Value_girls"
"South West","Somerset","E10000027","Asian","ONS 5","Boys","All/Boys/Girls","66","90"
"South West","South Gloucestershire","E06000025","Asian","ONS 5","Boys","All/Boys/Girls","83","89"
"North East","South Tyneside","E08000023","Asian","ONS 5","Boys","All/Boys/Girls","86","83"
"South East","Southampton","E06000045","Asian","ONS 5","Boys","All/Boys/Girls","77","88"
"East","Southend-on-Sea","E06000033","Asian","ONS 5","Boys","All/Boys/Girls","78","92"
"London","Southwark","E09000028","Asian","ONS 5","Boys","All/Boys/Girls","83","82"
"North West","St. Helens","E08000013","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"West Midlands","Staffordshire","E10000028","Asian","ONS 5","Boys","All/Boys/Girls","77","84"
"North West","Stockport","E08000007","Asian","ONS 5","Boys","All/Boys/Girls","84","81"
"North East","Stockton-on-Tees","E06000004","Asian","ONS 5","Boys","All/Boys/Girls","79","96"
"West Midlands","Stoke-on-Trent","E06000021","Asian","ONS 5","Boys","All/Boys/Girls","70","83"
"East","Suffolk","E10000029","Asian","ONS 5","Boys","All/Boys/Girls","88","79"
"North East","Sunderland","E08000024","Asian","ONS 5","Boys","All/Boys/Girls","74","83"
"South East","Surrey","E10000030","Asian","ONS 5","Boys","All/Boys/Girls","83","86"
"London","Sutton","E09000029","Asian","ONS 5","Boys","All/Boys/Girls","79","87"
"South West","Swindon","E06000030","Asian","ONS 5","Boys","All/Boys/Girls","76","81"
"North West","Tameside","E08000008","Asian","ONS 5","Boys","All/Boys/Girls","75","79"
"West Midlands","Telford and Wrekin","E06000020","Asian","ONS 5","Boys","All/Boys/Girls","74","80"
"East","Thurrock","E06000034","Asian","ONS 5","Boys","All/Boys/Girls","77","92"
"South West","Torbay","E06000027","Asian","ONS 5","Boys","All/Boys/Girls","!","!"
"London","Tower Hamlets","E09000030","Asian","ONS 5","Boys","All/Boys/Girls","76","83"
"North West","Trafford","E08000009","Asian","ONS 5","Boys","All/Boys/Girls","80","89"
"Yorkshire and The Humber","Wakefield","E08000036","Asian","ONS 5","Boys","All/Boys/Girls","62","77"
"West Midlands","Walsall","E08000030","Asian","ONS 5","Boys","All/Boys/Girls","78","83"
"London","Waltham Forest","E09000031","Asian","ONS 5","Boys","All/Boys/Girls","84","90"
"London","Wandsworth","E09000032","Asian","ONS 5","Boys","All/Boys/Girls","80","93"
"North West","Warrington","E06000007","Asian","ONS 5","Boys","All/Boys/Girls","80","88"
"West Midlands","Warwickshire","E10000031","Asian","ONS 5","Boys","All/Boys/Girls","82","88"
"South East","West Berkshire","E06000037","Asian","ONS 5","Boys","All/Boys/Girls","79","91"
"South East","West Sussex","E10000032","Asian","ONS 5","Boys","All/Boys/Girls","75","81"
"London","Westminster","E09000033","Asian","ONS 5","Boys","All/Boys/Girls","80","88"
"North West","Wigan","E08000010","Asian","ONS 5","Boys","All/Boys/Girls","69","73"
"South West","Wiltshire","E06000054","Asian","ONS 5","Boys","All/Boys/Girls","86","89"
"South East","Windsor and Maidenhead","E06000040","Asian","ONS 5","Boys","All/Boys/Girls","82","93"
"North West","Wirral","E08000015","Asian","ONS 5","Boys","All/Boys/Girls","84","90"
"South East","Wokingham","E06000041","Asian","ONS 5","Boys","All/Boys/Girls","85","96"
