"Title","Police officers by ethnicity and area"
"Location","England and Wales"
"Time period","2018"
"Data source","Police workforce, England and Wales: 31 March 2018"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"Ethnicity","Police force area","% officers","% population ","Number of police officers"
"Unknown","Staffordshire","N/A","N/A","5"
"Unknown","Suffolk","N/A","N/A","21"
"Unknown","Surrey","N/A","N/A","346"
"Unknown","Sussex","N/A","N/A","100"
"Unknown","Thames Valley","N/A","N/A","38"
"Unknown","Warwickshire","N/A","N/A","15"
"Unknown","West Mercia","N/A","N/A","16"
"Unknown","West Midlands","N/A","N/A","70"
"Unknown","West Yorkshire","N/A","N/A","11"
"Unknown","Wiltshire","N/A","N/A","2"
