"Title","Writing attainment for children aged 6 to 7 by ethnicity, gender and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"Ethnicity","Local authority","Boys","Girls"
"Mixed","Lambeth","69","82"
"Mixed","Lancashire","61","75"
"Mixed","Leeds","47","66"
"Mixed","Leicester","60","77"
"Mixed","Leicestershire","62","80"
"Mixed","Lewisham","65","80"
"Mixed","Lincolnshire","58","73"
"Mixed","Liverpool","52","68"
"Mixed","Luton","56","75"
"Mixed","Manchester","59","73"
"Mixed","Medway","75","85"
"Mixed","Merton","68","74"
"Mixed","Middlesbrough","46","60"
"Mixed","Milton Keynes","66","81"
"Mixed","Newcastle upon Tyne","62","76"
"Mixed","Newham","66","82"
"Mixed","Norfolk","58","68"
"Mixed","North East Lincolnshire","83","74"
"Mixed","North Lincolnshire","!","!"
"Mixed","North Somerset","69","77"
"Mixed","North Tyneside","82","91"
"Mixed","North Yorkshire","61","80"
"Mixed","Northamptonshire","66","77"
"Mixed","Northumberland","71","84"
"Mixed","Nottingham","58","73"
"Mixed","Nottinghamshire","63","84"
"Mixed","Oldham","61","74"
"Mixed","Oxfordshire","56","73"
"Mixed","Peterborough","57","74"
"Mixed","Plymouth","64","79"
"Mixed","Poole","69","74"
"Mixed","Portsmouth","73","86"
"Mixed","Reading","63","79"
"Mixed","Redbridge","59","79"
"Mixed","Redcar and Cleveland","!","!"
"Mixed","Richmond upon Thames","70","79"
"Mixed","Rochdale","60","77"
"Mixed","Rotherham","62","65"
"Mixed","Rutland","!","!"
"Mixed","Salford","71","83"
"Mixed","Sandwell","59","73"
"Mixed","Sefton","54","65"
"Mixed","Sheffield","62","73"
"Mixed","Shropshire","59","87"
"Mixed","Slough","58","76"
"Mixed","Solihull","58","79"
"Mixed","Somerset","64","83"
"Mixed","South Gloucestershire","63","89"
"Mixed","South Tyneside","65","71"
"Mixed","Southampton","63","78"
"Mixed","Southend-on-Sea","67","69"
"Mixed","Southwark","66","81"
"Mixed","St. Helens","60","84"
"Mixed","Staffordshire","70","77"
"Mixed","Stockport","60","85"
"Mixed","Stockton-on-Tees","70","89"
"Mixed","Stoke-on-Trent","58","80"
"Mixed","Suffolk","60","72"
"Mixed","Sunderland","84","75"
"Mixed","Surrey","71","82"
"Mixed","Sutton","69","75"
"Mixed","Swindon","69","82"
"Mixed","Tameside","43","74"
"Mixed","Telford and Wrekin","69","84"
"Mixed","Thurrock","68","89"
"Mixed","Torbay","45","!"
"Mixed","Tower Hamlets","58","70"
"Mixed","Trafford","63","80"
"Mixed","Wakefield","71","82"
"Mixed","Walsall","53","78"
"Mixed","Waltham Forest","69","83"
"Mixed","Wandsworth","69","80"
"Mixed","Warrington","87","74"
"Mixed","Warwickshire","72","76"
"Mixed","West Berkshire","63","78"
"Mixed","West Sussex","58","75"
"Mixed","Westminster","64","77"
"Mixed","Wigan","80","78"
"Mixed","Wiltshire","55","73"
"Mixed","Windsor and Maidenhead","72","84"
"Mixed","Wirral","52","75"
"Mixed","Wokingham","65","81"
"Mixed","Wolverhampton","62","72"
"Mixed","Worcestershire","61","80"
"Mixed","York","72","91"
"White","Barking and Dagenham","54","72"
"White","Barnet","67","78"
"White","Barnsley","60","75"
"White","Bath and North East Somerset","61","76"
"White","Bedford","58","74"
"White","Bexley","64","80"
"White","Birmingham","56","68"
"White","Blackburn with Darwen","60","73"
"White","Blackpool","58","74"
"White","Bolton","59","73"
"White","Bournemouth","60","73"
"White","Bracknell Forest","58","73"
"White","Bradford","56","72"
"White","Brent","63","74"
"White","Brighton and Hove","62","77"
"White","Bristol, City of","61","73"
"White","Bromley","67","79"
"White","Buckinghamshire","64","76"
"White","Bury","62","73"
"White","Calderdale","56","69"
"White","Cambridgeshire","57","71"
"White","Camden","62","74"
"White","Central Bedfordshire","63","76"
"White","Cheshire East","61","76"
"White","Cheshire West and Chester","55","72"
"White","City of London","!","!"
"White","Cornwall","58","73"
"White","County Durham","66","78"
"White","Coventry","54","68"
"White","Croydon","60","75"
"White","Cumbria","57","72"
"White","Darlington","60","80"
"White","Derby","57","71"
"White","Derbyshire","60","77"
"White","Devon","61","77"
"White","Doncaster","61","72"
"White","Dorset","58","76"
"White","Dudley","55","73"
"White","Ealing","65","79"
"White","East Riding of Yorkshire","63","78"
"White","East Sussex","64","78"
"White","Enfield","56","67"
"White","Essex","62","77"
"White","Gateshead","64","78"
"White","Gloucestershire","59","73"
"White","Greenwich","66","77"
"White","Hackney","72","83"
"White","Halton","53","64"
"White","Hammersmith and Fulham","69","81"
"White","Hampshire","67","80"
"White","Haringey","65","82"
"White","Harrow","59","73"
"White","Hartlepool","61","76"
"White","Havering","64","74"
"White","Herefordshire, County of","66","79"
"White","Hertfordshire","64","77"
"White","Hillingdon","57","71"
"White","Hounslow","65","81"
"White","Isle of Wight","54","70"
"White","Isles of Scilly","!","!"
"White","Islington","63","78"
"White","Kensington and Chelsea","74","82"
"White","Kent","65","78"
"White","Kingston upon Hull, City of","59","74"
"White","Kingston upon Thames","63","75"
"White","Kirklees","58","72"
"White","Knowsley","56","70"
"White","Lambeth","68","81"
"White","Lancashire","61","76"
"White","Leeds","52","66"
"White","Leicester","49","62"
"White","Leicestershire","60","74"
"White","Lewisham","68","80"
"White","Lincolnshire","59","71"
"White","Liverpool","51","65"
"White","Luton","59","68"
"White","Manchester","58","73"
"White","Medway","65","79"
"White","Merton","60","74"
"White","Middlesbrough","57","69"
