"Measure","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Local_Authority","Local_Authority_Code","Gender","Value","Value_Type","Denominator"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Wandsworth","E09000032","All","76","%","2864"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Croydon","E09000008","All","69","%","4865"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Wandsworth","E09000032","All","76","%","2772"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Islington","E09000019","All","71","%","2094"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Brent","E09000005","All","68","%","3844"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","City of London","E09000001","All","!","%","!"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Southwark","E09000028","All","70","%","3391"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Waltham Forest","E09000031","All","74","%","3633"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Southwark","E09000028","All","73","%","3414"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Enfield","E09000010","All","66","%","4638"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Hillingdon","E09000017","All","70","%","4066"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Merton","E09000024","All","69","%","2529"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Barking and Dagenham","E09000002","All","69","%","3690"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Sutton","E09000029","All","72","%","2543"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Kensington and Chelsea","E09000020","All","75","%","986"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Kingston upon Thames","E09000021","All","65","%","2004"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Hackney","E09000012","All","78","%","2698"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Richmond upon Thames","E09000027","All","72","%","2533"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Harrow","E09000015","All","73","%","3238"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Harrow","E09000015","All","71","%","3074"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Waltham Forest","E09000031","All","75","%","3613"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Barnet","E09000003","All","71","%","4343"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Westminster","E09000033","All","70","%","1563"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","London","Lewisham","E09000023","All","73","%","3665"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","City of London","E09000001","All","!","%","*"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","London","Enfield","E09000010","All","65","%","4722"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Redcar and Cleveland","E06000003","All","72","%","1641"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Middlesbrough","E06000002","All","62","%","1928"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","South Tyneside","E08000023","All","71","%","1689"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Sunderland","E08000024","All","70","%","3122"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","County Durham","E06000047","All","70","%","5445"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Northumberland","E06000057","All","70","%","3297"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Gateshead","E08000037","All","69","%","2246"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Stockton-on-Tees","E06000004","All","72","%","2550"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Stockton-on-Tees","E06000004","All","68","%","2397"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Redcar and Cleveland","E06000003","All","71","%","1516"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Gateshead","E08000037","All","70","%","2175"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Newcastle upon Tyne","E08000021","All","68","%","3206"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Hartlepool","E06000001","All","69","%","1171"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Northumberland","E06000057","All","74","%","3332"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","South Tyneside","E08000023","All","72","%","1670"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Middlesbrough","E06000002","All","57","%","1863"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Darlington","E06000005","All","70","%","1333"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","North Tyneside","E08000022","All","68","%","2345"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Darlington","E06000005","All","68","%","1317"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","North Tyneside","E08000022","All","73","%","2385"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","Sunderland","E08000024","All","71","%","3175"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Newcastle upon Tyne","E08000021","All","67","%","3126"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North East","County Durham","E06000047","All","72","%","5784"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North East","Hartlepool","E06000001","All","65","%","1184"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Wirral","E08000015","All","62","%","3741"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Rochdale","E08000005","All","61","%","3027"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Blackburn with Darwen","E06000008","All","67","%","2151"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Manchester","E08000003","All","63","%","7075"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Salford","E08000006","All","67","%","3070"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Knowsley","E08000011","All","63","%","1817"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Halton","E06000006","All","54","%","1454"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Blackpool","E06000009","All","66","%","1632"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Salford","E08000006","All","68","%","3141"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cheshire East","E06000049","All","58","%","4127"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Tameside","E08000008","All","63","%","2937"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Lancashire","E10000017","All","67","%","14020"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Stockport","E08000007","All","69","%","3475"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cheshire West and Chester","E06000050","All","58","%","3778"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Blackburn with Darwen","E06000008","All","67","%","2235"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Cumbria","E10000006","All","57","%","5228"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Blackpool","E06000009","All","66","%","1706"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cumbria","E10000006","All","64","%","5175"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Manchester","E08000003","All","65","%","7198"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Tameside","E08000008","All","65","%","3136"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Oldham","E08000004","All","59","%","3533"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","St. Helens","E08000013","All","64","%","2128"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Lancashire","E10000017","All","68","%","14008"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Bolton","E08000001","All","66","%","4012"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Warrington","E06000007","All","71","%","2541"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Oldham","E08000004","All","61","%","3534"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cheshire East","E06000049","All","68","%","4203"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Wigan","E08000010","All","67","%","3832"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Bury","E08000002","All","66","%","2387"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Wirral","E08000015","All","66","%","3767"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Stockport","E08000007","All","68","%","3473"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Bolton","E08000001","All","64","%","3997"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Warrington","E06000007","All","71","%","2624"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Cheshire West and Chester","E06000050","All","64","%","3928"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Sefton","E08000014","All","63","%","2965"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Trafford","E08000009","All","69","%","2959"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Liverpool","E08000012","All","57","%","5230"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Sefton","E08000014","All","66","%","3022"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Wigan","E08000010","All","69","%","3867"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","St. Helens","E08000013","All","58","%","2072"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Rochdale","E08000005","All","65","%","3016"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Halton","E06000006","All","58","%","1604"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Knowsley","E08000011","All","58","%","1831"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Liverpool","E08000012","All","53","%","5098"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","North West","Bury","E08000002","All","63","%","2400"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","North West","Trafford","E08000009","All","72","%","3019"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","South East","Oxfordshire","E10000025","All","66","%","7595"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","South East","Bracknell Forest","E06000036","All","67","%","1492"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","South East","Medway","E06000035","All","73","%","3472"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","South East","Southampton","E06000045","All","69","%","2840"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","South East","Brighton and Hove","E06000043","All","69","%","2849"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2015/2016","Academic year","South East","Hampshire","E10000014","All","70","%","14937"
"Percentage of pupils reaching the key stage 1 expected standard in writing","All","ONS 2001 5+1","2016/2017","Academic year","South East","Kent","E10000016","All","72","%","18030"
