"Title","Writing attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Standard Ethnicity","Local authority",""
"Chinese","Halton","!"
"Chinese","Hammersmith and Fulham","100"
"Chinese","Hampshire","81"
"Chinese","Haringey","83"
"Chinese","Harrow","!"
"Chinese","Hartlepool","!"
"Chinese","Havering","!"
"Chinese","Herefordshire, County of","!"
"Chinese","Hertfordshire","89"
"Chinese","Hillingdon","63"
"Chinese","Hounslow","85"
"Chinese","Isle of Wight","!"
"Chinese","Isles of Scilly","!"
"Chinese","Islington","70"
"Chinese","Kensington and Chelsea","!"
"Chinese","Kent","81"
"Chinese","Kingston upon Hull, City of","!"
"Chinese","Kingston upon Thames","75"
"Chinese","Kirklees","81"
"Chinese","Knowsley","100"
"Chinese","Lambeth","75"
"Chinese","Lancashire","76"
"Chinese","Leeds","60"
"Chinese","Leicester","!"
"Chinese","Leicestershire","69"
"Chinese","Lewisham","74"
"Chinese","Lincolnshire","82"
"Chinese","Liverpool","61"
"Chinese","Luton","42"
"Chinese","Manchester","81"
"Chinese","Medway","!"
"Chinese","Merton","83"
"Chinese","Middlesbrough","!"
"Chinese","Milton Keynes","78"
"Chinese","Newcastle upon Tyne","82"
"Chinese","Newham","!"
"Chinese","Norfolk","86"
"Chinese","North East Lincolnshire","100"
"Chinese","North Lincolnshire","100"
"Chinese","North Somerset","!"
"Chinese","North Tyneside","60"
"Chinese","North Yorkshire","76"
"Chinese","Northamptonshire","79"
"Chinese","Northumberland","!"
"Chinese","Nottingham","86"
"Chinese","Nottinghamshire","76"
"Chinese","Oldham","71"
"Chinese","Oxfordshire","82"
"Chinese","Peterborough","!"
"Chinese","Plymouth","73"
"Chinese","Poole","!"
"Chinese","Portsmouth","100"
"Chinese","Reading","!"
"Chinese","Redbridge","77"
"Chinese","Redcar and Cleveland","!"
"Chinese","Richmond upon Thames","!"
"Chinese","Rochdale","!"
"Chinese","Rotherham","64"
"Chinese","Rutland","!"
"Chinese","Salford","63"
"Chinese","Sandwell","50"
"Chinese","Sefton","!"
"Chinese","Sheffield","82"
"Chinese","Shropshire","!"
"Chinese","Slough","100"
"Chinese","Solihull","57"
"Chinese","Somerset","67"
"Chinese","South Gloucestershire","74"
"Chinese","South Tyneside","!"
"Chinese","Southampton","80"
"Chinese","Southend-on-Sea","71"
"Chinese","Southwark","78"
"Chinese","St. Helens","50"
"Chinese","Staffordshire","71"
"Chinese","Stockport","65"
"Chinese","Stockton-on-Tees","!"
"Chinese","Stoke-on-Trent","70"
"Chinese","Suffolk","100"
"Chinese","Sunderland","69"
"Chinese","Surrey","84"
"Chinese","Sutton","88"
"Chinese","Swindon","77"
"Chinese","Tameside","60"
"Chinese","Telford and Wrekin","100"
"Chinese","Thurrock","80"
"Chinese","Torbay","!"
"Chinese","Tower Hamlets","88"
"Chinese","Trafford","76"
"Chinese","Wakefield","79"
"Chinese","Walsall","!"
"Chinese","Waltham Forest","80"
"Chinese","Wandsworth","80"
"Chinese","Warrington","!"
"Chinese","Warwickshire","84"
"Chinese","West Berkshire","!"
"Chinese","West Sussex","69"
"Chinese","Westminster","80"
"Chinese","Wigan","58"
"Chinese","Wiltshire","84"
"Chinese","Windsor and Maidenhead","!"
"Chinese","Wirral","48"
"Chinese","Wokingham","81"
"Chinese","Wolverhampton","58"
"Chinese","Worcestershire","67"
"Chinese","York","43"
"Mixed","Barking and Dagenham","67"
"Mixed","Barnet","67"
"Mixed","Barnsley","70"
"Mixed","Bath and North East Somerset","61"
"Mixed","Bedford","64"
"Mixed","Bexley","78"
"Mixed","Birmingham","61"
"Mixed","Blackburn with Darwen","63"
"Mixed","Blackpool","65"
"Mixed","Bolton","67"
"Mixed","Bournemouth","62"
"Mixed","Bracknell Forest","76"
"Mixed","Bradford","63"
"Mixed","Brent","74"
"Mixed","Brighton and Hove","66"
"Mixed","Bristol, City of","59"
"Mixed","Bromley","73"
"Mixed","Buckinghamshire","65"
"Mixed","Bury","63"
"Mixed","Calderdale","52"
"Mixed","Cambridgeshire","69"
"Mixed","Camden","71"
"Mixed","Central Bedfordshire","63"
"Mixed","Cheshire East","66"
"Mixed","Cheshire West and Chester","71"
"Mixed","City of London","!"
"Mixed","Cornwall","68"
"Mixed","County Durham","73"
"Mixed","Coventry","64"
"Mixed","Croydon","68"
"Mixed","Cumbria","57"
"Mixed","Darlington","78"
"Mixed","Derby","58"
"Mixed","Derbyshire","66"
"Mixed","Devon","65"
"Mixed","Doncaster","70"
"Mixed","Dorset","68"
"Mixed","Dudley","68"
"Mixed","Ealing","69"
"Mixed","East Riding of Yorkshire","71"
"Mixed","East Sussex","72"
"Mixed","Enfield","71"
"Mixed","Essex","70"
"Mixed","Gateshead","58"
"Mixed","Gloucestershire","62"
"Mixed","Greenwich","77"
"Mixed","Hackney","82"
"Mixed","Halton","54"
"Mixed","Hammersmith and Fulham","67"
"Mixed","Hampshire","73"
"Mixed","Haringey","79"
"Mixed","Harrow","68"
"Mixed","Hartlepool","69"
"Mixed","Havering","69"
"Mixed","Herefordshire, County of","80"
"Mixed","Hertfordshire","73"
"Mixed","Hillingdon","68"
"Mixed","Hounslow","73"
"Mixed","Isle of Wight","70"
"Mixed","Isles of Scilly","!"
"Mixed","Islington","72"
"Mixed","Kensington and Chelsea","76"
"Mixed","Kent","77"
"Mixed","Kingston upon Hull, City of","74"
"Mixed","Kingston upon Thames","61"
"Mixed","Kirklees","64"
"Mixed","Knowsley","73"
"Mixed","Lambeth","76"
"Mixed","Lancashire","67"
"Mixed","Leeds","50"
"Mixed","Leicester","58"
"Mixed","Leicestershire","68"
"Mixed","Lewisham","76"
"Mixed","Lincolnshire","67"
"Mixed","Liverpool","57"
"Mixed","Luton","66"
"Mixed","Manchester","67"
"Mixed","Medway","75"
"Mixed","Merton","58"
"Mixed","Middlesbrough","54"
"Mixed","Milton Keynes","73"
"Mixed","Newcastle upon Tyne","73"
"Mixed","Newham","81"
"Mixed","Norfolk","72"
"Mixed","North East Lincolnshire","75"
"Mixed","North Lincolnshire","69"
"Mixed","North Somerset","71"
"Mixed","North Tyneside","71"
"Mixed","North Yorkshire","61"
"Mixed","Northamptonshire","65"
"Mixed","Northumberland","67"
"Mixed","Nottingham","62"
"Mixed","Nottinghamshire","66"
"Mixed","Oldham","62"
"Mixed","Oxfordshire","61"
"Mixed","Peterborough","65"
"Mixed","Plymouth","69"
"Mixed","Poole","78"
"Mixed","Portsmouth","63"
"Mixed","Reading","58"
"Mixed","Redbridge","68"
"Mixed","Redcar and Cleveland","70"
"Mixed","Richmond upon Thames","68"
"Mixed","Rochdale","62"
"Mixed","Rotherham","62"
"Mixed","Rutland","63"
"Mixed","Salford","67"
"Mixed","Sandwell","58"
"Mixed","Sefton","64"
"Mixed","Sheffield","64"
"Mixed","Shropshire","70"
"Mixed","Slough","69"
"Mixed","Solihull","73"
"Mixed","Somerset","68"
"Mixed","South Gloucestershire","72"
"Mixed","South Tyneside","62"
"Mixed","Southampton","72"
"Mixed","Southend-on-Sea","67"
"Mixed","Southwark","67"
"Mixed","St. Helens","63"
"Mixed","Staffordshire","68"
"Mixed","Stockport","70"
"Mixed","Stockton-on-Tees","61"
"Mixed","Stoke-on-Trent","65"
"Mixed","Suffolk","65"
"Mixed","Sunderland","77"
"Mixed","Surrey","73"
"Mixed","Sutton","78"
"Mixed","Swindon","68"
"Mixed","Tameside","68"
"Mixed","Telford and Wrekin","70"
"Mixed","Thurrock","68"
"Mixed","Torbay","71"
"Mixed","Tower Hamlets","71"
"Mixed","Trafford","63"
"Mixed","Wakefield","69"
"Mixed","Walsall","62"
"Mixed","Waltham Forest","79"
"Mixed","Wandsworth","70"
"Mixed","Warrington","75"
"Mixed","Warwickshire","70"
"Mixed","West Berkshire","72"
"Mixed","West Sussex","57"
"Mixed","Westminster","74"
"Mixed","Wigan","73"
"Mixed","Wiltshire","72"
"Mixed","Windsor and Maidenhead","75"
"Mixed","Wirral","71"
"Mixed","Wokingham","75"
"Mixed","Wolverhampton","63"
"Mixed","Worcestershire","64"
"Mixed","York","67"
"White","Barking and Dagenham","60"
"White","Barnet","69"
"White","Barnsley","64"
"White","Bath and North East Somerset","64"
"White","Bedford","64"
"White","Bexley","71"
"White","Birmingham","59"
"White","Blackburn with Darwen","67"
"White","Blackpool","67"
"White","Bolton","64"
"White","Bournemouth","62"
"White","Bracknell Forest","67"
"White","Bradford","61"
"White","Brent","67"
"White","Brighton and Hove","67"
"White","Bristol, City of","63"
"White","Bromley","71"
"White","Buckinghamshire","66"
"White","Bury","64"
"White","Calderdale","56"
"White","Cambridgeshire","63"
"White","Camden","68"
"White","Central Bedfordshire","69"
"White","Cheshire East","58"
"White","Cheshire West and Chester","58"
"White","City of London","!"
"White","Cornwall","65"
"White","County Durham","70"
"White","Coventry","59"
"White","Croydon","66"
"White","Cumbria","57"
"White","Darlington","68"
"White","Derby","52"
"White","Derbyshire","65"
"White","Devon","63"
"White","Doncaster","64"
"White","Dorset","61"
"White","Dudley","64"
"White","Ealing","63"
"White","East Riding of Yorkshire","68"
"White","East Sussex","69"
"White","Enfield","63"
"White","Essex","68"
"White","Gateshead","69"
"White","Gloucestershire","62"
"White","Greenwich","71"
"White","Hackney","77"
"White","Halton","54"
"White","Hammersmith and Fulham","74"
"White","Hampshire","70"
"White","Haringey","73"
"White","Harrow","62"
"White","Hartlepool","65"
"White","Havering","69"
"White","Herefordshire, County of","67"
"White","Hertfordshire","71"
"White","Hillingdon","61"
"White","Hounslow","70"
"White","Isle of Wight","69"
"White","Isles of Scilly","!"
"White","Islington","70"
"White","Kensington and Chelsea","78"
"White","Kent","70"
"White","Kingston upon Hull, City of","65"
"White","Kingston upon Thames","65"
"White","Kirklees","62"
"White","Knowsley","57"
"White","Lambeth","74"
"White","Lancashire","67"
"White","Leeds","55"
"White","Leicester","52"
"White","Leicestershire","63"
"White","Lewisham","73"
"White","Lincolnshire","64"
"White","Liverpool","53"
"White","Luton","59"
"White","Manchester","63"
"White","Medway","67"
"White","Merton","62"
"White","Middlesbrough","58"
"White","Milton Keynes","61"
"White","Newcastle upon Tyne","67"
"White","Newham","65"
"White","Norfolk","69"
"White","North East Lincolnshire","68"
"White","North Lincolnshire","72"
"White","North Somerset","67"
"White","North Tyneside","67"
"White","North Yorkshire","63"
"White","Northamptonshire","63"
"White","Northumberland","70"
"White","Nottingham","55"
"White","Nottinghamshire","64"
"White","Oldham","63"
"White","Oxfordshire","62"
"White","Peterborough","60"
"White","Plymouth","62"
"White","Poole","67"
"White","Portsmouth","63"
"White","Reading","64"
"White","Redbridge","60"
"White","Redcar and Cleveland","71"
"White","Richmond upon Thames","68"
"White","Rochdale","63"
"White","Rotherham","65"
"White","Rutland","71"
"White","Salford","68"
"White","Sandwell","56"
"White","Sefton","63"
"White","Sheffield","65"
"White","Shropshire","62"
"White","Slough","57"
"White","Solihull","69"
"White","Somerset","67"
"White","South Gloucestershire","66"
"White","South Tyneside","72"
"White","Southampton","68"
"White","Southend-on-Sea","69"
"White","Southwark","72"
"White","St. Helens","58"
"White","Staffordshire","68"
"White","Stockport","67"
"White","Stockton-on-Tees","68"
"White","Stoke-on-Trent","61"
"White","Suffolk","64"
"White","Sunderland","70"
"White","Surrey","69"
"White","Sutton","64"
"White","Swindon","61"
"White","Tameside","63"
"White","Telford and Wrekin","68"
"White","Thurrock","65"
"White","Torbay","65"
"White","Tower Hamlets","65"
"White","Trafford","69"
"White","Wakefield","63"
"White","Walsall","61"
"White","Waltham Forest","72"
"White","Wandsworth","80"
"White","Warrington","71"
"White","Warwickshire","66"
"White","West Berkshire","64"
"White","West Sussex","52"
"White","Westminster","70"
"White","Wigan","67"
"White","Wiltshire","63"
"White","Windsor and Maidenhead","72"
"White","Wirral","62"
"White","Wokingham","67"
"White","Wolverhampton","59"
"White","Worcestershire","62"
"White","York","64"
