"Ethnicity","measure","Value","time","time_type","Ethnicity_type","Geography","Geography_type"
"Other","Share of income made up by Other benefits by ethnic group of head","8","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Share of income made up by Other sources by ethnic group of head","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Share of income made up by Other sources by ethnic group of head","3","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Share of income made up by Other sources by ethnic group of head","7","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Share of income made up by Other sources by ethnic group of head","4","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Share of income made up by Other sources by ethnic group of head","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Share of income made up by Other sources by ethnic group of head","5","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Share of income made up by Other sources by ethnic group of head","22","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Share of income made up by Other sources by ethnic group of head","10","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Share of income made up by Other sources by ethnic group of head","6","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Share of income made up by Other sources by ethnic group of head","9","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","All ","100","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","All ","101","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","All ","103","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","All ","104","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","All ","105","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","All ","106","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","All ","107","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","All ","108","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","All ","109","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"All","Sample size","58242","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"White","Sample size","53560","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Mixed","Sample size","509","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Indian","Sample size","991","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Pakistani","Sample size","585","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Bangladeshi","Sample size","234","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Chinese","Sample size","217","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Asian other","Sample size","353","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Black","Sample size","1323","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
"Other","Sample size","470","2014/15-2016/17","Three-year average","ONS 5+2","K02000001","ONS geography code"
