"Title","Sources of household income"
"Location","UK"
"Time period","2009/10 to 2015/16"
"Data source","Department for Work and Pensions"
"Data source link","https://www.gov.uk/government/statistics/family-resources-survey-financial-year-201516"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-10"
"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","187","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","187","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","70","359","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","359","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","359","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","359","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","359","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","359","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","359","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","359","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","359","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","64","1,322","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,322","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,322","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,322","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","1,322","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","1,322","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,322","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","13","1,322","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,322","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","64","524","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","524","","","",""
"Share of income made up by Investments by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","524","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","524","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","524","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","524","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","524","","","",""
"Share of income made up by Other benefits by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","524","","","",""
"Share of income made up by Other sources by ethnic group of head","2011/12-2013/14","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","524","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","64","59,881","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","59,881","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","59,881","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","59,881","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","59,881","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","59,881","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","59,881","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","59,881","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","59,881","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","64","55,400","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","55,400","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","55,400","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","55,400","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","55,400","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","55,400","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","55,400","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","55,400","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","55,400","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","63","53,052","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","53,052","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","53,052","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","53,052","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","53,052","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","53,052","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","53,052","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","53,052","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","White British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","53,052","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","77","2,348","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,348","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,348","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,348","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,348","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,348","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","2,348","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","2,348","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","White non-British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","2,348","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","68","433","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","433","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","433","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","433","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","433","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","433","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","433","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","433","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","433","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","68","2,252","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","2,252","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,252","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","2,252","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,252","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","2,252","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","2,252","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","2,252","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Asian/ Asian British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","2,252","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","74","980","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","980","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","980","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","980","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","980","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","980","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","980","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","980","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Indian","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","980","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","59","516","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","516","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","516","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","516","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","516","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","516","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","516","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","516","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Pakistani","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","516","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","58","221","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","221","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","221","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","221","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","221","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","221","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","221","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","14","221","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Bangladeshi","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","221","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","70","198","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","198","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","198","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","198","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","198","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","198","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","198","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","198","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Chinese","ONS 5+2","K02000001","ONS geography code","All","All","All","All","19","198","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","65","337","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","337","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","337","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","337","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","337","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","337","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","337","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","337","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Any other Asian background","ONS 5+2","K02000001","ONS geography code","All","All","All","All","11","337","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","65","1,323","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,323","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","-","1,323","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","6","1,323","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,323","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","1,323","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","1,323","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","12","1,323","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","1,323","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","62","473","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","473","","","",""
"Share of income made up by Investments by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","473","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","473","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","473","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","4","473","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","473","","","",""
"Share of income made up by Other benefits by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","10","473","","","",""
"Share of income made up by Other sources by ethnic group of head","2012/13-2014/15","Three-year average","Other ethnic group","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","473","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","64","59,004","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","59,004","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","59,004","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","59,004","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","7","59,004","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","59,004","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","59,004","","","",""
"Share of income made up by Other benefits by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","5","59,004","","","",""
"Share of income made up by Other sources by ethnic group of head","2013/14-2015/16","Three-year average","All","ONS 5+2","K02000001","ONS geography code","All","All","All","All","3","59,004","","","",""
"Share of income made up by Wages and salaries by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","63","54,399","","","",""
"Share of income made up by Self-employed
 income by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","54,399","","","",""
"Share of income made up by Investments by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","54,399","","","",""
"Share of income made up by Tax Credits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","2","54,399","","","",""
"Share of income made up by State Pension plus any IS/PC by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","8","54,399","","","",""
"Share of income made up by Private pensions6 by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","9","54,399","","","",""
"Share of income made up by Disability benefits by ethnic group of head","2013/14-2015/16","Three-year average","White","ONS 5+2","K02000001","ONS geography code","All","All","All","All","1","54,399","","","",""
