"Title","EBacc achievement by ethnicity and area "
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bury","Local Authority","E08000002","All pupils","All pupils","27","2060"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Cheshire East","Local Authority","E06000049","All pupils","All pupils","27","3740"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","30","3443"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Cumbria","Local Authority","E10000006","All pupils","All pupils","22","5134"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Halton","Local Authority","E06000006","All pupils","All pupils","33","1373"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Knowsley","Local Authority","E08000011","All pupils","All pupils","11","1147"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Lancashire","Local Authority","E10000017","All pupils","All pupils","22","12106"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Liverpool","Local Authority","E08000012","All pupils","All pupils","23","4611"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Manchester","Local Authority","E08000003","All pupils","All pupils","19","4715"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Oldham","Local Authority","E08000004","All pupils","All pupils","16","2920"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Rochdale","Local Authority","E08000005","All pupils","All pupils","16","2315"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Salford","Local Authority","E08000006","All pupils","All pupils","20","2084"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Sefton","Local Authority","E08000014","All pupils","All pupils","25","3076"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","St. Helens","Local Authority","E08000013","All pupils","All pupils","20","1767"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Stockport","Local Authority","E08000007","All pupils","All pupils","30","2816"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Tameside","Local Authority","E08000008","All pupils","All pupils","19","2493"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Trafford","Local Authority","E08000009","All pupils","All pupils","37","2758"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Warrington","Local Authority","E06000007","All pupils","All pupils","24","2365"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Wigan","Local Authority","E08000010","All pupils","All pupils","22","3407"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Wirral","Local Authority","E08000015","All pupils","All pupils","35","3402"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Barnsley","Local Authority","E08000016","All pupils","All pupils","18","2088"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bradford","Local Authority","E08000032","All pupils","All pupils","17","5859"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Calderdale","Local Authority","E08000033","All pupils","All pupils","25","2524"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Doncaster","Local Authority","E08000017","All pupils","All pupils","16","3026"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","22","3346"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","20","2255"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Kirklees","Local Authority","E08000034","All pupils","All pupils","22","4534"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Leeds","Local Authority","E08000035","All pupils","All pupils","23","7483"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","17","1596"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","19","1856"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","29","6188"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Rotherham","Local Authority","E08000018","All pupils","All pupils","20","3335"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Sheffield","Local Authority","E08000019","All pupils","All pupils","22","5242"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Wakefield","Local Authority","E08000036","All pupils","All pupils","20","3645"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","York","Local Authority","E06000014","All pupils","All pupils","35","1585"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Derby","Local Authority","E06000015","All pupils","All pupils","20","2787"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Derbyshire","Local Authority","E10000007","All pupils","All pupils","19","7628"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Leicester","Local Authority","E06000016","All pupils","All pupils","19","3409"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Leicestershire","Local Authority","E10000018","All pupils","All pupils","19","7017"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","28","7807"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","22","7650"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Nottingham","Local Authority","E06000018","All pupils","All pupils","17","2534"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","25","7883"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Rutland","Local Authority","E06000017","All pupils","All pupils","26","489"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Birmingham","Local Authority","E08000025","All pupils","All pupils","25","12035"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Coventry","Local Authority","E08000026","All pupils","All pupils","21","3463"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Dudley","Local Authority","E08000027","All pupils","All pupils","17","3591"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","23","1732"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Sandwell","Local Authority","E08000028","All pupils","All pupils","13","3499"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Shropshire","Local Authority","E06000051","All pupils","All pupils","24","2986"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Solihull","Local Authority","E08000029","All pupils","All pupils","27","2987"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Staffordshire","Local Authority","E10000028","All pupils","All pupils","20","8758"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","16","2269"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","23","2014"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Walsall","Local Authority","E08000030","All pupils","All pupils","21","3261"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Warwickshire","Local Authority","E10000031","All pupils","All pupils","29","5585"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","15","2470"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Worcestershire","Local Authority","E10000034","All pupils","All pupils","25","5565"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bedford","Local Authority","E06000055","All pupils","All pupils","18","1862"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","27","5707"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","20","2596"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Essex","Local Authority","E10000012","All pupils","All pupils","23","14607"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","33","12613"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Luton","Local Authority","E06000032","All pupils","All pupils","18","2442"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Norfolk","Local Authority","E10000020","All pupils","All pupils","21","8014"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Peterborough","Local Authority","E06000031","All pupils","All pupils","22","2292"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","34","2047"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Suffolk","Local Authority","E10000029","All pupils","All pupils","18","7158"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Thurrock","Local Authority","E06000034","All pupils","All pupils","25","1721"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Camden","Local Authority","E09000007","All pupils","All pupils","28","1422"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","City of London","Local Authority","E09000001","All pupils","All pupils","N/A","N/A"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Hackney","Local Authority","E09000012","All pupils","All pupils","33","2038"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","41","1350"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Haringey","Local Authority","E09000014","All pupils","All pupils","28","2231"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Islington","Local Authority","E09000019","All pupils","All pupils","27","1397"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","38","740"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Lambeth","Local Authority","E09000022","All pupils","All pupils","25","1887"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Lewisham","Local Authority","E09000023","All pupils","All pupils","23","2334"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Newham","Local Authority","E09000025","All pupils","All pupils","31","3489"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Southwark","Local Authority","E09000028","All pupils","All pupils","36","2386"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","28","2570"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Wandsworth","Local Authority","E09000032","All pupils","All pupils","34","1660"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Westminster","Local Authority","E09000033","All pupils","All pupils","34","1566"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","22","2201"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Barnet","Local Authority","E09000003","All pupils","All pupils","44","3647"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bexley","Local Authority","E09000004","All pupils","All pupils","29","3192"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Brent","Local Authority","E09000005","All pupils","All pupils","32","3035"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bromley","Local Authority","E09000006","All pupils","All pupils","36","3305"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Croydon","Local Authority","E09000008","All pupils","All pupils","24","3844"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Ealing","Local Authority","E09000009","All pupils","All pupils","35","2781"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Enfield","Local Authority","E09000010","All pupils","All pupils","31","3579"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Greenwich","Local Authority","E09000011","All pupils","All pupils","27","2204"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Harrow","Local Authority","E09000015","All pupils","All pupils","33","2127"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Havering","Local Authority","E09000016","All pupils","All pupils","28","2917"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Hillingdon","Local Authority","E09000017","All pupils","All pupils","26","3136"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Hounslow","Local Authority","E09000018","All pupils","All pupils","37","2667"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","49","1515"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Merton","Local Authority","E09000024","All pupils","All pupils","30","1440"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Redbridge","Local Authority","E09000026","All pupils","All pupils","34","3363"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","42","1367"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Sutton","Local Authority","E09000029","All pupils","All pupils","46","2667"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","24","2539"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","22","1076"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","25","2139"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","37","5622"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","East Sussex","Local Authority","E10000011","All pupils","All pupils","22","4930"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Hampshire","Local Authority","E10000014","All pupils","All pupils","26","13101"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","13","1305"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Kent","Local Authority","E10000016","All pupils","All pupils","30","15727"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Medway","Local Authority","E06000035","All pupils","All pupils","27","2967"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","21","2800"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","25","5975"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Portsmouth","Local Authority","E06000044","All pupils","All pupils","19","1729"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Reading","Local Authority","E06000038","All pupils","All pupils","30","1169"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Slough","Local Authority","E06000039","All pupils","All pupils","29","1632"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Southampton","Local Authority","E06000045","All pupils","All pupils","21","1952"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Surrey","Local Authority","E10000030","All pupils","All pupils","31","10399"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","West Berkshire","Local Authority","E06000037","All pupils","All pupils","30","1906"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","West Sussex","Local Authority","E10000032","All pupils","All pupils","26","8118"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","32","1470"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Wokingham","Local Authority","E06000041","All pupils","All pupils","34","1601"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","33","2022"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bournemouth","Local Authority","E06000028","All pupils","All pupils","28","1617"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","18","3138"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Cornwall","Local Authority","E06000052","All pupils","All pupils","19","5432"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Devon","Local Authority","E10000008","All pupils","All pupils","23","6971"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Dorset","Local Authority","E10000009","All pupils","All pupils","24","4153"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","27","6385"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","!","23"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","North Somerset","Local Authority","E06000024","All pupils","All pupils","20","2176"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Plymouth","Local Authority","E06000026","All pupils","All pupils","21","2640"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Poole","Local Authority","E06000029","All pupils","All pupils","!","1438"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Somerset","Local Authority","E10000027","All pupils","All pupils","20","5137"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","18","2770"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Swindon","Local Authority","E06000030","All pupils","All pupils","17","2109"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Torbay","Local Authority","E06000027","All pupils","All pupils","26","1511"
"Percentage achieving the English Baccalaureate","2016","Academic year","All","DFE","Wiltshire","Local Authority","E06000054","All pupils","All pupils","26","4899"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","County Durham","Local Authority","E06000047","All pupils","All pupils","25","4846"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Darlington","Local Authority","E06000005","All pupils","All pupils","24","1086"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Gateshead","Local Authority","E08000037","All pupils","All pupils","25","1810"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Hartlepool","Local Authority","E06000001","All pupils","All pupils","14","1036"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","10","1164"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","23","1913"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","North Tyneside","Local Authority","E08000022","All pupils","All pupils","25","1833"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Northumberland","Local Authority","E06000057","All pupils","All pupils","19","3100"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","19","1567"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","South Tyneside","Local Authority","E08000023","All pupils","All pupils","20","1421"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","26","1842"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Sunderland","Local Authority","E08000024","All pupils","All pupils","21","2677"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","16","922"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Blackpool","Local Authority","E06000009","All pupils","All pupils","9","1270"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Bolton","Local Authority","E08000001","All pupils","All pupils","16","2354"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Bury","Local Authority","E08000002","All pupils","All pupils","26","1636"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Cheshire East","Local Authority","E06000049","All pupils","All pupils","27","3509"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","30","3283"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Cumbria","Local Authority","E10000006","All pupils","All pupils","22","4987"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Halton","Local Authority","E06000006","All pupils","All pupils","32","1335"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Knowsley","Local Authority","E08000011","All pupils","All pupils","10","1103"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Lancashire","Local Authority","E10000017","All pupils","All pupils","22","10512"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Liverpool","Local Authority","E08000012","All pupils","All pupils","23","3919"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Manchester","Local Authority","E08000003","All pupils","All pupils","17","2312"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Oldham","Local Authority","E08000004","All pupils","All pupils","18","1901"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Rochdale","Local Authority","E08000005","All pupils","All pupils","14","1601"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Salford","Local Authority","E08000006","All pupils","All pupils","19","1832"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Sefton","Local Authority","E08000014","All pupils","All pupils","25","2896"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","St. Helens","Local Authority","E08000013","All pupils","All pupils","20","1675"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Stockport","Local Authority","E08000007","All pupils","All pupils","30","2463"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Tameside","Local Authority","E08000008","All pupils","All pupils","18","2078"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Trafford","Local Authority","E08000009","All pupils","All pupils","36","2118"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Warrington","Local Authority","E06000007","All pupils","All pupils","24","2216"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Wigan","Local Authority","E08000010","All pupils","All pupils","22","3271"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Wirral","Local Authority","E08000015","All pupils","All pupils","34","3222"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Barnsley","Local Authority","E08000016","All pupils","All pupils","18","2018"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Bradford","Local Authority","E08000032","All pupils","All pupils","18","2979"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Calderdale","Local Authority","E08000033","All pupils","All pupils","26","2021"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Doncaster","Local Authority","E08000017","All pupils","All pupils","16","2808"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","21","3222"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","20","2028"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Kirklees","Local Authority","E08000034","All pupils","All pupils","22","3029"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Leeds","Local Authority","E08000035","All pupils","All pupils","24","5700"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","17","1486"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","18","1751"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","29","5886"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Rotherham","Local Authority","E08000018","All pupils","All pupils","20","2980"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Sheffield","Local Authority","E08000019","All pupils","All pupils","23","4001"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Wakefield","Local Authority","E08000036","All pupils","All pupils","20","3407"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","York","Local Authority","E06000014","All pupils","All pupils","35","1511"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Derby","Local Authority","E06000015","All pupils","All pupils","19","2015"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Derbyshire","Local Authority","E10000007","All pupils","All pupils","19","7297"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Leicester","Local Authority","E06000016","All pupils","All pupils","9","1149"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Leicestershire","Local Authority","E10000018","All pupils","All pupils","18","6108"
"Percentage achieving the English Baccalaureate","2016","Academic year","White","DFE","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","27","7464"
